run_id,participant,schedule,sparsity_label,input_scheme,retraining_specialization,correlation_specialization,ablation_specialization
two_module_rnn_25_no_comms_nb2,study1_same_sub1,same,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_same_sub10,same,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_same_sub11,same,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_same_sub12,same,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_same_sub13,same,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_near_sub1,near,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_near_sub10,near,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_near_sub14,near,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_near_sub15,near,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_near_sub18,near,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_far_sub1,far,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_far_sub10,far,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_far_sub12,far,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_far_sub13,far,no_comms,shared,,0.0,
two_module_rnn_25_no_comms_nb2,study1_far_sub15,far,no_comms,shared,,0.0,
two_module_rnn_25_task_routed_no_comms_nb2,study1_same_sub1,same,no_comms,task_routed,,0.5,
two_module_rnn_25_task_routed_no_comms_nb2,study1_same_sub10,same,no_comms,task_routed,,0.5,
two_module_rnn_25_task_routed_no_comms_nb2,study1_same_sub11,same,no_comms,task_routed,,0.5,
two_module_rnn_25_task_routed_no_comms_nb2,study1_same_sub12,same,no_comms,task_routed,,0.5,
two_module_rnn_25_task_routed_no_comms_nb2,study1_same_sub13,same,no_comms,task_routed,,0.5,
two_module_rnn_25_task_routed_no_comms_nb2,study1_near_sub1,near,no_comms,task_routed,,0.5,
two_module_rnn_25_task_routed_no_comms_nb2,study1_near_sub10,near,no_comms,task_routed,,0.5,
two_module_rnn_25_task_routed_no_comms_nb2,study1_near_sub14,near,no_comms,task_routed,,0.5,
two_module_rnn_25_task_routed_no_comms_nb2,study1_near_sub15,near,no_comms,task_routed,,0.5,
two_module_rnn_25_task_routed_no_comms_nb2,study1_near_sub18,near,no_comms,task_routed,,1.0,
two_module_rnn_25_task_routed_no_comms_nb2,study1_far_sub1,far,no_comms,task_routed,,0.5,
two_module_rnn_25_task_routed_no_comms_nb2,study1_far_sub10,far,no_comms,task_routed,,0.0,
two_module_rnn_25_task_routed_no_comms_nb2,study1_far_sub12,far,no_comms,task_routed,,0.0,
two_module_rnn_25_task_routed_no_comms_nb2,study1_far_sub13,far,no_comms,task_routed,,0.0,
