participant,similarity,phase,pathway,var_topk,n_pcs_90,n_pcs_99,run_id,condition_name,routing,dim_hidden,init_scale,log10_init,participant_run
sim_study2_same_sub9,same,post_A,combined,0.9998043183247484,2,2,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001,two_module_rnn_6_no_comms_nb2_init0.001,shared,6,0.001,-3.0,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001__sim_study2_same_sub9
sim_study2_same_sub9,same,post_B,combined,0.9996743347613908,2,2,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001,two_module_rnn_6_no_comms_nb2_init0.001,shared,6,0.001,-3.0,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001__sim_study2_same_sub9
sim_study2_same_sub9,same,post_A2,combined,0.9996423194331127,2,2,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001,two_module_rnn_6_no_comms_nb2_init0.001,shared,6,0.001,-3.0,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001__sim_study2_same_sub9
sim_study1_same_sub58,same,post_A,combined,0.999371065181158,2,2,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001,two_module_rnn_6_no_comms_nb2_init0.001,shared,6,0.001,-3.0,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001__sim_study1_same_sub58
sim_study1_same_sub58,same,post_B,combined,0.9993206097358529,2,2,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001,two_module_rnn_6_no_comms_nb2_init0.001,shared,6,0.001,-3.0,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001__sim_study1_same_sub58
sim_study1_same_sub58,same,post_A2,combined,0.999189954119803,2,2,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001,two_module_rnn_6_no_comms_nb2_init0.001,shared,6,0.001,-3.0,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001__sim_study1_same_sub58
sim_study2_same_sub32,same,post_A,combined,0.9997732787925406,2,2,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001,two_module_rnn_6_no_comms_nb2_init0.001,shared,6,0.001,-3.0,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001__sim_study2_same_sub32
sim_study2_same_sub32,same,post_B,combined,0.9994464316558473,2,2,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001,two_module_rnn_6_no_comms_nb2_init0.001,shared,6,0.001,-3.0,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001__sim_study2_same_sub32
sim_study2_same_sub32,same,post_A2,combined,0.9993604545363561,2,2,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001,two_module_rnn_6_no_comms_nb2_init0.001,shared,6,0.001,-3.0,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001__sim_study2_same_sub32
sim_study1_same_sub9,same,post_A,combined,0.9999116806077246,2,2,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001,two_module_rnn_6_no_comms_nb2_init0.001,shared,6,0.001,-3.0,two_module_rnn_6_no_comms_nb2_init0.001_nb2_shared_sp0_sep_cr_RNN_init0.001__sim_study1_same_sub9
