participant,path,b_n_valid,b_n_probe_0,b_n_probe_1,b_median_hA_over_hB_all,b_median_hA_over_hB_probe1,b_mean_loss_probe1,b_mean_acc_probe1,a2_mean_loss_probe0,a2_mean_acc_probe0,a2_mean_loss_probe1,a2_mean_acc_probe1,a2_loss_gap_p1_minus_p0,has_core_comms_keys,run_folder,run_folder_path,task_similarity,study_cohort
study1_far_sub1,sim_study1_far_sub1.npz,12000,6000,6000,1307.64599609375,0.0002873856865335256,0.008997575379908085,0.9958723783493042,0.0003442815213929862,0.9998572468757629,0.17352385818958282,0.8395955562591553,0.17317957666818984,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub10,sim_study1_far_sub10.npz,12000,6000,6000,1056.02734375,0.0002776621258817613,0.008008887991309166,0.9959313869476318,0.00035900555667467415,0.9996956586837769,0.15637284517288208,0.8433574438095093,0.1560138396162074,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub12,sim_study1_far_sub12.npz,12000,6000,6000,1549.507080078125,0.0002985176397487521,0.008174409158527851,0.9971438646316528,0.0003725997230503708,0.9996631145477295,0.14405272901058197,0.9256601333618164,0.1436801292875316,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub13,sim_study1_far_sub13.npz,12000,6000,6000,1745.304443359375,0.00040330836782231927,0.008152974769473076,0.996873140335083,0.0003547522355802357,0.9997475743293762,0.14660082757472992,0.8947281837463379,0.14624607533914968,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub15,sim_study1_far_sub15.npz,12000,6000,6000,1723.68505859375,0.0002801726805046201,0.00910597201436758,0.9951103329658508,0.0003537429147399962,0.9998246431350708,0.18785350024700165,0.8216958045959473,0.18749975733226165,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub16,sim_study1_far_sub16.npz,12000,6000,6000,1523.4564208984375,0.00038606495945714414,0.009960192255675793,0.9940372705459595,0.0003846246108878404,0.9997565150260925,0.1703864187002182,0.8142988085746765,0.17000179408933036,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub19,sim_study1_far_sub19.npz,12000,6000,6000,1334.22705078125,0.00028688262682408094,0.008349264040589333,0.9968951940536499,0.00036744849057868123,0.9997915029525757,0.14281851053237915,0.9201967120170593,0.14245106204180047,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub22,sim_study1_far_sub22.npz,12000,6000,6000,1388.59716796875,0.00025526637909933925,0.008321081288158894,0.9960874319076538,0.00034815704566426575,0.9998598694801331,0.15520413219928741,0.8527931571006775,0.15485597515362315,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub25,sim_study1_far_sub25.npz,12000,6000,6000,1654.7833251953125,0.0003585395170375705,0.008312630467116833,0.9960163831710815,0.0003820994752459228,0.9997410774230957,0.15619292855262756,0.8755947947502136,0.15581082907738164,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub26,sim_study1_far_sub26.npz,12000,6000,6000,1426.009033203125,0.000282719120150432,0.008097561076283455,0.9968475103378296,0.000343767402227968,0.9998354315757751,0.15766116976737976,0.8311148881912231,0.1573174023651518,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub27,sim_study1_far_sub27.npz,12000,6000,6000,1340.723876953125,0.00023103428247850388,0.008954073302447796,0.993898868560791,0.000389125372748822,0.9995790719985962,0.15086683630943298,0.8546260595321655,0.15047771093668416,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub28,sim_study1_far_sub28.npz,12000,6000,6000,1245.5738525390625,0.0004423375357873738,0.008332200348377228,0.9952377676963806,0.00035411547287367284,0.999778151512146,0.16342638432979584,0.8359335660934448,0.16307226885692216,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub29,sim_study1_far_sub29.npz,12000,6000,6000,1354.306396484375,0.0003254545445088297,0.008577490225434303,0.9955556392669678,0.00041817943565547466,0.9995201826095581,0.135477215051651,0.9257596135139465,0.13505903561599553,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub30,sim_study1_far_sub30.npz,12000,6000,6000,1310.7962646484375,0.0002933923969976604,0.008053867146372795,0.996082603931427,0.00034656861680559814,0.9998574256896973,0.15680044889450073,0.828154444694519,0.15645388027769513,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub32,sim_study1_far_sub32.npz,12000,6000,6000,1587.4940185546875,0.00029966860893182456,0.008600933477282524,0.9954525828361511,0.00035059769288636744,0.9998508095741272,0.16043201088905334,0.8269713521003723,0.16008141319616698,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub33,sim_study1_far_sub33.npz,12000,6000,6000,1799.2109375,0.0003193130833096802,0.008547508157789707,0.9958505630493164,0.00034521668567322195,0.9998921155929565,0.16487331688404083,0.8905683755874634,0.1645281001983676,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub36,sim_study1_far_sub36.npz,12000,6000,6000,1305.56640625,0.0002898213570006192,0.00834412407130003,0.996083676815033,0.0003474979312159121,0.9998730421066284,0.16276121139526367,0.8087142109870911,0.16241371346404776,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub38,sim_study1_far_sub38.npz,12000,6000,6000,1200.000244140625,0.00030594749841839075,0.00794965960085392,0.9979880452156067,0.00036405277205631137,0.9997525811195374,0.14094676077365875,0.8754885792732239,0.14058270800160244,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub39,sim_study1_far_sub39.npz,12000,6000,6000,1380.5189208984375,0.00029372601420618594,0.008195701986551285,0.996566891670227,0.0003583198122214526,0.9997783899307251,0.16024290025234222,0.8953842520713806,0.15988458044012077,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub4,sim_study1_far_sub4.npz,12000,6000,6000,1403.9461669921875,0.00037367394543252885,0.008869237266480923,0.9946335554122925,0.000349821406416595,0.9998199939727783,0.16806678473949432,0.8420626521110535,0.16771696333307773,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub48,sim_study1_far_sub48.npz,12000,6000,6000,1335.07470703125,0.00025309575721621513,0.008310511708259583,0.9963599443435669,0.0003442371671553701,0.9998385310173035,0.16061992943286896,0.8542919754981995,0.1602756922657136,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub49,sim_study1_far_sub49.npz,12000,6000,6000,1365.603759765625,0.0003146217786706984,0.008442222140729427,0.9952812790870667,0.0003543308994267136,0.9997048377990723,0.15215906500816345,0.8392587900161743,0.15180473410873674,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub58,sim_study1_far_sub58.npz,12000,6000,6000,1442.0914306640625,0.0002870907774195075,0.00825918186455965,0.9959973692893982,0.00035505270352587104,0.9998128414154053,0.15941739082336426,0.8366814255714417,0.1590623381198384,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub59,sim_study1_far_sub59.npz,12000,6000,6000,1394.1929931640625,0.00032584049040451646,0.008182724006474018,0.9965918064117432,0.00035636781831271946,0.9997349977493286,0.15465252101421356,0.8190087676048279,0.15429615319590084,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
study1_far_sub60,sim_study1_far_sub60.npz,12000,6000,6000,1440.2161865234375,0.00035617491812445223,0.008299443870782852,0.9961259961128235,0.00035808925167657435,0.9997796416282654,0.14498980343341827,0.9084253907203674,0.1446317141817417,True,two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,/home/kat/workspace/Structure-Function-Analysis-of-Network-Topologies/a1b2_modular/data/simulations/two_module_rnn_25_task_routed_low_sparse_nb2_init0.01_nb2_task_routed_sp0.3_sep_cr_RNN_init0.01,far,study1
