participant,condition,study,A_rule,B_rule,A_weight_A1,kappa_A1,A_weight_B,kappa_B,A_weight_A2,kappa_A2,A_LL_B,B_LL_B,A_LL_A2,B_LL_A2
study1_far_sub1,far,1,2.502948,-0.638645,0.9771770115794025,3.2300430159997955,0.02069096898798916,5.291905020631253,0.832599708243158,1.8722822905094199,-158.67712116855142,-43.42342520775506,-96.95061581500222,-151.8933256674329
study1_far_sub10,far,1,1.9342180000000002,-1.207374,0.8574562632190118,2.2094748442838674,2.6274765280947105e-15,9.898049250351132,0.7665462437368641,3.62024557788891,-163.17965017108222,-16.215243860620106,-100.00391951252062,-148.85103752433437
study1_far_sub12,far,1,-2.068017,1.073576,0.9132086098271338,3.4253831831482073,1.8308723641207967e-18,12.372967268192852,0.6669923315625572,3.9399985555876924,-163.75435603368865,-9.8699364920239,-107.93162309690051,-140.92334497874103
study1_far_sub13,far,1,2.068819,-1.072773,0.8812922810841881,1.7190680601333699,0.3483001934506645,2.706295800711937,0.9999967836950941,3.619000548460456,-129.61596768334041,-94.35350202888952,-52.275297925593705,-175.25264909282947
study1_far_sub15,far,1,2.360149,-0.781444,0.8244648992031655,2.0892596344163903,0.14593330185488287,2.811381578732122,0.8317292291629671,2.09074609733474,-142.91649334351962,-79.72424725767465,-93.41182456605098,-155.0768608892399
study1_far_sub16,far,1,-1.906912,1.23468,0.883672262943957,0.7847862570903023,0.28333375472938294,2.9958809415629832,0.9093288696176952,1.0,-130.91206873337475,-93.05740961268828,-102.94574053699345,-145.90923837189462
study1_far_sub19,far,1,-1.365378,1.7762149999999999,0.9629682508695901,15.628550515509254,0.08769090995872598,3.8749798128239243,1.5774674428458665e-13,4.6743420613255475,-151.44190413236674,-64.63773114266046,-177.54183982240335,-42.900156741204974
study1_far_sub20,far,1,-2.219238,0.922355,0.9310362023634874,2.775579917928695,0.21302242836783927,4.5350644469732,0.9999962898112916,4.727726707767416,-141.4755047760566,-81.68386580332171,-42.49924733751057,-177.62712939540847
study1_far_sub21,far,1,-1.9115849999999999,1.230008,0.601096133416811,1.1075273140107278,0.15740788060843228,3.909918119843569,0.2312044904481968,2.639238336622826,-145.54659602776073,-75.76473040919997,-148.3444288659796,-100.51053399342739
study1_far_sub22,far,1,-2.100726,1.040867,0.8674877189105069,3.263623499883098,0.018518514744165507,10.169006004253761,0.9999999414336138,4.231455433258392,-161.36862100064255,-30.175841609850636,-46.466183236881236,-176.73951586342966
study1_far_sub23,far,1,-1.966225,1.175367,0.9567786533977156,2.581935462645675,0.27152997725011596,4.002945308022871,0.9937722305437043,2.2751238959779494,-139.86242937797704,-83.718012874183,-70.95239973065294,-168.6554347054496
study1_far_sub25,far,1,-2.352299,0.789294,0.9496603591851719,3.61394751736908,4.726225821678513e-18,8.830274766474714,0.8333344593708297,9.562715529487157,-162.82836494403045,-19.49731582814352,-75.19316596545613,-166.68313683501296
study1_far_sub26,far,1,2.178443,-0.963149,0.957216366571309,1.164480103278924,0.5147095327569811,1.1256122762424434,0.7430368253933127,1.054541297218078,-111.52193248100616,-112.44754388292606,-111.87575893438382,-136.9792059875082
study1_far_sub27,far,1,2.591453,-0.550139,0.9390502272594801,1.3621969591223009,0.014530708001271686,2.0711024299075094,0.7952342320739285,0.8750313603504349,-149.84281843251256,-68.02304732193336,-109.07494241086255,-139.78003557940684
