participant,index,task_section,feature_idx,stimID,taskID,feat_val,noisy_feedback_value,resp_reactiontime,dial_resp,resp_error,points,correct_afc,resp_left,click_reactiontime,aggregatePoints,debrief_tools,condition,block
study1_far_sub6,0,A1,0.0,1,0,1.9380137149697456,1.8332108324815584,7.361,2.694974510956237,0.7569607959864917,0,,,3.498,0,no,far,0
study1_far_sub6,1,A1,1.0,1,0,0.4409982847379305,0.4536389577151778,3.315,5.589998018494548,1.134185573422969,0,,,2.638,0,no,far,0
study1_far_sub6,2,A1,0.0,8,0,5.8028093792077975,5.711641957910569,2.165,1.5224955546300727,2.0028714826018614,0,,,1.802,0,no,far,0
study1_far_sub6,3,A1,1.0,8,0,4.305793948975982,4.300133485489029,2.102,3.1206376375008524,1.1851563114751291,0,,,1.807,0,no,far,0
study1_far_sub6,4,A1,0.0,4,0,5.262599482719104,5.229981337626209,1.708,2.376852708001538,2.8857467747175662,0,,,1.402,0,no,far,0
study1_far_sub6,5,A1,1.0,4,0,3.765584052487288,3.67816628061027,2.098,1.5707963267948966,2.1947877256923913,0,,,1.841,0,no,far,0
study1_far_sub6,6,A1,0.0,10,0,3.8262199185957138,3.771909843165948,2.6750000000000003,5.478096034918624,1.6518761163229103,0,,,2.422,0,no,far,0
study1_far_sub6,7,A1,1.0,10,0,2.3292044883638994,2.239980754396717,2.842,1.6199873807398837,0.7092171076240157,0,,,2.689,0,no,far,0
study1_far_sub6,8,A1,0.0,11,0,1.2393141846549711,1.3403506788873345,2.733,2.7532739354173272,1.513959750762356,0,,,2.478,0,no,far,0
study1_far_sub6,9,A1,1.0,11,0,6.025484061602743,,2.173,6.268216365425916,0.242732303823173,2,,,1.702,2,no,far,0
study1_far_sub6,10,A1,0.0,9,0,2.774128340812419,2.660984708965775,2.379,1.510360460858647,1.263767879953772,0,,,1.981,2,no,far,0
study1_far_sub6,11,A1,1.0,9,0,1.2771129105806036,1.209262046145554,1.896,0.6829138371689601,0.5941990734116435,0,,,1.764,2,no,far,0
study1_far_sub6,12,A1,0.0,1,0,1.9380137149697456,1.8136877257345487,1.811,1.1999050379822342,0.7381086769875111,0,,,1.652,2,no,far,1
study1_far_sub6,13,A1,1.0,1,0,0.4409982847379305,0.5570902065221197,1.073,1.5965141279999175,1.155515843261987,0,,,0.801,2,no,far,1
study1_far_sub6,14,A1,0.0,11,0,1.2393141846549711,1.2113580256060457,1.644,4.784552609344347,2.7379468824902107,0,,,1.512,2,no,far,1
study1_far_sub6,15,A1,1.0,11,0,6.025484061602743,,1.358,6.22926935732099,0.2037852957182471,3,,,1.195,5,no,far,1
study1_far_sub6,16,A1,0.0,10,0,3.8262199185957138,3.968193632874845,4.686,6.274011252634477,2.447791334038763,0,,,4.573,5,no,far,1
study1_far_sub6,17,A1,1.0,10,0,2.3292044883638994,2.419513257359027,0.995,5.325874596574158,2.9966701082102585,0,,,0.939,5,no,far,1
study1_far_sub6,18,A1,0.0,4,0,5.262599482719104,5.171032954499482,1.056,2.335789159505807,2.9268103232132967,0,,,0.782,5,no,far,1
study1_far_sub6,19,A1,1.0,4,0,3.765584052487288,3.622783329909203,1.363,2.3446476592858367,1.4209363932014512,0,,,1.109,5,no,far,1
study1_far_sub6,20,A1,0.0,9,0,2.774128340812419,2.8122385021157488,4.751,2.11701439149042,0.6571139493219991,0,,,4.36,5,no,far,1
study1_far_sub6,21,A1,1.0,9,0,1.2771129105806036,1.43396433563851,2.072,2.7716865861332356,1.494573675552632,0,,,1.828,5,no,far,1
study1_far_sub6,22,A1,0.0,8,0,5.8028093792077975,5.897140525602827,2.66,2.8324750519914903,2.970334327216307,0,,,2.396,5,no,far,1
study1_far_sub6,23,A1,1.0,8,0,4.305793948975982,4.316669604103903,2.144,2.817850069955556,1.4879438790204258,0,,,1.97,5,no,far,1
study1_far_sub6,24,A1,0.0,4,0,5.262599482719104,5.371769135836163,2.67,1.6582351416802152,2.678820966140698,0,,,2.366,5,no,far,2
study1_far_sub6,25,A1,1.0,4,0,3.765584052487288,3.709198882053116,1.807,1.609467514366109,2.156116538121178,0,,,1.512,5,no,far,2
study1_far_sub6,26,A1,0.0,1,0,1.9380137149697456,1.9277370731645245,1.597,1.5920697128189578,0.3459440021507876,2,,,1.371,7,no,far,2
study1_far_sub6,27,A1,1.0,1,0,0.4409982847379305,0.5164844313095988,2.1,2.02190977328961,1.5809114885516795,0,,,1.986,7,no,far,2
study1_far_sub6,28,A1,0.0,8,0,5.8028093792077975,5.837783457366098,2.513,5.489850802474672,0.3129585767331253,2,,,2.188,9,no,far,2
study1_far_sub6,29,A1,1.0,8,0,4.305793948975982,4.470505044799798,2.009,4.157558061043292,0.1482358879326897,2,,,1.803,11,no,far,2
study1_far_sub6,30,A1,0.0,9,0,2.774128340812419,2.9792373931271343,1.843,2.5519316767698115,0.2221966640426074,2,,,1.619,13,no,far,2
study1_far_sub6,31,A1,1.0,9,0,1.2771129105806036,1.3004428158580934,1.641,0.9771073507437584,0.3000055598368452,2,,,1.4,15,no,far,2
study1_far_sub6,32,A1,0.0,10,0,3.8262199185957138,3.7858332352056143,2.408,4.4156813590186665,0.5894614404229528,0,,,2.192,15,no,far,2
study1_far_sub6,33,A1,1.0,10,0,2.3292044883638994,2.2958950775443814,1.155,5.954284721411429,2.658105074132057,0,,,0.927,15,no,far,2
study1_far_sub6,34,A1,0.0,11,0,1.2393141846549711,1.3126821396076698,1.934,1.6373644905707203,0.3980503059157492,2,,,1.691,17,no,far,2
study1_far_sub6,35,A1,1.0,11,0,6.025484061602743,,1.726,1.622896374435995,1.8805976200128385,0,,,1.46,17,no,far,2
study1_far_sub6,36,A1,0.0,8,0,5.8028093792077975,6.008581077368971,5.091,4.057253369018341,1.745556010189456,0,,,4.9670000000000005,17,no,far,3
study1_far_sub6,37,A1,1.0,8,0,4.305793948975982,4.328528046790986,1.187,4.09829115979541,0.2075027891805714,3,,,0.985,20,no,far,3
study1_far_sub6,38,A1,0.0,11,0,1.2393141846549711,1.3363528714978807,2.39,5.486701123460089,2.0357983683744685,0,,,2.051,20,no,far,3
study1_far_sub6,39,A1,1.0,11,0,6.025484061602743,,1.805,4.19180814689303,1.8336759147097128,0,,,1.626,20,no,far,3
study1_far_sub6,40,A1,0.0,1,0,1.9380137149697456,2.030032707708683,2.172,1.2701906567525012,0.6678230582172442,0,,,1.876,20,no,far,3
study1_far_sub6,41,A1,1.0,1,0,0.4409982847379305,0.4183691962284355,2.329,0.3410767338812925,0.099921550856638,5,,,2.212,25,no,far,3
study1_far_sub6,42,A1,0.0,9,0,2.774128340812419,2.864777322318397,2.324,5.783116563964273,3.0089882231518543,0,,,2.12,25,no,far,3
study1_far_sub6,43,A1,1.0,9,0,1.2771129105806036,1.4582398743996576,1.86,1.3990049264432356,0.1218920158626319,6,,,1.623,31,no,far,3
study1_far_sub6,44,A1,0.0,4,0,5.262599482719104,5.242317925687141,2.147,5.5088242231857025,0.2462247404665989,3,,,1.975,34,no,far,3
study1_far_sub6,45,A1,1.0,4,0,3.765584052487288,3.852597334256045,1.022,4.064510163471845,0.2989261109845573,3,,,0.865,37,no,far,3
study1_far_sub6,46,A1,0.0,10,0,3.8262199185957138,3.865501734027872,2.377,1.6214991023108691,2.2047208162848446,0,,,2.201,37,no,far,3
study1_far_sub6,47,A1,1.0,10,0,2.3292044883638994,2.3766544046081677,1.183,5.661153291890414,2.951236503653072,0,,,1.021,37,no,far,3
study1_far_sub6,48,A1,0.0,9,0,2.774128340812419,3.0551558388060434,3.568,3.74295005578948,0.9688217149770612,0,,,3.378,37,no,far,4
study1_far_sub6,49,A1,1.0,9,0,1.2771129105806036,1.065232776755242,2.189,5.30646262816363,2.2538355895965596,0,,,2.08,37,no,far,4
study1_far_sub6,50,A1,0.0,11,0,1.2393141846549711,1.273980775041038,1.932,1.6072543291810943,0.367940144526123,2,,,1.638,39,no,far,4
study1_far_sub6,51,A1,1.0,11,0,6.025484061602743,,1.313,3.3077122044857807,2.7177718571169622,0,,,1.2,39,no,far,4
study1_far_sub6,52,A1,0.0,10,0,3.8262199185957138,3.988198788730531,1.935,3.901891486467176,0.0756715678714621,5,,,1.76,44,no,far,4
study1_far_sub6,53,A1,1.0,10,0,2.3292044883638994,2.2148894693154064,1.344,5.723626912846201,2.888762882697285,0,,,1.188,44,no,far,4
study1_far_sub6,54,A1,0.0,1,0,1.9380137149697456,1.9010874202030792,2.438,2.500636068566989,0.5626223535972437,0,,,2.341,44,no,far,4
study1_far_sub6,55,A1,1.0,1,0,0.4409982847379305,0.5693188446250416,3.02,3.9336132367299097,2.7905703551876075,0,,,2.907,44,no,far,4
study1_far_sub6,56,A1,0.0,8,0,5.8028093792077975,5.739846296566027,2.056,2.0344439357957027,2.514819863767491,0,,,1.958,44,no,far,4
study1_far_sub6,57,A1,1.0,8,0,4.305793948975982,4.2855860652658215,1.005,3.970822374712879,0.3349715742631027,2,,,0.963,46,no,far,4
study1_far_sub6,58,A1,0.0,4,0,5.262599482719104,5.3229356947845,2.621,2.570076602329493,2.6925228803896104,0,,,2.431,46,no,far,4
study1_far_sub6,59,A1,1.0,4,0,3.765584052487288,3.87129135120283,1.544,0.7896175476404518,2.975966504846836,0,,,1.438,46,no,far,4
study1_far_sub6,60,A1,0.0,11,0,1.2393141846549711,1.3023347095367612,1.967,1.5591009536292078,0.3197867689742364,3,,,1.757,49,no,far,5
study1_far_sub6,61,A1,1.0,11,0,6.025484061602743,,1.629,0.1199039853650239,0.3776052309418674,2,,,1.515,51,no,far,5
study1_far_sub6,62,A1,0.0,8,0,5.8028093792077975,5.630964396947055,3.016,0.035912696614564,0.5162886245863527,0,,,2.793,51,no,far,5
study1_far_sub6,63,A1,1.0,8,0,4.305793948975982,4.4426941054701885,1.455,0.8784618921218662,2.8558532503254708,0,,,1.394,51,no,far,5
study1_far_sub6,64,A1,0.0,9,0,2.774128340812419,2.8877214641933655,1.853,2.396351462213015,0.3777768785994038,1,,,1.691,52,no,far,5
study1_far_sub6,65,A1,1.0,9,0,1.2771129105806036,1.1703465691421904,1.235,4.387700138655567,3.110587228074963,0,,,1.148,52,no,far,5
study1_far_sub6,66,A1,0.0,1,0,1.9380137149697456,1.9323486706137596,3.414,3.1804951722896004,1.242481457319855,0,,,3.2880000000000003,52,no,far,5
study1_far_sub6,67,A1,1.0,1,0,0.4409982847379305,0.3791368095435952,1.198,6.051437069800643,0.6727465221168734,0,,,1.142,52,no,far,5
study1_far_sub6,68,A1,0.0,10,0,3.8262199185957138,3.79543336090773,1.641,2.351521627008049,1.4746982915876647,0,,,1.519,52,no,far,5
study1_far_sub6,69,A1,1.0,10,0,2.3292044883638994,2.332146178193096,1.225,2.6213520487186477,0.2921475603547483,2,,,1.092,54,no,far,5
study1_far_sub6,70,A1,0.0,4,0,5.262599482719104,5.258577678296722,2.649,2.6314960660570534,2.63110341666205,0,,,1.566,54,no,far,5
study1_far_sub6,71,A1,1.0,4,0,3.765584052487288,3.7374371568951497,1.081,4.247395477176361,0.4818114246890728,1,,,0.851,55,no,far,5
study1_far_sub6,72,A1,0.0,10,0,3.8262199185957138,3.80827018679968,1.46,1.6361791888737391,2.1900407297219746,0,,,1.196,55,no,far,6
study1_far_sub6,73,A1,1.0,10,0,2.3292044883638994,2.3755539391932143,1.394,2.9869061495049167,0.6577016611410174,0,,,1.042,55,no,far,6
study1_far_sub6,74,A1,0.0,11,0,1.2393141846549711,1.3987896201493224,1.5,1.6266388292750666,0.3873246446200953,3,,,1.226,58,no,far,6
study1_far_sub6,75,A1,1.0,11,0,6.025484061602743,,2.742,3.12587067866615,2.899613382936593,0,,,2.568,58,no,far,6
study1_far_sub6,76,A1,0.0,9,0,2.774128340812419,2.7942042454506177,2.344,1.546920267792785,1.2272080730196342,0,,,2.109,58,no,far,6
study1_far_sub6,77,A1,1.0,9,0,1.2771129105806036,1.3587603302724198,1.314,4.318330103658767,3.0412171930781637,0,,,1.2,58,no,far,6
study1_far_sub6,78,A1,0.0,4,0,5.262599482719104,5.260300451731978,2.214,3.6291456937420303,1.6334537889770728,0,,,2.104,58,no,far,6
study1_far_sub6,79,A1,1.0,4,0,3.765584052487288,3.657208726507299,0.91,3.248775253583473,0.5168087989038148,2,,,0.846,60,no,far,6
study1_far_sub6,80,A1,0.0,1,0,1.9380137149697456,1.9632184929511551,1.269,5.559929252069606,2.661269770079725,0,,,1.17,60,no,far,6
study1_far_sub6,81,A1,1.0,1,0,0.4409982847379305,0.5048230381315228,1.047,0.5252135407387397,0.0842152560008091,8,,,0.965,68,no,far,6
study1_far_sub6,82,A1,0.0,8,0,5.8028093792077975,5.945704271759423,1.912,4.126983773593422,1.6758256056143752,0,,,1.783,68,no,far,6
study1_far_sub6,83,A1,1.0,8,0,4.305793948975982,4.2748733781544646,1.067,4.6877785655906274,0.3819846166146456,2,,,1.02,70,no,far,6
study1_far_sub6,84,A1,0.0,4,0,5.262599482719104,5.3188457177900075,1.418,1.5769124584826435,2.5974982829431266,0,,,1.291,70,no,far,7
study1_far_sub6,85,A1,1.0,4,0,3.765584052487288,3.7397958329059833,3.696,3.9944861216530225,0.2289020691657346,3,,,1.6,73,no,far,7
study1_far_sub6,86,A1,0.0,1,0,1.9380137149697456,1.8734169913893752,2.267,1.642103791580187,0.2959099233895583,3,,,1.351,76,no,far,7
study1_far_sub6,87,A1,1.0,1,0,0.4409982847379305,0.4656696316930357,2.932,0.1472978795147679,0.2937004052231626,2,,,1.488,78,no,far,7
study1_far_sub6,88,A1,0.0,11,0,1.2393141846549711,1.2371978607320522,6.327,2.9123652505642372,1.673051065909266,0,,,1.781,78,no,far,7
study1_far_sub6,89,A1,1.0,11,0,6.025484061602743,,1.822,2.6792837318749827,2.936984977451826,0,,,1.523,78,no,far,7
study1_far_sub6,90,A1,0.0,10,0,3.8262199185957138,3.8910621105916814,2.62,2.9519488764521196,0.8742710421435942,0,,,2.481,78,no,far,7
study1_far_sub6,91,A1,1.0,10,0,2.3292044883638994,2.3797717763625403,1.697,2.538528427561402,0.2093239391975028,4,,,1.359,82,no,far,7
study1_far_sub6,92,A1,0.0,9,0,2.774128340812419,2.841311501453485,1.688,1.9548404249974964,0.8192879158149224,0,,,1.444,82,no,far,7
study1_far_sub6,93,A1,1.0,9,0,1.2771129105806036,1.3286548741668047,1.032,1.5122214340572973,0.2351085234766936,3,,,0.928,85,no,far,7
study1_far_sub6,94,A1,0.0,8,0,5.8028093792077975,5.804090662570726,2.118,1.5485777614681775,2.028953689439966,0,,,1.751,85,no,far,7
study1_far_sub6,95,A1,1.0,8,0,4.305793948975982,4.195513321400267,1.109,0.9501774281949672,2.9275687863985715,0,,,0.951,85,no,far,7
study1_far_sub6,96,A1,0.0,4,0,5.262599482719104,5.179918003606107,5.2250000000000005,0.4568449928459973,1.4774308173064803,0,,,3.937,85,no,far,8
study1_far_sub6,97,A1,1.0,4,0,3.765584052487288,3.7141721026837025,1.951,3.813787776466094,0.0482037239788062,5,,,1.075,90,no,far,8
study1_far_sub6,98,A1,0.0,11,0,1.2393141846549711,1.3371894535229685,1.897,3.7562556055119583,2.5169414208569876,0,,,1.574,90,no,far,8
study1_far_sub6,99,A1,1.0,11,0,6.025484061602743,,1.218,2.845772885050796,3.103474130627639,0,,,1.036,90,no,far,8
study1_far_sub6,100,A1,0.0,1,0,1.9380137149697456,1.9363327672855477,2.084,1.4674197620325935,0.4705939529371519,2,,,1.515,92,no,far,8
study1_far_sub6,101,A1,1.0,1,0,0.4409982847379305,0.4192938032106986,2.415,0.439523603560207,0.0014746811777235,8,,,2.19,100,no,far,8
study1_far_sub6,102,A1,0.0,8,0,5.8028093792077975,5.735795336364784,1.838,3.566906777364134,2.2359026018436636,0,,,1.59,100,no,far,8
study1_far_sub6,103,A1,1.0,8,0,4.305793948975982,4.23075482784261,1.786,4.210196641533624,0.0955973074423575,8,,,1.617,108,no,far,8
study1_far_sub6,104,A1,0.0,9,0,2.774128340812419,2.7690262007776436,2.765,3.071585296414349,0.29745695560193,2,,,2.649,110,no,far,8
study1_far_sub6,105,A1,1.0,9,0,1.2771129105806036,1.2705680850450458,1.408,1.5807297748941012,0.3036168643134975,2,,,1.155,112,no,far,8
