participant,index,task_section,feature_idx,stimID,taskID,feat_val,noisy_feedback_value,resp_reactiontime,dial_resp,resp_error,points,correct_afc,resp_left,click_reactiontime,aggregatePoints,debrief_tools,condition,block
study1_same_sub56,0,A1,0.0,3,0,3.4983756141504263,3.5109549251866836,7.248,3.182255452116536,0.3161201620338905,2,,,3.935,2,no,same,0
study1_same_sub56,1,A1,1.0,3,0,4.919455666371961,4.982929280509814,4.355,3.5143123028379697,1.4051433635339916,0,,,2.858,2,no,same,0
study1_same_sub56,2,A1,0.0,10,0,4.923942426213396,4.935900794729052,3.842,3.208160817365617,1.7157816088477795,0,,,2.352,2,no,same,0
study1_same_sub56,3,A1,1.0,10,0,0.0618371712553447,,2.559,3.1901196475146225,3.128282476259278,0,,,1.608,2,no,same,0
study1_same_sub56,4,A1,0.0,0,0,0.6997161881600285,0.7143108598381399,4.301,3.1901196475146225,2.490403459354594,0,,,3.3040000000000003,2,no,same,0
study1_same_sub56,5,A1,1.0,0,0,2.120796240381563,2.0370366451320256,3.568,4.962683914532658,2.8418876741510943,0,,,2.624,2,no,same,0
study1_same_sub56,6,A1,0.0,6,0,0.9366295115284676,0.8841645284845429,3.166,3.1684318448490085,2.231802333320541,0,,,2.203,2,no,same,0
study1_same_sub56,7,A1,1.0,6,0,2.357709563750003,2.3834875726144418,3.539,2.0151177563110525,0.3425918074389504,2,,,2.805,4,no,same,0
study1_same_sub56,8,A1,0.0,4,0,4.195923746864919,4.253687965302559,3.3160000000000003,3.157181591130717,1.038742155734202,0,,,2.2960000000000003,4,no,same,0
study1_same_sub56,9,A1,1.0,4,0,5.617003799086454,5.582168976074417,3.739,0.887266548372241,1.5534480564653732,0,,,2.495,4,no,same,0
study1_same_sub56,10,A1,0.0,9,0,1.8770483987219135,2.003256887140141,2.653,3.178774634143436,1.3017262354215222,0,,,1.805,4,no,same,0
study1_same_sub56,11,A1,1.0,9,0,3.2981284509434485,3.1828130685528624,2.75,5.286116109872648,1.9879876589291992,0,,,1.976,4,no,same,0
study1_same_sub56,12,A1,0.0,3,0,3.4983756141504263,3.5450533486175693,3.079,3.222732796644806,0.2756428175056205,2,,,2.089,6,no,same,1
study1_same_sub56,13,A1,1.0,3,0,4.919455666371961,4.916733979267166,2.729,5.013234145306025,0.0937784789340634,5,,,1.612,11,no,same,1
study1_same_sub56,14,A1,0.0,0,0,0.6997161881600285,0.6670998924114935,5.309,0.9700825434839028,0.2703663553238744,2,,,4.293,13,no,same,1
study1_same_sub56,15,A1,1.0,0,0,2.120796240381563,2.2117151029939217,3.882,3.135196152343183,1.0143999119616196,0,,,3.013,13,no,same,1
study1_same_sub56,16,A1,0.0,9,0,1.8770483987219135,1.8375555424561036,6.511,5.091156984628412,3.0690767212730874,0,,,5.692,13,no,same,1
study1_same_sub56,17,A1,1.0,9,0,3.2981284509434485,3.2338572420328995,4.096,3.2590890451200543,0.0390394058233942,7,,,3.438,20,no,same,1
study1_same_sub56,18,A1,0.0,10,0,4.923942426213396,4.901729697331875,4.001,5.137744902898078,0.2138024766846813,3,,,3.022,23,no,same,1
study1_same_sub56,19,A1,1.0,10,0,0.0618371712553447,,3.814,2.0598539103608253,1.9980167391054808,0,,,2.91,23,no,same,1
study1_same_sub56,20,A1,0.0,6,0,0.9366295115284676,1.0353461221836755,4.67,0.99669780980068,0.0600682982722122,7,,,3.908,30,no,same,1
study1_same_sub56,21,A1,1.0,6,0,2.357709563750003,2.4249448834574627,3.656,3.1843593539947426,0.8266497902447396,0,,,2.829,30,no,same,1
study1_same_sub56,22,A1,0.0,4,0,4.195923746864919,4.245627703061577,4.202,3.961786893451936,0.2341368534129828,3,,,3.38,33,no,same,1
study1_same_sub56,23,A1,1.0,4,0,5.617003799086454,5.455221891714045,10.179,5.118275915077802,0.4987278840086526,2,,,2.18,35,no,same,1
study1_same_sub56,24,A1,0.0,9,0,1.8770483987219135,1.8554633896511503,7.156000000000001,3.3021248865265163,1.4250764878046027,0,,,3.101,35,no,same,2
study1_same_sub56,25,A1,1.0,9,0,3.2981284509434485,3.2308268907481104,2.386,5.111768783037482,1.813640332094033,0,,,1.314,35,no,same,2
study1_same_sub56,26,A1,0.0,10,0,4.923942426213396,4.883535961779234,7.361,1.0860183377548764,2.4452612187210665,0,,,6.355,35,no,same,2
study1_same_sub56,27,A1,1.0,10,0,0.0618371712553447,,4.074,3.170093705781605,3.1082565345262605,0,,,3.476,35,no,same,2
study1_same_sub56,28,A1,0.0,4,0,4.195923746864919,4.246352280429766,3.129,3.73384538333749,0.462078363527429,1,,,2.427,36,no,same,2
study1_same_sub56,29,A1,1.0,4,0,5.617003799086454,5.742734310596948,2.973,1.013858928249864,1.6800404363429955,0,,,1.974,36,no,same,2
study1_same_sub56,30,A1,0.0,3,0,3.4983756141504263,3.4274692863350675,6.409,3.4705778305419006,0.0277977836085256,6,,,2.194,42,no,same,2
study1_same_sub56,31,A1,1.0,3,0,4.919455666371961,5.002565267157007,2.544,5.067787419599089,0.1483317532271275,5,,,1.285,47,no,same,2
study1_same_sub56,32,A1,0.0,6,0,0.9366295115284676,0.921736511633408,5.474,0.99423900659724,0.0576094950687722,5,,,3.56,52,no,same,2
study1_same_sub56,33,A1,1.0,6,0,2.357709563750003,2.42783441807238,5.739,3.8551148474309063,1.4974052836809033,0,,,4.69,52,no,same,2
study1_same_sub56,34,A1,0.0,0,0,0.6997161881600285,0.7461996951614763,5.252,2.246913730640543,1.5471975424805144,0,,,4.181,52,no,same,2
study1_same_sub56,35,A1,1.0,0,0,2.120796240381563,2.0621760218430554,2.14,2.246913730640543,0.1261174902589794,3,,,1.136,55,no,same,2
study1_same_sub56,36,A1,0.0,10,0,4.923942426213396,4.990386104620248,5.63,1.036324711773537,2.395567592739727,0,,,4.268,55,no,same,3
study1_same_sub56,37,A1,1.0,10,0,0.0618371712553447,,4.854,2.108162401440457,2.0463252301851123,0,,,4.039,55,no,same,3
study1_same_sub56,38,A1,0.0,9,0,1.8770483987219135,1.803884347806563,3.65,3.911415752535299,2.0343673538133853,0,,,2.872,55,no,same,3
study1_same_sub56,39,A1,1.0,9,0,3.2981284509434485,3.3026010794066387,2.428,3.9050507643952783,0.6069223134518302,0,,,1.429,55,no,same,3
study1_same_sub56,40,A1,0.0,4,0,4.195923746864919,4.171820967166385,3.0380000000000003,5.007353763103742,0.8114300162388233,0,,,2.004,55,no,same,3
study1_same_sub56,41,A1,1.0,4,0,5.617003799086454,5.679990715580322,2.359,5.022776387517041,0.5942274115694133,0,,,1.527,55,no,same,3
study1_same_sub56,42,A1,0.0,6,0,0.9366295115284676,1.0334480495265437,4.025,3.1437431879089335,2.207113676380466,0,,,1.886,55,no,same,3
study1_same_sub56,43,A1,1.0,6,0,2.357709563750003,2.3646638035964527,3.103,3.279720881817155,0.922011318067152,0,,,2.186,55,no,same,3
study1_same_sub56,44,A1,0.0,3,0,3.4983756141504263,3.4777612705303738,3.216,3.7022796485725986,0.2039040344221723,3,,,2.267,58,no,same,3
study1_same_sub56,45,A1,1.0,3,0,4.919455666371961,5.032158326809078,1.658,4.9665416980566635,0.0470860316847021,5,,,0.615,63,no,same,3
study1_same_sub56,46,A1,0.0,0,0,0.6997161881600285,0.6499489391024199,3.569,1.0318198269657504,0.3321036388057219,2,,,2.73,65,no,same,3
study1_same_sub56,47,A1,1.0,0,0,2.120796240381563,1.9904960948151829,2.85,4.97402351567586,2.8532272752942966,0,,,2.191,65,no,same,3
study1_same_sub56,48,A1,0.0,4,0,4.195923746864919,4.233075288103994,3.423,2.0583914527179106,2.1375322941470083,0,,,2.77,65,no,same,4
study1_same_sub56,49,A1,1.0,4,0,5.617003799086454,5.513320873954551,2.716,2.0392982665973785,2.7054797746905104,0,,,2.085,65,no,same,4
study1_same_sub56,50,A1,0.0,6,0,0.9366295115284676,1.0473307754656132,4.532,0.9329253014327104,0.0037042100957573,4,,,2.5340000000000003,69,no,same,4
study1_same_sub56,51,A1,1.0,6,0,2.357709563750003,2.3213046692524606,3.849,3.180873747523137,0.8231641837731338,0,,,3.057,69,no,same,4
study1_same_sub56,52,A1,0.0,10,0,4.923942426213396,4.9436551593442974,6.176,0.988749578970376,2.347992459936566,0,,,5.521,69,no,same,4
study1_same_sub56,53,A1,1.0,10,0,0.0618371712553447,,1.884,0.988749578970376,0.9269124077150313,0,,,1.109,69,no,same,4
study1_same_sub56,54,A1,0.0,3,0,3.4983756141504263,3.615670970436983,3.676,3.1781355184659135,0.3202400956845128,2,,,2.11,71,no,same,4
study1_same_sub56,55,A1,1.0,3,0,4.919455666371961,4.894869398551825,1.597,4.999719848220683,0.0802641818487215,5,,,0.6980000000000001,76,no,same,4
study1_same_sub56,56,A1,0.0,0,0,0.6997161881600285,0.8392113701007424,3.729,2.242140542951598,1.5424243547915697,0,,,3.123,76,no,same,4
study1_same_sub56,57,A1,1.0,0,0,2.120796240381563,2.0622304596761616,1.1,2.242140542951598,0.1213443025700344,3,,,0.409,79,no,same,4
study1_same_sub56,58,A1,0.0,9,0,1.8770483987219135,1.8540532006263473,2.918,3.9038824503895366,2.026834051667623,0,,,2.308,79,no,same,4
study1_same_sub56,59,A1,1.0,9,0,3.2981284509434485,3.2749306997614624,1.526,3.902304474931642,0.6041760239881935,0,,,0.882,79,no,same,4
study1_same_sub56,60,A1,0.0,4,0,4.195923746864919,4.212912920571997,3.858,5.042013387805432,0.8460896409405132,0,,,2.956,79,no,same,5
study1_same_sub56,61,A1,1.0,4,0,5.617003799086454,5.577295138795483,1.088,5.042013387805432,0.5749904112810222,0,,,0.373,79,no,same,5
study1_same_sub56,62,A1,0.0,3,0,3.4983756141504263,3.393067888023182,2.853,3.2583162890614465,0.2400593250889797,4,,,1.702,83,no,same,5
study1_same_sub56,63,A1,1.0,3,0,4.919455666371961,4.945589248181919,1.621,4.942200875899111,0.0227452095271498,10,,,0.762,93,no,same,5
study1_same_sub56,64,A1,0.0,0,0,0.6997161881600285,0.6849768412049044,3.749,3.746856181413584,3.047139993253555,0,,,3.048,93,no,same,5
study1_same_sub56,65,A1,1.0,0,0,2.120796240381563,2.198403655923646,1.957,3.909336150658145,1.7885399102765818,0,,,1.255,93,no,same,5
study1_same_sub56,66,A1,0.0,9,0,1.8770483987219135,1.866593006084684,2.326,3.259979189436685,1.3829307907147714,0,,,1.695,93,no,same,5
study1_same_sub56,67,A1,1.0,9,0,3.2981284509434485,3.267704749576115,1.932,5.097663418459511,1.7995349675160628,0,,,1.015,93,no,same,5
study1_same_sub56,68,A1,0.0,10,0,4.923942426213396,4.9263360423849925,3.551,2.0763773816691016,2.847565044544295,0,,,2.932,93,no,same,5
study1_same_sub56,69,A1,1.0,10,0,0.0618371712553447,,1.096,2.0763773816691016,2.014540210413757,0,,,0.477,93,no,same,5
study1_same_sub56,70,A1,0.0,6,0,0.9366295115284676,1.0545211862690742,4.3340000000000005,1.0436789685213457,0.1070494569928777,9,,,2.479,102,no,same,5
study1_same_sub56,71,A1,1.0,6,0,2.357709563750003,2.2094819053174453,6.854,2.2567819480166262,0.1009276157333767,6,,,1.4,108,no,same,5
study1_same_sub56,72,A1,0.0,10,0,4.923942426213396,4.959453827143246,4.458,5.019647795715832,0.0957053695024354,6,,,3.676,114,no,same,6
study1_same_sub56,73,A1,1.0,10,0,0.0618371712553447,,6.492,2.1317452618747414,2.0699080906193967,0,,,5.1160000000000005,114,no,same,6
study1_same_sub56,74,A1,0.0,3,0,3.4983756141504263,3.5159590173345254,2.932,3.213054272836634,0.2853213413137925,2,,,2.016,116,no,same,6
study1_same_sub56,75,A1,1.0,3,0,4.919455666371961,4.804017515953438,2.938,4.891299105128383,0.0281565612435779,5,,,0.71,121,no,same,6
study1_same_sub56,76,A1,0.0,0,0,0.6997161881600285,0.764496897080729,3.143,2.061003154041452,1.3612869658814235,0,,,2.474,121,no,same,6
study1_same_sub56,77,A1,1.0,0,0,2.120796240381563,2.084280311907252,2.1670000000000003,2.056366066812481,0.0644301735690828,7,,,1.296,128,no,same,6
study1_same_sub56,78,A1,0.0,9,0,1.8770483987219135,1.69117000889337,2.785,3.211045979585115,1.3339975808632016,0,,,1.835,128,no,same,6
study1_same_sub56,79,A1,1.0,9,0,3.2981284509434485,3.340856535285807,1.545,4.950759810171441,1.6526313592279922,0,,,0.791,128,no,same,6
study1_same_sub56,80,A1,0.0,4,0,4.195923746864919,4.083260826363032,3.688,4.919180236897905,0.7232564900329859,0,,,2.873,128,no,same,6
study1_same_sub56,81,A1,1.0,4,0,5.617003799086454,5.696716339813301,1.068,4.919180236897905,0.6978235621885496,0,,,0.359,128,no,same,6
study1_same_sub56,82,A1,0.0,6,0,0.9366295115284676,0.9966004350009846,3.755,1.054870813329612,0.1182413018011441,6,,,2.57,134,no,same,6
study1_same_sub56,83,A1,1.0,6,0,2.357709563750003,2.3285517146541763,2.821,2.2361397036974555,0.1215698600525474,5,,,0.882,139,no,same,6
study1_same_sub56,84,A1,0.0,4,0,4.195923746864919,4.292217155075353,3.531,2.1954317495665103,2.0004919972984085,0,,,2.356,139,no,same,7
study1_same_sub56,85,A1,1.0,4,0,5.617003799086454,5.754310408752327,2.015,5.115198056203026,0.5018057428834286,0,,,1.325,139,no,same,7
study1_same_sub56,86,A1,0.0,0,0,0.6997161881600285,0.6726576172627466,2.568,5.115782415978061,1.8671190793615535,0,,,1.596,139,no,same,7
study1_same_sub56,87,A1,1.0,0,0,2.120796240381563,2.1212177854027656,2.075,5.115782415978061,2.9949861755964977,0,,,1.235,139,no,same,7
study1_same_sub56,88,A1,0.0,3,0,3.4983756141504263,3.7451453387013127,3.023,3.2837980646442517,0.2145775495061745,2,,,1.893,141,no,same,7
study1_same_sub56,89,A1,1.0,3,0,4.919455666371961,4.960089896477516,1.771,4.90754740750136,0.0119082588706014,6,,,0.759,147,no,same,7
study1_same_sub56,90,A1,0.0,10,0,4.923942426213396,4.734584130103229,3.397,4.968332116389371,0.0443896901759748,3,,,1.971,150,no,same,7
study1_same_sub56,91,A1,1.0,10,0,0.0618371712553447,,3.846,2.086408886843558,2.0245717155882135,0,,,2.902,150,no,same,7
study1_same_sub56,92,A1,0.0,9,0,1.8770483987219135,1.871677246934328,5.106,3.365561477569193,1.4885130788472796,0,,,3.771,150,no,same,7
study1_same_sub56,93,A1,1.0,9,0,3.2981284509434485,3.283995307085057,1.702,3.405902957608275,0.1077745066648265,4,,,1.077,154,no,same,7
study1_same_sub56,94,A1,0.0,6,0,0.9366295115284676,0.8975804048397772,3.178,1.1541610991697562,0.2175315876412884,3,,,2.217,157,no,same,7
study1_same_sub56,95,A1,1.0,6,0,2.357709563750003,2.4857389240793313,1.803,2.1680465088930294,0.1896630548569735,2,,,0.779,159,no,same,7
study1_same_sub56,96,A1,0.0,9,0,1.8770483987219135,1.7932833515230395,5.934,3.574617427385291,1.6975690286633776,0,,,5.023,159,no,same,8
study1_same_sub56,97,A1,1.0,9,0,3.2981284509434485,3.361163647506036,4.046,3.574617427385291,0.2764889764418425,3,,,2.753,162,no,same,8
study1_same_sub56,98,A1,0.0,4,0,4.195923746864919,4.273942741005307,6.409,4.96766538247463,0.7717416356097111,0,,,5.53,162,no,same,8
study1_same_sub56,99,A1,1.0,4,0,5.617003799086454,5.557659558546951,1.099,4.96766538247463,0.6493384166118243,0,,,0.396,162,no,same,8
study1_same_sub56,100,A1,0.0,10,0,4.923942426213396,4.943501171867689,3.965,4.754586139332144,0.1693562868812526,3,,,2.938,165,no,same,8
study1_same_sub56,101,A1,1.0,10,0,0.0618371712553447,,7.248,1.98458314389952,1.9227459726441751,0,,,6.086,165,no,same,8
study1_same_sub56,102,A1,0.0,0,0,0.6997161881600285,0.6589336753514601,4.046,0.931788651811427,0.2320724636513985,3,,,3.263,168,no,same,8
study1_same_sub56,103,A1,1.0,0,0,2.120796240381563,2.131783989855054,1.77,2.1700145167221923,0.0492182763406288,7,,,1.167,175,no,same,8
