participant,index,task_section,feature_idx,stimID,taskID,feat_val,noisy_feedback_value,resp_reactiontime,dial_resp,resp_error,points,correct_afc,resp_left,click_reactiontime,aggregatePoints,debrief_tools,condition,block
study2_near_sub36,0,A1,0.0,5,0,5.306704007199929,5.181426877076774,4.333,3.1969683539730545,2.109735653226875,0,,,2.54,0,no,near,0
study2_near_sub36,1,A1,1.0,5,0,1.6413496328063155,1.7338461899901014,4.181,3.146046967114759,1.504697334308443,0,,,3.016,0,no,near,0
study2_near_sub36,2,A1,0.0,11,0,1.358842179665467,1.4416560529546292,3.14,4.979418936807717,2.6626085500373367,0,,,2.1710000000000003,0,no,near,0
study2_near_sub36,3,A1,1.0,11,0,3.976673112451439,3.958537725718606,2.387,4.56182766694405,0.5851545544926111,0,,,1.852,0,no,near,0
study2_near_sub36,4,A1,0.0,2,0,4.493312313338405,4.510067955020196,3.136,4.710238446065549,0.2169261327271439,3,,,2.629,3,no,near,0
study2_near_sub36,5,A1,1.0,2,0,0.8279579389447917,0.8845440315029538,3.979,1.6065752351970006,0.7786172962522089,0,,,3.158,3,no,near,0
study2_near_sub36,6,A1,0.0,3,0,2.369664799873394,2.290380157768443,3.16,1.562100893783118,0.807563906090276,0,,,2.344,3,no,near,0
study2_near_sub36,7,A1,1.0,3,0,4.987495732659366,5.150931485695378,4.037,5.451523881357781,0.4640281486984152,2,,,3.432,5,no,near,0
study2_near_sub36,8,A1,0.0,6,0,0.6346762326950439,0.5963577594299975,3.89,4.679141812487113,2.238719727387517,0,,,3.1590000000000003,5,no,near,0
study2_near_sub36,9,A1,1.0,6,0,3.252507165481016,3.2562506497874155,3.548,4.3926946259688835,1.1401874604878677,0,,,2.367,5,no,near,0
study2_near_sub36,10,A1,0.0,9,0,3.418617935705396,3.40616047605029,5.429,4.63844994272675,1.2198320070213535,0,,,4.996,5,no,near,0
study2_near_sub36,11,A1,1.0,9,0,6.036448868491368,,2.957,1.5775076354262194,1.8242440741144377,0,,,2.201,5,no,near,0
study2_near_sub36,12,A1,0.0,3,0,2.369664799873394,2.20430969618888,7.479,1.3839359346690536,0.9857288652043404,0,,,7.134,5,no,near,1
