condition_name,run_id,classification,expected_root,in_primary,in_ablation,action,reason
rich_10,rich_10,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
rich_50,rich_50,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
rich_200,rich_200,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
gamma_e_2_50,gamma_e_2_50,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
gamma_e_1_50,gamma_e_1_50,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
gamma_1_50,gamma_1_50,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
lazy_50,lazy_50,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
two_module_rnn_50,two_module_rnn_50_nb1_shared_sp1.0_sep_cr_RNN,ablation,simulations/primary_grid_ablations,True,False,move_to_ablation,ablation currently in primary root
two_module_rnn_50_low_sparse,two_module_rnn_50_low_sparse_nb1_shared_sp0.3_sep_cr_RNN,ablation,simulations/primary_grid_ablations,True,False,move_to_ablation,ablation currently in primary root
two_module_rnn_50_task_routed,two_module_rnn_50_task_routed_nb1_task_routed_sp1_sep_cr_RNN,ablation,simulations/primary_grid_ablations,True,False,move_to_ablation,ablation currently in primary root
two_module_rnn_50_task_routed_low_sparse,two_module_rnn_50_task_routed_low_sparse_nb1_task_routed_sp0.3_sep_cr_RNN,ablation,simulations/primary_grid_ablations,True,False,move_to_ablation,ablation currently in primary root
two_module_rnn_50_sp05,two_module_rnn_50_sp05_nb1_shared_sp0.5_sep_cr_RNN,ablation,simulations/primary_grid_ablations,True,False,move_to_ablation,ablation currently in primary root
two_module_rnn_50_sp07,two_module_rnn_50_sp07_nb1_shared_sp0.7_sep_cr_RNN,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
two_module_rnn_50_task_routed_sp05,two_module_rnn_50_task_routed_sp05_nb1_task_routed_sp0.5_sep_cr_RNN,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
two_module_rnn_50_task_routed_sp07,two_module_rnn_50_task_routed_sp07_nb1_task_routed_sp0.7_sep_cr_RNN,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
two_module_rnn_50_sep_readout,two_module_rnn_50_sep_readout_nb1_shared_sp1_sep_pr_RNN,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
two_module_rnn_50_low_sparse_sep_readout,two_module_rnn_50_low_sparse_sep_readout_nb1_shared_sp0.3_sep_pr_RNN,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
two_module_rnn_50_sp05_sep_readout,two_module_rnn_50_sp05_sep_readout_nb1_shared_sp0.5_sep_pr_RNN,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
two_module_rnn_50_sp07_sep_readout,two_module_rnn_50_sp07_sep_readout_nb1_shared_sp0.7_sep_pr_RNN,ablation,simulations/primary_grid_ablations,False,False,missing,no folder found in either root
two_module_rnn_50_no_comms,two_module_rnn_50_no_comms_nb1_shared_sp0_sep_cr_RNN,ablation,simulations/primary_grid_ablations,True,False,move_to_ablation,ablation currently in primary root
