participant,condition,A_weight_A1,kappa_A1,A_weight_B,kappa_B,A_weight_A2,kappa_A2
sim_study2_near_sub38,near,0.95715592045201,13.505555837055418,0.1,1187.5092702530997,2.44092707589421e-06,59.239174964608424
sim_study1_near_sub50,near,0.8912494026933824,7.877526817933495,0.1,731.8061858976174,6.355896357938853e-06,56.94367644240592
sim_study2_near_sub66,near,0.8393536817006816,3.8612858980671914,0.09998566131574368,422.56021830661166,3.3499397778536833e-05,44.92747837437547
sim_study1_near_sub47,near,0.990064924513742,2.5826620396087625,0.09999999395344059,458.65505287987423,1.3652222307934787e-05,47.4103263615245
sim_study2_near_sub30,near,0.9863930753233919,7.132669621216143,0.09868415452374237,296.4688590258697,2.9210218039684654e-06,57.85205013729576
sim_study1_near_sub4,near,0.8633585261804142,6.093461230135767,0.03488436947611365,109.72024759665379,2.299904154882714e-06,58.41178678746313
sim_study1_near_sub30,near,0.9631302080411481,4.8447667459131285,0.08479755287928752,212.5189590091494,1.7561185184889416e-06,59.48667326121454
sim_study1_near_sub26,near,0.8419236617245408,44.2637110506046,0.07233080255874791,204.1458360601226,6.044034014528052e-06,54.41008263185186
sim_study1_near_sub1,near,0.8889415188972181,11.702032842850977,0.05457820673887997,81.11723921274253,2.6858960453411408e-06,57.00015271871449
sim_study1_near_sub74,near,0.9724554965811354,2.4629601589095023,0.08094614790671363,317.27933601090166,5.649751850367123e-07,67.06156555662325
sim_study2_near_sub20,near,0.9322136123648065,3.327148147697793,0.06819813581354449,216.5279064937166,7.614752945406175e-06,52.34162325907003
sim_study1_near_sub57,near,0.9545733105621147,7.702357471185376,0.09748168686078161,355.52065775776197,1.25908007036521e-05,51.13940934576605
sim_study2_near_sub8,near,0.9920649453713966,2.517042126850344,0.08344448573386504,223.08385691180933,1.457696420106619e-06,61.3077122557669
sim_study2_near_sub27,near,0.9133956547560338,6.85161870339044,0.1,615.2984931632959,4.142463246667427e-06,56.158146141997655
sim_study2_near_sub14,near,0.930242330529445,10.300520657569587,0.1,776.323675170793,1.0990301699325687e-05,52.49307569829044
sim_study1_near_sub38,near,0.8671521545175016,4.345835589224626,0.07286396266532012,69.9143787190137,1.0831194776846256e-05,48.62340722728641
sim_study2_near_sub33,near,0.8608946405383837,13.20433701413234,0.1,711.3605802815716,1.3233577878805182e-05,50.837070510273655
sim_study2_near_sub1,near,0.9775204543937275,7.624210244057024,0.1,856.676369024658,5.6363198146754866e-06,55.78278521186853
sim_study1_near_sub40,near,0.7832563445619422,9.408941064835773,0.07185708911352755,183.77715519060325,1.0447827578839327e-05,48.78294932848545
sim_study2_near_sub12,near,0.9752424003280461,2.7282732842813986,0.0406471271951576,55.859486159820804,1.7052031741933402e-06,61.28832414413702
sim_study2_near_sub4,near,0.9957038909730719,5.972096071677549,0.08335054894606884,239.7907377036807,5.629282152405896e-06,55.710259512648356
sim_study2_near_sub26,near,0.9209187620540078,4.468883154671442,0.08333333018058549,338.2507951835297,2.6258518440148895e-06,57.683529090617746
sim_study2_near_sub46,near,0.99261932949463,6.32428612711516,0.09999999999536943,518.5630363684375,2.1200144588605416e-06,60.80095115629041
sim_study2_near_sub75,near,0.9043427330274247,3.0101756987305066,0.08014757260260848,10.21443991527448,5.319423735376344e-06,54.60584086350305
sim_study1_near_sub29,near,0.9063793050717024,2.346808406491323,0.05939171085908123,108.8262511922688,1.7543370703735793e-06,58.893709876454345
sim_study2_near_sub73,near,0.9192117735668192,8.540729164897257,0.1,976.6878859433218,2.5041161987623117e-05,49.14313343788567
sim_study1_near_sub67,near,0.9270898211781314,2.6577193801942225,0.07981236861588803,304.5876246150366,3.1829042059221444e-06,58.069168528989415
sim_study1_near_sub66,near,0.8613218949780411,3.8703042824798386,0.06691815954783738,101.62816822238928,3.971764738139115e-06,55.648279006786844
sim_study2_near_sub68,near,0.9997500161587877,11.674119734916882,0.09999999999999899,567.850377599124,5.965030826937183e-06,54.59889443838775
sim_study1_near_sub15,near,0.9927737431158586,8.882116138277796,0.09999999999831387,573.6532448189106,3.0281366178647614e-06,63.19263811222571
sim_study2_near_sub15,near,0.9316633113508092,2.4404252970944738,0.0666936945385375,58.141938574505744,1.9844667842875054e-06,58.86497145877501
sim_study2_near_sub43,near,0.9896514376755774,8.239570636056625,0.1,652.481572635304,4.4390364754408515e-05,49.22700356985682
sim_study2_near_sub63,near,0.9996220413125525,10.267110221262705,0.07050890216758533,232.78212198156191,3.1323268099321244e-06,58.633189465749936
sim_study1_near_sub6,near,0.8394722523183931,3.243023316416745,0.08328189248276525,50.50592546185996,7.265535645028003e-06,53.148212007322584
sim_study2_near_sub61,near,0.7054142600659143,4.238339872069025,0.0742903221725978,237.24964627051108,1.4554221593991614e-06,60.937848428401765
sim_study2_near_sub6,near,0.926845085598747,10.488499492197025,0.1,729.0719772911299,1.3541178913888531e-05,50.40064702846057
sim_study1_near_sub37,near,0.9654559562777042,2.565882980122867,0.06619677408964322,87.7861100434929,4.408836425934082e-06,54.76517596052516
sim_study1_near_sub58,near,0.9131321040525714,2.489815672433725,0.03507530863834628,9.208581578275373,6.003422099105985e-06,52.69527170106402
sim_study2_near_sub9,near,0.969552431863703,3.252413334870723,0.09999960352576291,350.2883069552145,4.738200475084365e-06,53.51770276399977
sim_study1_near_sub33,near,0.9797611890633872,2.797660621933975,0.07993805930718047,90.39415031901238,9.963571305223921e-06,52.00230097874261
sim_study2_near_sub47,near,0.974204920084582,4.811181867340712,0.09999999968275244,366.5746205455461,4.360642227878426e-06,56.913826960816074
sim_study2_near_sub7,near,0.8005158815703063,7.56010423231718,0.1,933.9719213892348,5.1690013559872654e-05,47.37672921032044
sim_study1_near_sub43,near,0.9810070072589842,3.3614365071585675,0.09999999474906883,564.7727736338888,4.792506433189782e-06,53.72914680983529
sim_study1_near_sub8,near,0.966007784763545,8.95102432042516,0.06775534529505416,119.98924368577558,1.1990923339410464e-05,51.44790303468099
sim_study1_near_sub18,near,0.9088548110754772,2.951352801587188,0.08333379482636336,200.1259399672927,2.13574783953748e-06,58.925916143871916
sim_study1_near_sub59,near,0.9882226996862215,7.01507907340455,0.09928842871875951,188.47846968827218,3.49074544216622e-05,49.44502451213528
sim_study1_near_sub52,near,0.9275648849806266,2.5165350697817446,0.09999978237546175,287.47633847422844,7.926741360280458e-06,54.18623036128494
sim_study1_near_sub24,near,0.9984435028897544,7.3769617872243805,0.1,1297.6752105785263,5.913258354070698e-05,50.034784177983944
sim_study1_near_sub31,near,0.9560052681130855,7.098260080174987,0.09999999999999996,499.8951038498069,6.725865053973006e-06,57.55771038228026
sim_study1_near_sub2,near,0.955895105394486,5.367865794447399,0.0672612734327749,86.04794311220229,3.313820077140702e-06,56.77349800480168
sim_study1_near_sub53,near,0.9835964896214683,22.43288257554256,0.08333333347557326,486.73154819213573,1.1733437996906599e-06,61.535749939773666
sim_study1_near_sub54,near,0.9807610582546281,18.712035836311298,0.1,732.0849109715053,1.247636285226011e-05,50.707787204230684
sim_study2_near_sub71,near,0.9262378420422521,2.4111347582136755,0.0998291020271323,447.58904019683786,2.957274348410464e-07,77.0660507425272
sim_study2_near_sub21,near,0.9762714021174939,2.5177107343083045,0.05338160574844326,40.783906165174415,3.067002386098791e-06,60.8933464547011
sim_study2_near_sub36,near,0.9062602724242697,3.766770460626464,0.06722141962169989,90.8293592296497,2.567567119687008e-06,57.531905793321954
sim_study1_near_sub23,near,0.9153643916005457,8.096148251959203,0.09999999556670872,561.1842820946324,5.223048851960465e-06,54.46383086257944
sim_study1_near_sub5,near,0.9997881770427469,12.845353402075856,0.08354557067498744,139.11781499458644,4.138846922447092e-06,54.635259799282274
sim_study2_near_sub37,near,0.7994678108393197,4.795721150434577,0.0821239736495205,137.626207408888,1.6042066548475361e-06,60.26957879939304
sim_study2_near_sub57,near,0.9937982397704693,4.390755334627809,0.09321014681879089,198.62466059155886,2.686390866034233e-06,59.833788061355506
sim_study1_near_sub49,near,0.848656041541863,15.857964230950765,0.09999999999999949,735.8583739941683,5.886140849925878e-06,55.52784949459398
sim_study2_near_sub42,near,0.9998431011497644,14.306047453800035,0.0999999997522524,472.0607566568156,4.791117215160117e-07,71.54772315641425
sim_study1_near_sub39,near,0.9582078982205535,9.562842145251112,0.1,1266.2545421835557,0.0001912783775532571,47.42949059490546
sim_study2_near_sub64,near,0.8323990793443763,5.215606827415671,0.05116646802195362,55.50374511476512,1.985462084259124e-06,57.740782407547734
sim_study2_near_sub70,near,0.8335106800581921,4.493792446990624,0.08560591961092118,319.890605612752,1.4683184220836124e-05,49.79734888687932
sim_study1_near_sub21,near,0.7153815490564593,2.5631332380474285,0.08380650854573445,244.93986124591268,9.747493715532275e-07,62.35844912315197
sim_study1_near_sub69,near,0.9923469937592377,7.736399962150992,0.1,959.9387136926663,0.0002217188215622602,43.81773900544975
sim_study2_near_sub51,near,0.9860846664667444,9.661321704096238,0.07250039288366042,201.72400821145365,4.663039705891705e-06,52.59967812958504
sim_study2_near_sub39,near,0.9807622685880513,35.609645265388465,0.06688154980439656,77.75645579788406,5.575380992826872e-06,54.1751620482931
sim_study1_near_sub45,near,0.9090777074016414,3.357977888012963,0.08239774696249155,200.87935469781334,7.972098956357255e-07,65.07023266286484
sim_study1_near_sub9,near,0.9727702620429327,2.7117818029930767,0.06673612847585018,372.0166465632965,1.0540825624197623e-06,62.290885768554915
