task_similarity,run,phase,phase_name,module,mean_L2_core,mean_L2_comms,comms_over_core
same,comms_on,0,A1,0,0.43630095802350005,0.45655730516628196,1.046427464274888
same,comms_on,0,A1,1,0.44506634632674236,0.44475189674371945,0.9992934770588309
same,comms_on,1,B,0,0.4357457856314464,0.45533644286032865,1.04495891382965
same,comms_on,1,B,1,0.44336789186471964,0.44388475255303533,1.0011657603015427
same,comms_on,2,A2,0,0.4369791881393494,0.45590412986869416,1.0433085653549854
same,comms_on,2,A2,1,0.4445068568237516,0.44439410763621107,0.9997463499453172
same,comms_off,0,A1,0,0.436280343621633,0.40510361573909476,0.9285396916472016
same,comms_off,0,A1,1,0.4450909709233262,0.4164947665456902,0.9357520007218976
same,comms_off,1,B,0,0.435720308404781,0.40438087096643366,0.92807441646681
same,comms_off,1,B,1,0.4434010663414512,0.41570863912841016,0.9375454203516655
same,comms_off,2,A2,0,0.4369637333862532,0.40487505019134984,0.9265644245870053
same,comms_off,2,A2,1,0.44453387087913354,0.4162757142337816,0.9364319380424184
near,comms_on,0,A1,0,0.43512114243544825,0.45688562688953177,1.0500193677816112
near,comms_on,0,A1,1,0.44429793563415826,0.44433337159176317,1.000079757193907
near,comms_on,1,B,0,0.4363730263463291,0.45756507113127115,1.048564057593868
near,comms_on,1,B,1,0.4458910078890605,0.4452937018387297,0.9986604214017295
near,comms_on,2,A2,0,0.43717669787042257,0.45818693739920274,1.0480589190368044
near,comms_on,2,A2,1,0.4461055736260955,0.4453808983545087,0.9983755520768443
near,comms_off,0,A1,0,0.43510663348547207,0.4052240737345559,0.9313212958569034
near,comms_off,0,A1,1,0.44431548556197575,0.4165979159451667,0.9376173675723025
near,comms_off,1,B,0,0.43635923058563714,0.4053577167659146,0.9289541468412519
near,comms_off,1,B,1,0.44599370339533834,0.41804936605601917,0.9373436505324695
near,comms_off,2,A2,0,0.43712572723547366,0.406009286658243,0.9288158105564959
near,comms_off,2,A2,1,0.44620570679208565,0.41843126890990406,0.9377541849861164
far,comms_on,0,A1,0,0.4351513929266148,0.45688043610474405,1.0499344447249506
far,comms_on,0,A1,1,0.4445810958445125,0.4443856189778592,0.9995603122366652
far,comms_on,1,B,0,0.43512251260080265,0.45818601766850264,1.0530046237524977
far,comms_on,1,B,1,0.4461488813033525,0.4460875760491016,0.9998625901401531
far,comms_on,2,A2,0,0.4356029554630763,0.458690895964335,1.0530022586179693
far,comms_on,2,A2,1,0.44711388447122297,0.4461694730346109,0.9978877608805935
far,comms_off,0,A1,0,0.4351571722030952,0.40494283429276984,0.9305668391990691
far,comms_off,0,A1,1,0.4446259888048585,0.41672182474789804,0.9372412662316406
far,comms_off,1,B,0,0.43513906789740425,0.40527518614696145,0.9313693392421033
far,comms_off,1,B,1,0.446195166895128,0.41742178391926815,0.9355139071159905
far,comms_off,2,A2,0,0.43563680441399105,0.40568930791416363,0.9312558163191851
far,comms_off,2,A2,1,0.4471649225777074,0.4177335436003428,0.9341822725972335
