participant,condition,A_weight_A1,kappa_A1,A_weight_B,kappa_B,A_weight_A2,kappa_A2
sim_study2_near_sub38,near,0.8297923040520613,3.470817517763834,0.035359834459049985,4.3791055778844985,0.28730976637217825,4.630268868907707
sim_study1_near_sub50,near,0.975532775564386,3.235288390750332,0.004070085398851796,9.973785322944218,0.7057483619743921,8.185841567070293
sim_study2_near_sub66,near,0.9801829950944273,5.631725491479469,0.006467419937412451,7.554179274875606,0.9753158881236762,4.406166487909506
sim_study1_near_sub47,near,0.8479675663285539,2.0519244163727364,0.010672651539860219,6.94186981261745,0.666062617001577,2.2234782759730334
sim_study2_near_sub30,near,0.9756638390401426,3.857788963167969,0.06834946178545144,5.438362543014081,0.9490307224856042,5.599634364707789
sim_study1_near_sub4,near,0.9894573909372969,5.995769508382631,0.04149903716028559,5.2512647142526525,0.7107278118909082,8.531985856077185
sim_study1_near_sub30,near,0.9642773307970828,5.044450668904026,0.04462850967579708,4.882900934239361,0.6817946423368552,3.721459511947447
sim_study1_near_sub26,near,0.9075487246339242,3.8846297404532883,0.04727814358224529,3.9851898705441675,0.8208788782671792,19.94295411281693
sim_study1_near_sub1,near,0.9788763373157275,6.074741270227905,0.006064954634710045,7.226871554949348,0.9750009146714669,7.046669863223967
sim_study1_near_sub74,near,0.9147316719455468,3.5270326221930506,0.021167172079001328,7.721907450968119,0.9919484412615395,2.6317841515126403
sim_study2_near_sub20,near,0.94293995019681,1.7930463116155226,0.0011346039663166574,7.413212849444497,0.9647861314597006,1.8364906280927957
sim_study1_near_sub57,near,0.9720306429004698,5.088781446760358,0.06480831890411454,4.437281274243193,0.9762601053125485,46.82680435304554
sim_study2_near_sub8,near,0.6837531280612865,1.7622181464089237,0.045809654767985014,11.567470161949966,0.8442934909123603,2.490611592529067
sim_study2_near_sub27,near,0.9799629943913377,3.8019809123706736,0.011176635134855287,5.592789444906179,0.995402861418087,15.124815732312285
sim_study2_near_sub14,near,0.9086020510103179,4.214763236708358,0.01989318431434935,7.086420754973534,0.8069192749848539,20.259113220043158
sim_study1_near_sub38,near,0.6410990356942085,2.1650064657291215,0.016099036669212564,5.052138289331065,0.8037282737109964,1.7113246768207184
sim_study2_near_sub33,near,0.9948960818170353,1.810395121719729,0.018050770478839642,6.590776756468568,0.9858448463268101,1.4844525868769902
sim_study2_near_sub1,near,0.9471254161862188,4.572702494965906,0.048464335648176225,3.554396903222243,0.9793159672229759,12.61887536924507
sim_study1_near_sub40,near,0.9778394710279149,6.155761544221859,0.03166208749862666,6.117366222700391,0.9757473867096595,3.340069688750648
sim_study2_near_sub12,near,0.46421805904451624,1.9974359353762534,0.028924297822375187,6.465226994101221,0.5259938954221469,2.4550888623014564
sim_study2_near_sub4,near,0.9090316358188146,1.6102319390575652,0.06570650213609805,4.1215761221290705,0.8065757570741815,2.5580912207948727
sim_study2_near_sub26,near,0.9085527857447736,5.7328068706418716,0.011780971394068668,6.198302998284249,0.9227276895082972,7.955494512195017
sim_study2_near_sub46,near,0.677171111638662,2.002545967366619,0.08586417470959794,6.6739923459098405,0.0905416248101084,1.7586387218364945
sim_study2_near_sub75,near,0.6782833747919498,3.4939977243129565,0.017873751420286958,6.031222186620125,0.5013546513664795,6.1968786271264795
sim_study1_near_sub29,near,0.7545251223839831,3.4553188928425635,0.03676250014427301,3.7764816121371005,0.3823585270226314,4.2106869486038505
sim_study2_near_sub73,near,0.8832366727344269,3.2982400683075177,0.015757912974441825,7.138799404678058,0.2939896828881594,6.91816155699019
sim_study1_near_sub67,near,0.9825346992592945,2.976645923830885,0.013696637068617453,8.43788887159755,0.6376378137530793,29.36196420068613
sim_study1_near_sub66,near,0.9858764147953811,3.400141281520875,0.027822923901793615,8.863331262161681,0.993439033352645,5.819013928464161
sim_study2_near_sub68,near,0.9215902285468904,1.342061400827108,0.03553786510095416,21.93427803813657,0.9960432471820526,1.6592761821513542
sim_study1_near_sub15,near,0.9033228912319886,1.6459106195546351,0.005077003415929785,9.137546938047613,0.9368435394223521,1.2332624380033417
sim_study2_near_sub15,near,0.9030142282170704,1.645225446689971,0.03311125888846098,4.470972172695648,0.9108965993849591,1.845836398272803
sim_study2_near_sub43,near,0.6142526777674484,2.7588881155426828,0.04489581447391517,8.354342681331081,0.36652552849959535,1.912553050218804
