participant,condition,A_weight_A1,kappa_A1,A_weight_B,kappa_B,A_weight_A2,kappa_A2
sim_study2_near_sub38,near,0.7889109770506147,2.428342476181493,0.028662907994999463,5.738423609405777,0.07165646898954195,3.170339594546889
sim_study1_near_sub50,near,0.9712941490242316,1.4500682032797052,0.028724139484492914,4.575797824846893,0.9259361987794568,1.6577570607937107
sim_study2_near_sub66,near,0.9615791593094642,9.128007228054365,0.05458798270496216,4.30678589541979,0.9097107759340446,2.7226363934010283
sim_study1_near_sub47,near,0.7462719277099361,2.339275451857604,0.012920005199294697,6.924172421118339,0.5307173701349576,2.5576374732331613
sim_study2_near_sub30,near,0.9766079271458307,3.0829456426822954,0.03195560215076628,5.366008434347866,0.9937778729369132,2.2789768638542576
sim_study1_near_sub4,near,0.9849820628372841,6.410397481955148,0.06152510589217495,9.374055138596614,0.9238374270642475,1.8096018126854558
sim_study1_near_sub30,near,0.9850484741548532,2.5294659845461935,0.04404748428889406,3.0214231623649606,0.9110889034750812,0.5901234393273502
sim_study1_near_sub26,near,0.9065227647767645,3.8314800501887087,0.029871058512173625,4.9396893142767455,0.08777142234616296,1.3240469509553303
sim_study1_near_sub1,near,0.9334234245055957,3.636379515301452,0.014640413089005015,4.01812316726268,0.9832987166986321,5.453092965840943
sim_study1_near_sub74,near,0.7643175898349814,2.132167991836879,0.048762490327918004,4.823409095868358,0.9837824449795212,3.1353038291011677
sim_study2_near_sub20,near,0.9067270306989133,1.56803477157123,0.0019251234196138414,6.809355054056018,0.9070161460710806,0.7372662753620244
sim_study1_near_sub57,near,0.9732537513358641,4.426584995274293,0.008581831070634878,5.576242406242443,0.7653737658216905,9.07875375682802
sim_study2_near_sub8,near,0.9579708804401403,4.91994927916148,0.06018707191590489,8.351519704197504,0.9597268743334453,1.9486329825223256
sim_study2_near_sub27,near,0.8836593898410333,2.9946006776732745,0.01979442890404721,4.590667991917086,0.9285715956828525,1.7270774957230959
sim_study2_near_sub14,near,0.9578804610117003,1.7261764162679032,0.03131774702238156,3.8348591632137032,0.9818935523208584,3.455153509272237
sim_study1_near_sub38,near,0.6800937670602635,2.013062852830096,0.04203410444660893,5.138560732438697,0.9121362275308993,1.478524477400098
sim_study2_near_sub33,near,0.9722148818184482,1.861874709628178,0.022612105768263523,3.780045058691257,0.9792539013562267,1.7100925053877947
sim_study2_near_sub1,near,0.7631020757924728,2.0536216073157973,0.05313026534315003,5.9371469161146555,0.7044515763211697,4.7734795826167
sim_study1_near_sub40,near,0.7204093209826451,3.1243643910108028,0.019630818473528114,4.388002744031257,0.9078574590902665,2.5505616333122907
sim_study2_near_sub12,near,0.7414960069918524,2.1102463285515323,0.04324044343865941,3.913189577973591,0.9193465739539523,1.5646311918390605
sim_study2_near_sub4,near,0.638734409062898,2.8623068621187255,0.06892897121578127,8.273261913346193,0.8050680043416171,15.261223511078482
sim_study2_near_sub26,near,0.8689056907394289,6.56568378421867,0.0215853906442597,6.0958550663959,0.6250326191010832,8.2743130824116
sim_study2_near_sub46,near,0.9019715702671085,1.832387474372564,0.06611533283293575,4.202736196649687,0.9118740915059799,1.716733422672779
sim_study2_near_sub75,near,0.6575421166594652,3.1848748570202448,0.00997626989603345,5.016232042893365,0.5573794718151658,5.813930685442223
sim_study1_near_sub29,near,0.7660047218050345,6.953459508664508,0.032970517702090134,3.6623216698113485,0.5210524844408306,3.9693454695509702
sim_study2_near_sub73,near,0.9904030667067493,1.8701268325046296,0.01784102751634058,7.270785422218723,0.05484640724859235,1.7349592633158495
sim_study1_near_sub67,near,0.9895760421136948,2.1072757851408714,0.03962141128631738,5.442694137995293,0.7471415071854229,2.422787620333993
sim_study1_near_sub66,near,0.9656521234329458,4.027649502042783,0.0012350457223780204,7.5258978430357155,0.733489460315663,3.1850446526089446
sim_study2_near_sub68,near,0.9339223940255902,3.3430660278230584,0.04254366517050064,5.255947405304143,0.9977094853760613,4.102432056901872
sim_study1_near_sub15,near,0.9080722930625131,1.5599511629252398,0.0019941916436052743,6.473385081398327,0.9297293573547852,0.7892915527630323
sim_study2_near_sub15,near,0.9023662942210043,1.5972562396357801,0.02099572906526844,5.631074203553785,0.9022674063083129,1.439107212781473
sim_study2_near_sub43,near,0.741859069918606,1.7667660999996406,0.04435515544935245,4.995385250806847,0.11432666011489848,1.4957446804106336
sim_study2_near_sub63,near,0.9703905674788394,3.7697881492587118,0.03175935600449036,9.620061264060476,0.9252892838701469,1.6170673720010549
sim_study1_near_sub6,near,0.9578824313994887,2.887655787200846,0.018434067846038658,8.62257203350734,0.9580805796556126,0.5685961637853381
sim_study2_near_sub61,near,0.6495034261957928,1.9713670426125784,0.029660813552498017,4.8933197637934684,0.1953885306880347,1.5742084352548347
sim_study2_near_sub6,near,0.7754040342233364,1.7903498596635137,0.03290683417035581,4.993060439972534,0.08286843219920895,1.0137606919099496
sim_study1_near_sub37,near,0.9597961475609676,2.630334099052051,0.0328032369330097,3.5966713419786127,0.9161417630690959,4.25921735244668
sim_study1_near_sub58,near,0.9678685296033521,2.481384959543266,0.013851418632970803,7.020046633691943,0.9062177244725234,0.8411269553927736
sim_study2_near_sub9,near,0.9613041767301264,1.7421736823853993,0.047729301319025974,4.170167565711379,0.9153133456039731,1.320590862722771
sim_study1_near_sub33,near,0.913781424138464,3.2992937654803716,0.03140803194567652,4.63338866882854,0.7178495020678191,3.9107832139669014
sim_study2_near_sub47,near,0.9718802830034313,2.4415904855863935,0.0442225336048291,7.0414415349143855,0.9033526092895834,1.2852250469713777
sim_study2_near_sub7,near,0.657762666771065,1.6802579448514947,0.04593425631885294,4.8565183337253925,0.916837085630027,1.4937793739301122
sim_study1_near_sub43,near,0.9865742262714263,1.557085726176517,0.038534034431116436,10.178767205048675,0.40461645545159736,1.3472562936753927
sim_study1_near_sub8,near,0.9026737036086617,1.4931309730725735,0.007862863476674316,8.442339089175833,0.10051497297191522,0.8495582114886941
sim_study1_near_sub18,near,0.9706272009904887,1.4686540649668192,0.015292557791412443,5.281477631359768,0.9301911127328141,0.603699436296199
sim_study1_near_sub59,near,0.9377619443736126,1.4846271418104002,0.07605212340179525,4.238211964210194,0.9345218594862269,1.4920235910841768
sim_study1_near_sub52,near,0.9060559810168642,1.7894300617086645,0.014183086184371493,4.706887809167469,0.09538338292074083,1.7360522705704362
sim_study1_near_sub24,near,0.9286440258381199,3.211353652720681,0.07208854312485062,8.340761307784554,0.9118258862848585,0.6043441627976979
sim_study1_near_sub31,near,0.71632855288431,2.2990590280030236,0.03598949837166291,7.806981342554495,0.9085302052923928,1.49657947594815
