gamma,seed,excursion_total,movement_alpha,movement_D_eff,movement_R_eff,movement_rho_c_glue
0.03,0,0.22141071520929753,0.0991169406036681,0.0915543013236317,0.2661962882429164,0.3240844817524429
0.03,1,0.18583221826382293,0.14653176369869286,0.12490966136978411,0.22686949884233945,0.22268970025188153
0.03,2,0.06001472808708538,0.09721521628065477,0.049401203013496923,0.00696961704202322,0.020843072954112318
1.0,0,9.468345697567422,6.580561502069233,4.355096825049715,6.806410067855353,14.966453100537901
1.0,1,9.970552487524943,7.7133325920069655,5.0374757348063515,7.93748739631653,14.883110899019773
1.0,2,10.106409662255661,6.958402968885652,4.627307662558003,7.468903652446585,16.773011963593834
3.0,0,27.03363993243641,12.044507841556362,9.511193354007366,13.205702758196791,47.53429565238101
3.0,1,27.16469050894933,13.720488519222467,10.551790194139278,14.265309556252866,46.307818904733814
3.0,2,27.3864354333113,13.397861718135845,10.229203964706148,14.874323491083928,48.817491308480484
10.0,0,66.11191645004206,19.110349155151564,17.732317828138072,21.804278878070452,122.16478574747048
10.0,1,65.13376823984225,21.710453220247242,19.515790557287307,24.943277006429014,116.6995213675871
10.0,2,64.26734795600281,22.24825496450936,19.924631266398688,23.622748484659173,119.64699218096702
