participant,index,task_section,feature_idx,stimID,taskID,feat_val,noisy_feedback_value,resp_reactiontime,dial_resp,resp_error,points,correct_afc,resp_left,click_reactiontime,aggregatePoints,debrief_tools,condition,block
study1_near_sub70,0,A1,0.0,10,0,4.210011477004819,4.27314469531028,8.356,3.279971974063171,0.9300395029416482,0,,,3.201,0,no,near,0
study1_near_sub70,1,A1,1.0,10,0,1.9146705006311928,1.940922460998677,4.219,1.094265387026541,0.8204051136046515,0,,,2.88,0,no,near,0
study1_near_sub70,2,A1,0.0,1,0,1.0831831320927852,1.1300380831254813,4.769,4.076036990185219,2.992853858092434,0,,,3.0460000000000003,0,no,near,0
study1_near_sub70,3,A1,1.0,1,0,5.071027462898746,5.133411711154428,3.791,2.1451011569695986,2.9259263059291474,0,,,2.18,0,no,near,0
study1_near_sub70,4,A1,0.0,5,0,5.155137951835821,5.154099212795047,5.452,4.131689959691627,1.0234479921441937,0,,,3.969,0,no,near,0
study1_near_sub70,5,A1,1.0,5,0,2.8597969754621957,2.8544558273908858,4.291,2.6751121909771496,0.1846847844850461,3,,,2.976,3,no,near,0
study1_near_sub70,6,A1,0.0,6,0,3.469461934557569,3.4723309560276103,4.61,4.121935401352877,0.6524734667953083,0,,,2.615,3,no,near,0
study1_near_sub70,7,A1,1.0,6,0,1.1741209581839431,1.1287209887784715,3.458,0.3315863027816578,0.8425346554022852,0,,,2.335,3,no,near,0
study1_near_sub70,8,A1,0.0,2,0,0.7820317231883651,0.657172985381615,3.824,4.102180792959911,2.963036237408041,0,,,2.685,3,no,near,0
study1_near_sub70,9,A1,1.0,2,0,4.7698760539943255,,3.645,4.256693490041385,0.5131825639529408,0,,,2.77,3,no,near,0
study1_near_sub70,10,A1,0.0,9,0,1.9984202698850897,2.036329760731602,8.73,5.276745166661394,3.004860410403282,0,,,3.751,3,no,near,0
study1_near_sub70,11,A1,1.0,9,0,5.98626460069105,6.06330399358382,2.478,4.368359870859667,1.6179047298313831,0,,,1.132,3,no,near,0
study1_near_sub70,12,A1,0.0,6,0,3.469461934557569,3.471655157070003,6.663,2.5636799813361164,0.9057819532214522,0,,,2.26,3,no,near,1
study1_near_sub70,13,A1,1.0,6,0,1.1741209581839431,1.2272687370875406,3.763,0.8509529509494278,0.3231680072345153,2,,,2.481,5,no,near,1
study1_near_sub70,14,A1,0.0,2,0,0.7820317231883651,0.9372479930096812,5.138,5.278829381651931,1.78638764871602,0,,,2.935,5,no,near,1
