participant,index,task_section,feature_idx,stimID,taskID,feat_val,noisy_feedback_value,resp_reactiontime,dial_resp,resp_error,points,correct_afc,resp_left,click_reactiontime,aggregatePoints,debrief_tools,condition,block
study2_same_sub59,0,A1,0.0,7,0,1.5616119441803815,1.6657127524000264,5.022,3.1702191926458503,1.6086072484654688,0,,,2.57,0,no,same,0
study2_same_sub59,1,A1,1.0,7,0,5.296624038091198,5.275125546250629,6.274,5.810688371662523,0.5140643335713246,0,,,4.706,0,no,same,0
study2_same_sub59,2,A1,0.0,6,0,2.662324454916001,2.6679370409895053,8.935,1.7329951602582792,0.9293292946577216,0,,,7.791,0,no,same,0
study2_same_sub59,3,A1,1.0,6,0,0.1141512416472316,0.1516473361611967,5.375,0.0882059043966829,0.0259453372505487,6,,,3.669,6,no,same,0
study2_same_sub59,4,A1,0.0,0,0,3.8612651761840335,3.8067092743802697,5.335,2.8129456568048026,1.048319519379231,0,,,4.513,6,no,same,0
study2_same_sub59,5,A1,1.0,0,0,1.313091962915264,,3.333,0.1982735227498459,1.114818440165418,0,,,2.391,6,no,same,0
study2_same_sub59,6,A1,0.0,3,0,4.8199672136461995,4.846837486907124,4.324,3.728422924731875,1.0915442889143243,0,,,3.37,6,no,same,0
study2_same_sub59,7,A1,1.0,3,0,2.2717940003774295,2.2912512787981765,3.097,0.5790742693677309,1.6927197310096986,0,,,2.186,6,no,same,0
study2_same_sub59,8,A1,0.0,1,0,5.965910520558141,5.8997491499738794,2.898,4.382606470198466,1.5833040503596747,0,,,2.031,6,no,same,0
study2_same_sub59,9,A1,1.0,1,0,3.4177373072893715,3.4683293673258557,3.077,2.8141115028986063,0.6036258043907652,0,,,2.143,6,no,same,0
study2_same_sub59,10,A1,0.0,2,0,0.4800581369430785,0.5209983866024103,2.94,5.525356354281518,1.2378870898411467,0,,,2.062,6,no,same,0
study2_same_sub59,11,A1,1.0,2,0,4.215070230853895,4.2723281163379685,5.485,3.2915690849091095,0.9235011459447856,0,,,4.687,6,no,same,0
study2_same_sub59,12,A1,0.0,1,0,5.965910520558141,5.965120452224372,3.556,0.2213144423477913,0.5385892289692364,0,,,2.85,6,no,same,1
study2_same_sub59,13,A1,1.0,1,0,3.4177373072893715,3.5485915490267432,3.483,3.857336243258673,0.4395989359693013,2,,,2.615,8,no,same,1
study2_same_sub59,14,A1,0.0,6,0,2.662324454916001,2.6882571306402605,4.078,5.985173309494217,2.9603364526013696,0,,,3.395,8,no,same,1
study2_same_sub59,15,A1,1.0,6,0,0.1141512416472316,0.3487857642010967,6.691,0.2730945621059896,0.1589433204587579,5,,,6.0360000000000005,13,no,same,1
study2_same_sub59,16,A1,0.0,0,0,3.8612651761840335,3.699705331531523,2.587,2.8767027363070765,0.984562439876957,0,,,1.814,13,no,same,1
study2_same_sub59,17,A1,1.0,0,0,1.313091962915264,,2.437,0.3238767028583653,0.9892152600568986,0,,,1.709,13,no,same,1
study2_same_sub59,18,A1,0.0,7,0,1.5616119441803815,1.4630189917058751,3.117,3.718497581909309,2.1568856377289274,0,,,2.454,13,no,same,1
study2_same_sub59,19,A1,1.0,7,0,5.296624038091198,5.1587688197158785,6.096,4.5275661025381675,0.7690579355530307,0,,,5.246,13,no,same,1
study2_same_sub59,20,A1,0.0,3,0,4.8199672136461995,4.762729010414445,2.317,1.415328236175137,2.8785463297085236,0,,,1.679,13,no,same,1
study2_same_sub59,21,A1,1.0,3,0,2.2717940003774295,2.3444433458114355,2.879,4.9347377624546365,2.662943762077207,0,,,2.169,13,no,same,1
study2_same_sub59,22,A1,0.0,2,0,0.4800581369430785,0.4396516770633306,2.791,4.930156619607693,1.8330868245149716,0,,,2.182,13,no,same,1
study2_same_sub59,23,A1,1.0,2,0,4.215070230853895,4.272192444588228,2.136,2.47039653877282,1.7446736920810748,0,,,1.509,13,no,same,1
study2_same_sub59,24,A1,0.0,6,0,2.662324454916001,2.6472103676507306,3.375,0.52911256165273,2.1332118932632707,0,,,2.004,13,no,same,2
study2_same_sub59,25,A1,1.0,6,0,0.1141512416472316,0.0340861021638433,3.138,4.425746592039553,1.9715899567872652,0,,,2.513,13,no,same,2
study2_same_sub59,26,A1,0.0,3,0,4.8199672136461995,4.803709107790593,2.611,2.903160541783264,1.9168066718629355,0,,,2.003,13,no,same,2
study2_same_sub59,27,A1,1.0,3,0,2.2717940003774295,2.397365233942521,2.102,0.5196912218512941,1.7521027785261354,0,,,1.461,13,no,same,2
study2_same_sub59,28,A1,0.0,2,0,0.4800581369430785,0.5673084989985816,2.908,4.890523940719489,1.872719503403176,0,,,2.19,13,no,same,2
study2_same_sub59,29,A1,1.0,2,0,4.215070230853895,4.2042339934993915,2.951,2.4295450849383293,1.7855251459155657,0,,,2.307,13,no,same,2
