run_id,status,error,duration_s,utc_finished,condition,seed,init_scale,cyclic_pattern,participants_per_condition,population,generations,train_steps,participants_json,pareto_n,pop_n,best_mse_pareto,worst_mse_pareto,max_routing_sep_pareto,baseline_low_sigma_mse,baseline_high_sigma_mse
cnear_s0_i0.0001_pABABAB_ppc2,ok,,1915.450,2026-04-04T15:19:35.768836+00:00,near,0,0.0001,ABABAB,2,44,24,180,"[""study1_near_sub1"", ""study1_near_sub28""]",4,44,0.2990060481824912,0.3766812319359319,1.0,0.3774495831378524,0.39594840366308665
cnear_s0_i0.0001_pABABAB_ppc3,ok,,1873.128,2026-04-04T15:50:48.897865+00:00,near,0,0.0001,ABABAB,3,44,24,180,"[""study1_near_sub1"", ""study1_near_sub24"", ""study1_near_sub28""]",5,44,0.4131044209003448,0.5424258363218262,1.0,0.6445797177461478,0.639896407451194
cnear_s0_i0.0001_pABABABAB_ppc2,ok,,1902.028,2026-04-04T16:22:30.926664+00:00,near,0,0.0001,ABABABAB,2,44,24,180,"[""study1_near_sub1"", ""study1_near_sub28""]",6,44,0.32658336233073676,0.45509906198652783,1.0,0.38432794121086017,0.40935465107382885
cnear_s0_i0.0001_pABABABAB_ppc3,ok,,1806.659,2026-04-04T16:52:37.586342+00:00,near,0,0.0001,ABABABAB,3,44,24,180,"[""study1_near_sub1"", ""study1_near_sub24"", ""study1_near_sub28""]",8,44,0.4367589020523532,0.53148318172015,1.0,0.6340357626991711,0.6649999451534502
cnear_s0_i0.001_pABABAB_ppc2,ok,,1849.968,2026-04-04T17:23:27.555373+00:00,near,0,0.001,ABABAB,2,44,24,180,"[""study1_near_sub1"", ""study1_near_sub28""]",4,44,0.2933626947501166,0.37451270762407646,1.0,0.3813854342919182,0.4003698581046509
cnear_s0_i0.001_pABABAB_ppc3,ok,,1920.031,2026-04-04T17:55:27.588192+00:00,near,0,0.001,ABABAB,3,44,24,180,"[""study1_near_sub1"", ""study1_near_sub24"", ""study1_near_sub28""]",7,44,0.4004986502713739,0.5434640923335862,1.0,0.6436222788376303,0.6569635913564036
cnear_s0_i0.001_pABABABAB_ppc2,ok,,1893.633,2026-04-04T18:27:01.223123+00:00,near,0,0.001,ABABABAB,2,44,24,180,"[""study1_near_sub1"", ""study1_near_sub28""]",6,44,0.3294576571392225,0.4610070236998707,1.0,0.3817310143334406,0.3884680308175779
cnear_s0_i0.001_pABABABAB_ppc3,ok,,1961.555,2026-04-04T18:59:42.779098+00:00,near,0,0.001,ABABABAB,3,44,24,180,"[""study1_near_sub1"", ""study1_near_sub24"", ""study1_near_sub28""]",6,44,0.4142818311336397,0.531994440175336,1.0,0.6443375932245419,0.6630879464591372
cnear_s0_i0.01_pABABAB_ppc2,ok,,1879.056,2026-04-04T19:31:01.836383+00:00,near,0,0.01,ABABAB,2,44,24,180,"[""study1_near_sub1"", ""study1_near_sub28""]",5,44,0.30474244418225926,0.37327742186078633,1.0,0.39939067293148994,0.38623959533552726
cnear_s0_i0.01_pABABAB_ppc3,ok,,1882.931,2026-04-04T20:02:24.767997+00:00,near,0,0.01,ABABAB,3,44,24,180,"[""study1_near_sub1"", ""study1_near_sub24"", ""study1_near_sub28""]",5,44,0.4121599814424721,0.5402889369915311,1.0,0.6352213297648213,0.6253599173747576
cnear_s0_i0.01_pABABABAB_ppc2,ok,,1889.626,2026-04-04T20:33:54.395492+00:00,near,0,0.01,ABABABAB,2,44,24,180,"[""study1_near_sub1"", ""study1_near_sub28""]",6,44,0.32548130126589714,0.4619472459087084,1.0,0.3831185937923347,0.38842895415065615
cnear_s0_i0.01_pABABABAB_ppc3,ok,,1920.811,2026-04-04T21:05:55.207119+00:00,near,0,0.01,ABABABAB,3,44,24,180,"[""study1_near_sub1"", ""study1_near_sub24"", ""study1_near_sub28""]",8,44,0.4095827294834729,0.5335007149554875,1.0,0.6437705199009386,0.6831348662146892
cnear_s0_i0.1_pABABAB_ppc2,ok,,1810.385,2026-04-04T21:36:05.593063+00:00,near,0,0.1,ABABAB,2,44,24,180,"[""study1_near_sub1"", ""study1_near_sub28""]",3,44,0.29456379158761015,0.37156444328667765,1.0,0.38968750784856226,0.3981238172035029
cnear_s0_i0.1_pABABAB_ppc3,ok,,1984.026,2026-04-04T22:09:09.620161+00:00,near,0,0.1,ABABAB,3,44,24,180,"[""study1_near_sub1"", ""study1_near_sub24"", ""study1_near_sub28""]",5,44,0.4135464517256388,0.5358659260906279,1.0,0.6367154887590843,0.6260123896770753
cnear_s0_i0.1_pABABABAB_ppc2,ok,,1921.604,2026-04-04T22:41:11.225687+00:00,near,0,0.1,ABABABAB,2,44,24,180,"[""study1_near_sub1"", ""study1_near_sub28""]",7,44,0.3217484614980439,0.4619067768146814,1.0,0.37767654880560164,0.40225500017324267
cnear_s0_i0.1_pABABABAB_ppc3,ok,,1967.133,2026-04-04T23:13:58.359795+00:00,near,0,0.1,ABABABAB,3,44,24,180,"[""study1_near_sub1"", ""study1_near_sub24"", ""study1_near_sub28""]",6,44,0.42770049729566467,0.5343870085974535,1.0,0.6450710295132179,0.6696602746673014
cnear_s0_i0.5_pABABAB_ppc2,ok,,1967.513,2026-04-04T23:46:45.874225+00:00,near,0,0.5,ABABAB,2,44,24,180,"[""study1_near_sub1"", ""study1_near_sub28""]",4,44,0.2948857327838513,0.3715381200890988,1.0,0.39109098551456223,0.3958104920271911
