run_id,status,error,duration_s,utc_finished,condition,seed,init_scale,cyclic_pattern,participants_per_condition,population,generations,train_steps,participants_json,pareto_n,pop_n,best_mse_pareto,worst_mse_pareto,max_routing_sep_pareto,baseline_low_sigma_mse,baseline_high_sigma_mse
cnear_s0_i0.001_pABABAB_ppc2,ok,,1893.839,2026-04-04T03:11:56.774380+00:00,near,0,0.001,ABABAB,2,44,24,180,"[""study1_near_sub1"", ""study1_near_sub28""]",5,44,0.3021944906596962,0.3757298528216779,1.0,0.3889655581336807,0.39411205070262606
cnear_s0_i0.001_pABABAB_ppc3,ok,,1910.462,2026-04-04T03:43:47.239832+00:00,near,0,0.001,ABABAB,3,44,24,180,"[""study1_near_sub1"", ""study1_near_sub24"", ""study1_near_sub28""]",6,44,0.39896024232013866,0.5415703784029644,1.0,0.6295977680585705,0.6273579163620105
cnear_s0_i0.001_pABABABAB_ppc2,ok,,1869.978,2026-04-04T04:14:57.220490+00:00,near,0,0.001,ABABABAB,2,44,24,180,"[""study1_near_sub1"", ""study1_near_sub28""]",7,44,0.3259894805157493,0.46093552129680354,1.0,0.38754239872676033,0.3924710293288407
cnear_s0_i0.001_pABABABAB_ppc3,ok,,1489.766,2026-04-04T04:39:46.989324+00:00,near,0,0.001,ABABABAB,3,44,24,180,"[""study1_near_sub1"", ""study1_near_sub24"", ""study1_near_sub28""]",7,44,0.4209206170862776,0.534832660536999,1.0,0.63583552674658,0.6629436410877897
cnear_s0_i2.0_pABABAB_ppc2,ok,,1386.245,2026-04-04T05:02:53.236618+00:00,near,0,2.0,ABABAB,2,44,24,180,"[""study1_near_sub1"", ""study1_near_sub28""]",6,44,0.29554283615752036,0.3839081458916718,1.0,0.3886514177667612,0.39747597857521294
cnear_s0_i2.0_pABABAB_ppc3,ok,,1508.568,2026-04-04T05:28:01.807233+00:00,near,0,2.0,ABABAB,3,44,24,180,"[""study1_near_sub1"", ""study1_near_sub24"", ""study1_near_sub28""]",5,44,0.4169068589233435,0.5308890040910158,1.0,0.6377778089748553,0.6263418342345036
cnear_s0_i2.0_pABABABAB_ppc2,ok,,1476.541,2026-04-04T05:52:38.350127+00:00,near,0,2.0,ABABABAB,2,44,24,180,"[""study1_near_sub1"", ""study1_near_sub28""]",4,44,0.3095612198491741,0.46913639856111017,1.0,0.3823003405624808,0.4094578586378263
cnear_s0_i2.0_pABABABAB_ppc3,ok,,1400.839,2026-04-04T06:15:59.191483+00:00,near,0,2.0,ABABABAB,3,44,24,180,"[""study1_near_sub1"", ""study1_near_sub24"", ""study1_near_sub28""]",6,44,0.4116753368028279,0.4940312785021533,1.0,0.630218116545129,0.6483074958468306
cnear_s1_i0.001_pABABAB_ppc2,ok,,1446.524,2026-04-04T06:40:05.717076+00:00,near,1,0.001,ABABAB,2,44,24,180,"[""study1_near_sub23"", ""study2_near_sub17""]",3,44,0.29581272324801167,0.3407817615450106,1.0,0.46638008126650343,0.46475294113836507
cnear_s1_i0.001_pABABAB_ppc3,ok,,1777.834,2026-04-04T07:09:43.553876+00:00,near,1,0.001,ABABAB,3,44,24,180,"[""study1_near_sub23"", ""study2_near_sub17"", ""study2_near_sub44""]",7,44,0.4450079593520898,0.5954812690329093,1.0,0.6754433348936101,0.7155521106834595
cnear_s1_i0.001_pABABABAB_ppc2,ok,,1670.810,2026-04-04T07:37:34.367453+00:00,near,1,0.001,ABABABAB,2,44,24,180,"[""study1_near_sub23"", ""study2_near_sub17""]",6,44,0.27614379880532364,0.4655973030984851,1.0,0.4853844441601942,0.4746903997749604
cnear_s1_i0.001_pABABABAB_ppc3,ok,,1558.585,2026-04-04T08:03:32.955951+00:00,near,1,0.001,ABABABAB,3,44,24,180,"[""study1_near_sub23"", ""study2_near_sub17"", ""study2_near_sub44""]",4,44,0.4535473785256089,0.6812206477611914,1.0,0.6006478979841046,0.6214846966081652
cnear_s1_i2.0_pABABAB_ppc2,ok,,1436.130,2026-04-04T08:27:29.088548+00:00,near,1,2.0,ABABAB,2,44,24,180,"[""study1_near_sub23"", ""study2_near_sub17""]",5,44,0.3025375690776855,0.36271127076311543,1.0,0.466486560117284,0.44321792342022737
cnear_s1_i2.0_pABABAB_ppc3,ok,,1645.417,2026-04-04T08:54:54.508107+00:00,near,1,2.0,ABABAB,3,44,24,180,"[""study1_near_sub23"", ""study2_near_sub17"", ""study2_near_sub44""]",6,44,0.42026106108051653,0.6068539870043214,1.0,0.6758585679652662,0.7007888693452025
cnear_s1_i2.0_pABABABAB_ppc2,ok,,1456.799,2026-04-04T09:19:11.310583+00:00,near,1,2.0,ABABABAB,2,44,24,180,"[""study1_near_sub23"", ""study2_near_sub17""]",5,44,0.31969418692611284,0.4292140480869546,1.0,0.4735368098742489,0.46951484326915494
cnear_s1_i2.0_pABABABAB_ppc3,ok,,1442.025,2026-04-04T09:43:13.338126+00:00,near,1,2.0,ABABABAB,3,44,24,180,"[""study1_near_sub23"", ""study2_near_sub17"", ""study2_near_sub44""]",3,44,0.43195202342908956,0.6695665471341418,1.0,0.6005897185840141,0.6307480739451002
cnear_s2_i0.001_pABABAB_ppc2,ok,,1424.860,2026-04-04T10:06:58.200655+00:00,near,2,0.001,ABABAB,2,44,24,180,"[""study1_near_sub29"", ""study2_near_sub64""]",3,44,0.1840278023076032,0.30717108136741444,1.0,0.2713193923488937,0.264976899435913
cnear_s2_i0.001_pABABAB_ppc3,ok,,1459.434,2026-04-04T10:31:17.637092+00:00,near,2,0.001,ABABAB,3,44,24,180,"[""study1_near_sub29"", ""study1_near_sub36"", ""study2_near_sub64""]",4,44,0.35488918028198757,0.43742639378895265,1.0,0.5487461101550323,0.5311783452446645
cnear_s2_i0.001_pABABABAB_ppc2,ok,,1451.895,2026-04-04T10:55:29.535375+00:00,near,2,0.001,ABABABAB,2,44,24,180,"[""study1_near_sub29"", ""study2_near_sub64""]",3,44,0.19255807490794566,0.31984551606804196,1.0,0.30770020220019245,0.2994458052843552
cnear_s2_i0.001_pABABABAB_ppc3,ok,,1534.770,2026-04-04T11:21:04.308690+00:00,near,2,0.001,ABABABAB,3,44,24,180,"[""study1_near_sub29"", ""study1_near_sub36"", ""study2_near_sub64""]",4,44,0.4138779040725752,0.4922824278473854,1.0,0.5119565082178719,0.49678449039400996
cnear_s2_i2.0_pABABAB_ppc2,ok,,1453.649,2026-04-04T11:45:17.960658+00:00,near,2,2.0,ABABAB,2,44,24,180,"[""study1_near_sub29"", ""study2_near_sub64""]",5,44,0.17896244454922536,0.294826731371524,1.0,0.27345648973079567,0.273566504210149
cnear_s2_i2.0_pABABAB_ppc3,ok,,1502.358,2026-04-04T12:10:20.321547+00:00,near,2,2.0,ABABAB,3,44,24,180,"[""study1_near_sub29"", ""study1_near_sub36"", ""study2_near_sub64""]",7,44,0.3538661909791139,0.5963426791131496,1.0,0.5392524221768746,0.5447212105760207
cnear_s2_i2.0_pABABABAB_ppc2,ok,,1302.915,2026-04-04T12:32:03.239351+00:00,near,2,2.0,ABABABAB,2,44,24,180,"[""study1_near_sub29"", ""study2_near_sub64""]",3,44,0.20663088508319624,0.32167299695569895,1.0,0.3067230987201991,0.30022748784515363
cnear_s2_i2.0_pABABABAB_ppc3,ok,,1372.078,2026-04-04T12:54:55.320568+00:00,near,2,2.0,ABABABAB,3,44,24,180,"[""study1_near_sub29"", ""study1_near_sub36"", ""study2_near_sub64""]",4,44,0.37781807137974377,0.5037682254252762,1.0,0.5206891941013693,0.49770979818770256
cnear_s3_i0.001_pABABAB_ppc2,ok,,1773.672,2026-04-04T13:24:28.995131+00:00,near,3,0.001,ABABAB,2,44,24,180,"[""study1_near_sub15"", ""study2_near_sub39""]",4,44,0.32682359718124976,0.5010799458673731,1.0,0.48044999716909265,0.49501022120768373
