participant,index,task_section,feature_idx,stimID,taskID,feat_val,noisy_feedback_value,resp_reactiontime,dial_resp,resp_error,points,correct_afc,resp_left,click_reactiontime,aggregatePoints,debrief_tools,condition,block
study1_near_sub29,0,A1,0.0,1,0,1.4794883532604497,1.3107953135879835,8.664,4.710930802153312,3.051742858286724,0,,,3.744,0,no,near,0
study1_near_sub29,1,A1,1.0,1,0,6.097149960443662,6.151973758334703,2.576,4.715084391646823,1.3820655687968395,0,,,1.853,0,no,near,0
study1_near_sub29,2,A1,0.0,9,0,6.085943180100754,6.12523562875677,4.256,0.7723635199008555,0.9696056469796872,0,,,3.934,0,no,near,0
study1_near_sub29,3,A1,1.0,9,0,4.42041948010438,,3.355,4.70975740751204,0.2893379274076597,2,,,2.903,2,no,near,0
study1_near_sub29,4,A1,0.0,8,0,2.4090199586838708,2.3164990641129237,4.392,3.1594024751545415,0.7503825164706708,0,,,4.026,2,no,near,0
study1_near_sub29,5,A1,1.0,8,0,0.7434962586874967,0.7318802381572691,3.461,0.2098044368641126,0.533691821823384,1,,,2.943,3,no,near,0
study1_near_sub29,6,A1,0.0,5,0,4.63788133540041,4.512940425646358,2.446,1.504580275680577,3.133301059719833,0,,,1.923,3,no,near,0
study1_near_sub29,7,A1,1.0,5,0,2.9723576354040357,2.9380550060166293,3.225,2.555094939801597,0.4172626956024388,2,,,2.852,5,no,near,0
study1_near_sub29,8,A1,0.0,3,0,0.1919669569189376,0.2547610364023898,2.865,1.507556229204358,1.3155892722854206,0,,,2.521,5,no,near,0
study1_near_sub29,9,A1,1.0,3,0,4.80962856410215,4.8254402316665015,1.765,4.998879339411057,0.1892507753089072,4,,,1.43,9,no,near,0
study1_near_sub29,10,A1,0.0,10,0,3.8993823213287,3.898092904768099,3.282,1.1973954672368907,2.7019868540918095,0,,,2.155,9,no,near,0
study1_near_sub29,11,A1,1.0,10,0,2.2338586213323257,2.287954207770963,1.178,1.9784278322525235,0.2554307890798022,2,,,0.881,11,no,near,0
study1_near_sub29,12,A1,0.0,8,0,2.4090199586838708,2.4299565816313584,2.511,0.3703519872605247,2.038667971423346,0,,,1.98,11,no,near,1
study1_near_sub29,13,A1,1.0,8,0,0.7434962586874967,0.6551825523993038,1.806,0.313486279736991,0.4300099789505056,2,,,1.512,13,no,near,1
study1_near_sub29,14,A1,0.0,3,0,0.1919669569189376,0.2575856820961295,5.2170000000000005,0.7109093731835666,0.518942416264629,2,,,4.864,15,no,near,1
study1_near_sub29,15,A1,1.0,3,0,4.80962856410215,4.701175953943095,2.255,5.164608515488391,0.354979951386241,2,,,1.935,17,no,near,1
study1_near_sub29,16,A1,0.0,9,0,6.085943180100754,6.1828629844235365,2.227,3.9005818638509497,2.185361316249805,0,,,1.505,17,no,near,1
study1_near_sub29,17,A1,1.0,9,0,4.42041948010438,,1.171,4.5587536534921504,0.1383341733877703,5,,,0.806,22,no,near,1
study1_near_sub29,18,A1,0.0,1,0,1.4794883532604497,1.5649722515720006,2.057,4.603164833609522,3.1236764803490726,0,,,1.597,22,no,near,1
study1_near_sub29,19,A1,1.0,1,0,6.097149960443662,6.03590539572057,1.342,0.0051281601742343,0.1911635069101587,3,,,0.965,25,no,near,1
study1_near_sub29,20,A1,0.0,5,0,4.63788133540041,4.729111407785759,3.369,0.8239112206160392,2.4692151923952155,0,,,2.982,25,no,near,1
study1_near_sub29,21,A1,1.0,5,0,2.9723576354040357,3.082950536954713,1.814,2.840586011210919,0.1317716241931168,3,,,0.921,28,no,near,1
study1_near_sub29,22,A1,0.0,10,0,3.8993823213287,3.8243687596294103,3.836,3.7302858647623744,0.1690964565663257,5,,,3.346,33,no,near,1
study1_near_sub29,23,A1,1.0,10,0,2.2338586213323257,2.2260197429602,1.57,2.3147088723230436,0.0808502509907178,5,,,1.306,38,no,near,1
study1_near_sub29,24,A1,0.0,9,0,6.085943180100754,6.073066025994322,5.663,1.5294761896455806,1.726718316724413,0,,,5.378,38,no,near,2
study1_near_sub29,25,A1,1.0,9,0,4.42041948010438,,1.431,4.310274964732927,0.110144515371453,3,,,0.904,41,no,near,2
study1_near_sub29,26,A1,0.0,10,0,3.8993823213287,3.9909322645720247,2.866,4.666226147295404,0.7668438259667041,0,,,2.568,41,no,near,2
study1_near_sub29,27,A1,1.0,10,0,2.2338586213323257,2.2630728053945446,1.774,2.231609451941337,0.0022491693909887,7,,,1.294,48,no,near,2
