participant,index,task_section,feature_idx,stimID,taskID,feat_val,noisy_feedback_value,resp_reactiontime,dial_resp,resp_error,points,correct_afc,resp_left,click_reactiontime,aggregatePoints,debrief_tools,condition,block
study2_same_sub65,0,A1,0.0,9,0,0.577626992516155,0.620272005997484,2.978,3.3036212163243595,2.7259942238082044,0,,,1.765,0,no,same,0
study2_same_sub65,1,A1,1.0,9,0,1.8362497395507056,1.968629889001484,2.107,3.2712951907457053,1.4350454511949997,0,,,1.495,0,no,same,0
study2_same_sub65,2,A1,0.0,6,0,3.2596315029438996,3.3001055227618936,2.861,0.0859942911942407,3.1095480954299273,0,,,2.244,0,no,same,0
study2_same_sub65,3,A1,1.0,6,0,4.51825424997845,4.371332546363538,2.975,1.6414182341007513,2.876836015877699,0,,,2.381,0,no,same,0
study2_same_sub65,4,A1,0.0,1,0,0.992314591626588,1.0055424382492952,2.842,0.0,0.992314591626588,0,,,2.352,0,no,same,0
study2_same_sub65,5,A1,1.0,1,0,2.2509373386611387,2.189362885023566,1.596,4.6406170474488695,2.389679708787731,0,,,1.08,0,no,same,0
study2_same_sub65,6,A1,0.0,4,0,4.548019312508615,4.5805593306904395,3.0340000000000003,3.2489227151370708,1.2990965973715438,0,,,2.08,0,no,same,0
study2_same_sub65,7,A1,1.0,4,0,5.806642059543165,5.818414192731428,2.177,2.153412986012935,2.6299562336493563,0,,,1.545,0,no,same,0
study2_same_sub65,8,A1,0.0,11,0,5.349495992016981,5.261579555288987,2.33,4.579837448088016,0.7696585439289647,0,,,1.732,0,no,same,0
study2_same_sub65,9,A1,1.0,11,0,0.324933431871945,0.3370789313056318,2.8080000000000003,0.5046430151592122,0.1797095832872671,4,,,2.067,4,no,same,0
study2_same_sub65,10,A1,0.0,7,0,2.5340736771080037,2.5168903650256538,2.461,1.98281811703214,0.5512555600758635,0,,,1.943,4,no,same,0
