participant,condition,A_weight_A1,kappa_A1,A_weight_B,kappa_B,A_weight_A2,kappa_A2
sim_study2_near_sub42,near,0.9683843045928839,4.920857943830642,0.0612187017800948,4.361065283593044,2.1012175512939705e-06,58.450835474176635
sim_study2_near_sub16,near,0.986437636751683,6.570570766722124,0.07116894121992103,9.66304462115413,4.9388666089787595e-06,51.56399680235251
sim_study1_near_sub32,near,0.9819205033933842,8.20648606502509,0.06265665633502844,13.89487768274409,1.3716027210439938e-06,60.25516768336801
sim_study2_near_sub30,near,0.9746673822574923,4.871298517595207,0.04193529043930377,7.776458646653745,5.233218850854956e-06,51.350963115690334
sim_study2_near_sub75,near,0.9834647912396849,4.800201142546826,0.08287699866102911,4.475437667091768,7.60465242575807e-06,48.98292787350575
sim_study2_near_sub64,near,0.970003000770422,6.214014880597378,0.08001408164961112,5.394991547118355,6.0772167490599976e-06,50.15644434574577
sim_study2_near_sub21,near,0.92120600633956,3.4000925378876876,0.07419897650666321,9.672641646456208,3.7003247232070474e-06,55.19011346983768
sim_study2_near_sub19,near,0.9323922530868856,5.126967866520443,0.004174708068929164,5.096205713296006,4.433212888500681e-06,52.49206062024429
sim_study1_near_sub33,near,0.9782035403243906,5.547209816353534,0.03320033828254294,4.568191215950805,6.3382051099731624e-06,50.08093714910927
sim_study1_near_sub58,near,0.9922052195038168,5.140620485177261,0.016997350533577038,6.7672493147908845,1.2086115496908425e-05,46.479069935294426
sim_study1_near_sub30,near,0.9322667030348624,4.396187682945089,0.035559828221468234,5.297637690969636,4.903565961599878e-06,51.228085910821555
sim_study2_near_sub47,near,0.9432286916960025,7.081724714265526,0.04954434264286537,5.133650907262645,5.293889105866393e-06,51.86251333525885
sim_study1_near_sub28,near,0.9465711777471437,5.230486674107939,0.07368204383277978,6.65628388749939,9.955566384912173e-06,47.55941109525791
sim_study1_near_sub50,near,0.9767156190699392,6.5118401051116095,0.02416182641833872,6.070850483549063,3.983227005785458e-06,52.95760799726893
sim_study1_near_sub26,near,0.9834745740132534,4.92191874410557,0.03398111264069625,6.05195191282388,3.978456250013796e-06,52.98718586974128
sim_study1_near_sub71,near,0.9809796225837694,23.450788155521288,0.024982135565363675,5.046530192628636,4.5543405065252e-06,51.792027285012765
sim_study1_near_sub7,near,0.965377339514897,9.858209524956393,0.026965853322896305,6.980964549067362,1.5817288286162924e-05,44.661594510433524
sim_study2_near_sub71,near,0.9678761093636744,9.501022629832631,0.019879568196708736,6.693211533911597,1.0238430019817725e-06,61.87899447678354
sim_study1_near_sub39,near,0.9786979915413319,5.21465535362489,0.020070536043290784,18.288246861219427,3.804676198436174e-06,53.83428884981639
sim_study2_near_sub45,near,0.957286254907224,4.835355765216254,0.02208380842798544,9.11920235400832,6.726392708783014e-06,50.590738989342015
sim_study2_near_sub11,near,0.944888438161873,3.9756486507827034,0.04311635524467385,5.675934870291023,1.0858231139228527e-05,47.854079814138395
sim_study1_near_sub37,near,0.9612569793888172,4.890121778931645,0.013243829176985043,5.39577554750153,7.984858427835632e-06,48.951008473816806
sim_study1_near_sub49,near,0.9957646434461064,5.180045924017607,0.021427339552210618,5.522764081370634,5.245705988373095e-06,51.45560064604034
sim_study2_near_sub15,near,0.982236842547133,6.474735298120403,0.07543471236559875,14.569258781973646,4.7899352169722375e-06,51.68600244068419
sim_study1_near_sub69,near,0.955734144727809,5.416571498377467,0.042934814836972625,6.208536482796441,6.407035380900479e-06,49.94143800959233
sim_study2_near_sub28,near,0.9785919489369365,4.157548678641481,0.068403575999016,5.64828232163495,7.0158430356120535e-06,49.85706888275557
sim_study2_near_sub32,near,0.965724918073544,26.290763063333113,0.04159501677104744,5.077967872528902,2.5384655403455393e-06,56.01572914484994
sim_study1_near_sub72,near,0.9637157486219238,4.711360311320946,0.06148365940393684,12.881436166275366,0.00013248265475522637,33.152781439323725
sim_study1_near_sub45,near,0.9875203423445706,9.052237710747496,0.011230130903580583,5.273593697904652,2.888147167587357e-06,55.17522981695358
sim_study2_near_sub72,near,0.9624424702174722,5.301877463315724,0.01741392063561045,3.507103366559522,6.088480856127724e-06,50.12490460988839
sim_study1_near_sub66,near,0.9582219806457851,4.802270610846025,0.04003234090733627,8.861816753578083,6.6879604014827215e-06,49.681436470431926
sim_study2_near_sub20,near,0.9609939274172162,5.673681218583401,0.019094895591122683,4.263767521836665,1.1988463662169232e-05,47.21211063284711
sim_study2_near_sub1,near,0.9403150157289715,4.541668197739741,0.030689285562955755,5.483055245365952,4.941410397741309e-06,52.14630683928459
sim_study2_near_sub38,near,0.9799864046617918,6.971648918927832,0.030215586104311246,7.831091977056869,4.850196535604586e-06,52.30726254362413
sim_study1_near_sub23,near,0.9676550524703145,4.437637716420591,0.05406192274783455,4.987321000761371,6.879443202367054e-06,49.554942749516236
sim_study2_near_sub51,near,0.9627716313346562,6.975255894707705,0.04739667971060505,5.171770077866997,1.181204149154433e-05,46.11757578802475
sim_study1_near_sub4,near,0.9751687476054484,8.02071940834128,0.053330071234291766,5.8585164665685285,4.60120268500213e-06,51.807040863844
sim_study2_near_sub53,near,0.9961522687174199,6.717712974405626,0.06983161091109194,6.170814943939496,4.857819060533e-06,52.37550815261288
sim_study2_near_sub33,near,0.9884889690134135,5.3973499753600835,0.061503087737768025,9.946486917487272,4.193938289897029e-06,52.66777237406766
sim_study1_near_sub29,near,0.9727349115191247,6.065110820561008,0.036589881435657626,3.7045514427423534,5.186905143449022e-06,51.56317522833311
sim_study1_near_sub36,near,0.9682558017913131,5.46350564427821,0.05059204742042459,5.912916466988941,7.6247131796571905e-06,50.02856919055037
sim_study1_near_sub59,near,0.9535592898260208,4.9296140621666735,0.0034443434363564548,7.110735732158956,7.68553173630535e-06,49.325225345441325
sim_study2_near_sub39,near,0.9856848629501215,7.291493479386891,0.009956259930399749,4.921135040837874,6.270808163895873e-06,50.03357402802044
sim_study2_near_sub57,near,0.9047416959131069,8.74503952052618,0.039124063796385763,4.830171218828411,4.0526173476733144e-06,52.72302992402178
sim_study1_near_sub9,near,0.9609992234173882,5.21617720477893,0.08492959074982138,4.301422242923606,4.374998188354524e-06,51.941016059508144
sim_study1_near_sub43,near,0.9516673946252497,11.359647779399857,0.012996453442875231,7.67008294010771,7.434724435869988e-06,49.687187871818125
sim_study1_near_sub57,near,0.9662010052288151,3.786027789599681,0.022565969537005647,5.222924629422194,1.3758731179243338e-05,46.55417533689352
sim_study1_near_sub31,near,0.9703043454047316,6.041447357068209,0.06014911354856927,8.450033239104634,3.3025228361850724e-06,54.823231638088316
sim_study1_near_sub74,near,0.9372794498359853,5.145965677532327,0.044503150028107716,4.506515445468817,2.801658144259725e-06,55.385341672459305
sim_study2_near_sub9,near,0.957360503707794,5.202518180570251,0.06983244733641035,6.172534080697123,1.2074074954607676e-05,46.292064843335034
sim_study1_near_sub35,near,0.9885055484693768,4.499021210632045,0.07470733919211056,4.309308677187282,4.1719642344510125e-06,53.011340387872494
sim_study1_near_sub1,near,0.9780286856626504,4.648286622526249,0.07076838741082682,4.517615267980849,5.9755323414001e-06,50.62410049654324
sim_study1_near_sub47,near,0.9837533830592557,4.757783653799956,0.05149914903463352,10.699431375112198,1.3822258153153952e-05,46.58165486119859
sim_study2_near_sub36,near,0.976850595662527,5.9222925982452645,0.07331306714102924,6.596424359284542,4.546242322184926e-06,51.86326315549617
sim_study2_near_sub73,near,0.9545375770988522,5.216416555518114,0.0036650795491983096,8.130664053716616,5.945449086998959e-06,50.25558025782545
sim_study1_near_sub41,near,0.9258962748271833,4.683297481676339,0.03234113170036769,5.101104304811009,4.599170771114086e-06,52.33598538644082
sim_study1_near_sub67,near,0.9796232111839206,4.246312410713956,0.05209234727936431,3.7006903807014813,7.160580994833685e-06,49.81245569126051
sim_study2_near_sub44,near,0.9718182239341898,4.594262294302943,0.07087880224858784,4.921967369432869,3.0315567800835825e-06,54.516912539725745
sim_study2_near_sub52,near,0.951509988488159,7.813674124367914,0.028911251069725773,6.507508813389252,8.367971585209741e-06,48.61962499712778
sim_study2_near_sub31,near,0.9208869339789499,11.716302630748237,0.06069059584226103,11.019461492113932,1.0460001921780663e-05,47.89192897448641
sim_study2_near_sub7,near,0.9430864708929133,6.466171151579247,0.06315044377996293,6.299265154667532,5.4146171557803286e-06,50.851023592156274
sim_study2_near_sub26,near,0.9231550431760217,4.264419960595148,0.06239830189684663,3.6153928842954004,4.259876838256848e-06,51.95976542794963
sim_study2_near_sub4,near,0.9570552360998833,9.291488128992876,0.006309179213146536,5.936905647233393,8.764755813356538e-06,48.9726954589118
sim_study1_near_sub52,near,0.9942791319215927,4.673474474977974,0.04286854629733036,4.020558838707068,6.291829939150127e-06,50.69469438946084
sim_study2_near_sub6,near,0.9790412221420416,7.871084092951622,0.0857493694700212,7.140501614978439,7.503680211384187e-06,49.274849680138644
sim_study1_near_sub70,near,0.9582855819237254,12.580971024316929,0.018282083430526463,4.821774891859751,6.9357027202224555e-06,49.73186401410381
sim_study2_near_sub70,near,0.9155781892506346,6.235142291271496,0.017347323938511103,28.16134306811749,1.0417006861806916e-05,47.68130372402379
sim_study2_near_sub61,near,0.9808572838101673,12.479276248987183,0.030612772316967192,8.686145688545489,4.229747769251724e-06,52.54595312158486
sim_study1_near_sub5,near,0.9538330006739716,5.083160890413257,0.09064980660512215,6.304160212677491,1.1047090490076493e-05,47.44079581165085
sim_study2_near_sub14,near,0.9701667687465542,4.828668370090209,0.050103156228933084,6.439037464938101,1.1148696939516863e-05,47.561708006560664
sim_study2_near_sub43,near,0.962288607193316,5.279211142839035,0.0526794263692446,8.568362230029175,5.504194695288077e-06,51.2242384749347
sim_study2_near_sub66,near,0.9923997769993742,6.130245527586835,0.06918460596571646,3.907941811351544,1.4728700886121653e-05,45.08165261556047
sim_study1_near_sub2,near,0.9273519329188754,5.133398526439145,0.0394261622743715,7.529061260174095,6.66711615553214e-06,50.08592958609091
sim_study2_near_sub59,near,0.9986553974598359,10.334278667516381,0.02513245628796973,5.266248218898852,6.435842574823069e-06,49.8229458937247
sim_study2_near_sub17,near,0.9721053321951241,4.672213862303553,0.0007821879397077222,9.064990199922567,8.88093206177281e-06,48.3867786960667
sim_study2_near_sub37,near,0.9876042593772527,6.828028263220304,0.0832814565299585,7.490485351207712,4.53062567239465e-06,51.70877391670478
sim_study1_near_sub40,near,0.9821935847040796,4.596148483337424,0.05393787771553677,3.4906139066354793,1.4145267461865754e-05,45.15915547897586
sim_study1_near_sub15,near,0.9753711917545047,3.623701074770292,0.04998384441649454,4.807721420135858,2.179105016146491e-06,57.358704491516
sim_study1_near_sub18,near,0.9591002687360539,4.364144850819893,0.010073477017162229,4.475407464888966,3.798179341148718e-06,52.91413043385218
sim_study2_near_sub65,near,0.9549081069574037,23.739471642900916,0.016675584035174388,6.763251166060077,4.522684016529077e-06,52.41201403686199
sim_study1_near_sub56,near,0.9813331790938182,4.096326411660729,0.033541291055894096,4.3791405646718315,6.290101507753439e-06,50.71679016838178
sim_study2_near_sub46,near,0.9683964270424029,5.535469677216521,0.022932474734755612,5.630136802438779,4.530365934033878e-06,51.96857270844344
sim_study1_near_sub8,near,0.9535504983107632,6.912535516055578,0.015544850556453627,5.096365025119883,7.920717410300281e-06,49.35950271926704
sim_study1_near_sub6,near,0.9779992334751101,3.9751177355215703,0.02846794722457335,6.795781858923376,6.043776041278183e-06,51.376472706917845
sim_study2_near_sub68,near,0.9521810576645388,4.837446037782669,0.007303468798250559,12.012465628214882,4.688123185789848e-06,51.62494682924584
sim_study2_near_sub41,near,0.9811663211665667,8.283032368910257,0.01422750569843378,4.268330791227181,1.1026916859371376e-05,47.37105272197466
sim_study2_near_sub63,near,0.9497362929581177,5.542945792290401,0.028875379590321475,8.15518487848446,5.063151682171989e-06,52.166616606730976
sim_study2_near_sub58,near,0.9179072837891683,5.416627887807825,0.01602908129807551,6.1760098619158095,8.007687707329271e-06,49.17320310950983
sim_study1_near_sub53,near,0.971548967090438,3.962818666218848,0.01619837544873483,5.200396653652163,4.481965132070462e-06,52.194989374024914
sim_study2_near_sub8,near,0.9983539290398962,7.816857240598296,0.032622336364174206,4.956819993648212,3.5824211957844276e-06,53.20115485663674
sim_study2_near_sub12,near,0.9727854848355858,4.50115884329907,0.07498068705163148,4.639063941104687,4.186000584847007e-06,52.03182588386494
sim_study2_near_sub2,near,0.9486588707164684,7.907509844052459,0.006209976445776469,8.799253031192148,5.105038803082317e-06,51.571268537548704
sim_study1_near_sub14,near,0.9599971635504504,4.7728091489090545,0.07341819527407843,5.878244205529033,2.0155653980640505e-05,43.4474369482109
sim_study1_near_sub34,near,0.9477461704964415,4.825572841642247,0.06007066255442898,4.044340025401131,7.229902067039146e-06,49.571994759917814
sim_study1_near_sub63,near,0.9881862263837107,4.868531225850711,0.041748445795333725,4.450893852670875,4.734440512370257e-06,52.318980597996564
sim_study1_near_sub54,near,0.9825041709175957,9.61454560202759,0.037863934906640265,6.369626361786441,9.791314014459824e-06,47.635010026194834
sim_study1_near_sub10,near,0.9340774613861259,6.967628857620269,0.0415850840196602,7.3062213150631745,3.1318226763037993e-06,54.33343239653942
sim_study1_near_sub24,near,0.9602253876906004,3.901213138201859,0.01473267641434169,5.708259015383025,7.034780663168148e-06,49.80662107093885
sim_study2_near_sub27,near,0.95138164538502,8.380485383706091,0.016867432584356516,4.153146708711693,4.555598688122605e-06,51.74159999914673
sim_study1_near_sub21,near,0.9296076348590842,4.502516686862518,0.03940937159487238,5.5918689538330595,3.29000424255028e-06,53.99359970339793
sim_study1_near_sub38,near,0.9425644398235813,3.7081288500299867,0.036415259098861945,6.188547793432244,1.3954599482238743e-05,46.17031140390894
sim_study2_far_sub43,far,0.9664434516230468,15.645268409580382,0.033333335000549,17.502630310383264,1.0,805.8798602131249
sim_study2_far_sub34,far,0.9668286094057756,11.110939737992508,0.10272577185401513,5.7853218624998135,1.0,215.94360781120457
sim_study2_far_sub42,far,0.9209332584786671,10.161107702118054,0.1154195049980856,8.310235862537844,1.0,387.64764350875873
sim_study2_far_sub47,far,0.9500000492645762,28.246654260135,0.13389761623960883,10.786452222026416,1.0,274.5794527688707
sim_study2_far_sub62,far,0.9500034001299177,14.531974664575664,0.04452168393992575,5.418582806145275,1.0,464.197085957044
sim_study1_far_sub48,far,0.9409627452557733,17.93059581134462,0.16628333592529831,8.769720099484715,1.0,215.67980599848397
sim_study1_far_sub26,far,0.9500482395596618,12.978100502322784,0.0666730439331855,5.044320156606702,1.0,716.2421558442473
sim_study2_far_sub5,far,0.960619580561596,11.814791002060549,0.14596375352538826,7.094775489957858,1.0,321.9590994844484
sim_study1_far_sub56,far,0.9833084231365492,13.611030712567809,0.0002618821445738618,7.4864678621058465,1.0,9755.82562062028
sim_study2_far_sub39,far,0.9500000013342105,17.05081979271062,0.062229123519088096,8.179145206732569,1.0,9823.96067073039
sim_study1_far_sub42,far,0.9364433831995478,14.531980885654336,0.09976431312687874,9.989555360202017,1.0,730.0006501158725
sim_study2_far_sub20,far,0.9336411505134684,12.541789053662589,0.06698039464615954,10.799025372257136,1.0,2168.7927825081965
sim_study1_far_sub33,far,0.9834046408236067,14.149301839148773,0.03261746328878124,4.267141866883093,1.0,6120.592641078737
sim_study1_far_sub49,far,0.9381679096322111,13.871092562057232,0.07774918700264856,8.416344715904211,1.0,238.0279248598781
sim_study1_far_sub23,far,0.9831212286694299,11.614662050213408,0.0928930146769559,8.813157360634095,1.0,2911.1224704971173
sim_study1_far_sub34,far,0.9535467684741192,8.33768336691404,0.0395460967712972,8.989618142478015,1.0,3333.4171906611423
sim_study1_far_sub51,far,0.9463543616855433,10.532476826849031,0.04889206292539299,7.500868298236049,1.0,1476.4469800981692
sim_study2_far_sub48,far,1.0,26.401829440993104,0.092766873335542,5.711493265998732,1.0,1773.5384573289548
sim_study1_far_sub32,far,0.9672464524536267,8.805521221338035,0.061494587956744895,10.749820356931405,1.0,1650.5971952801174
sim_study1_far_sub57,far,0.9333336583879308,17.275694939336486,0.0833250772647489,8.829294248430745,1.0,489.69524281741764
sim_study1_far_sub28,far,0.9666473534524708,11.616984289888883,0.08337571092507448,9.076528710961389,1.0,1041.3200204341174
sim_study1_far_sub45,far,0.9833333333333333,37.987724391455856,0.15000620629946518,14.141682378991508,1.0,167.04068910320626
sim_study1_far_sub22,far,0.9998029670733157,7.003877141550774,0.07705490574025475,5.216173861602285,1.0,965.5165852341164
sim_study1_far_sub25,far,0.9333333367604578,27.441926140981604,0.13813717665987849,6.534648327913759,1.0,350.00527626001974
sim_study2_far_sub21,far,0.9498689529971022,15.37590983520643,0.06242020032210336,6.913790708210016,1.0,1556.2218918880035
sim_study1_far_sub60,far,0.9211600929606119,13.319802980494531,0.08920009760510554,5.550077297744098,1.0,506.22491656842186
sim_study2_far_sub37,far,0.981118251149173,13.62438045048974,0.0007551749832548861,7.4446783542598665,1.0,1876.6273493659203
sim_study2_far_sub64,far,0.9701095144427182,10.964910467181628,0.08348798010017362,8.964005132122505,1.0,697.1433655955638
sim_study2_far_sub15,far,0.9500286425424976,12.46490405485242,0.06937034711127472,6.649840963386716,1.0,1184.0260228699724
sim_study1_far_sub52,far,0.9682526464996974,9.252327416777968,0.0432229098922626,7.370186989900465,1.0,2545.3559545430185
sim_study2_far_sub26,far,0.9333452020099945,16.414483500454196,0.15790563963716578,5.4276486932123005,1.0,280.15444675079254
sim_study2_far_sub11,far,0.9718122219789022,6.8925172080272015,0.08959109086710007,7.748454601907249,1.0,643.9589105027917
sim_study2_far_sub41,far,0.9661415060791858,13.799095759043773,0.08050987908346945,7.246844329102737,1.0,752.1090040652587
sim_study1_far_sub43,far,0.9678714425936519,12.730591444834944,0.05977110965256309,4.865009169844537,1.0,963.4209275490178
sim_study1_far_sub15,far,0.9619482584880358,12.375851549867008,0.05588871439624802,6.12776268123427,1.0,890.647284900962
sim_study1_far_sub21,far,0.9343670196403235,13.349393122801844,0.08741166467998178,4.641080164843066,1.0,228.47559401016053
sim_study2_far_sub18,far,0.9512612757093811,8.377578081407291,0.1564008936561295,8.633745976963926,1.0,211.50782215086724
sim_study2_far_sub55,far,0.9666664139061727,18.885483173855167,0.04950603703279586,6.773020974028396,1.0,691.6402894973321
sim_study1_far_sub54,far,0.9171978489779321,12.089399338121618,0.1829648246651619,9.737125752434643,1.0,112.96984285663339
sim_study1_far_sub29,far,0.94795214045661,11.744977064245107,0.06666726863076967,12.761942543162673,1.0,849.4610844078765
sim_study1_far_sub58,far,0.9729356472830354,13.947523185045545,0.09977235402714066,7.566126087674349,1.0,187.78425088826407
sim_study1_far_sub47,far,0.9833153608892559,14.412629757978307,0.04706084696296422,4.222299584233561,1.0,994.2413769301255
sim_study2_far_sub9,far,0.949999999889323,21.946203888158617,0.0333095593524741,4.000535582575996,1.0,422.703361007596
sim_study1_far_sub38,far,0.9670702533986595,11.720422927068892,0.1747453433255424,7.347397143231075,1.0,233.46279002118388
sim_study2_far_sub57,far,0.9500003636639083,15.83356957216237,0.054008630782292115,5.071981636143227,1.0,819.652390670718
sim_study1_far_sub35,far,0.9666643263857445,19.16649482403756,0.08333109867017714,14.597313063520584,1.0,2933.6581926748845
sim_study2_far_sub23,far,0.9464356480024906,14.96699179870571,0.06092069659745847,9.10143317149823,1.0,72653.73922788366
sim_study1_far_sub27,far,0.9813854530735778,7.007475728012292,0.018172363652331772,7.63425905610851,1.0,274.7791669269663
sim_study2_far_sub25,far,0.9672479855406889,8.144181241760865,0.02787992188881114,4.1834771135541855,1.0,897.1896878143045
sim_study2_far_sub12,far,0.933668387793097,11.909959457749393,0.166085763482899,7.248413598992637,1.0,588.9689934619685
sim_study1_far_sub39,far,0.9497243473260968,10.321195445801834,0.08280587194734049,7.281605468105388,1.0,761.6124269232757
sim_study2_far_sub28,far,0.9504383418573747,17.666220249623926,0.018785647146883674,4.593954102552986,1.0,825.0578134894923
sim_study2_far_sub8,far,0.9634998087379941,10.839298685933755,0.06704850460972442,4.137040481652216,1.0,564.3520821876572
sim_study1_far_sub30,far,0.9510873793649777,14.769450700292929,0.15033856010217866,9.44288087275811,1.0,236.40525999378232
sim_study1_far_sub50,far,0.9674254204922871,12.141061754474231,0.14697221144458575,7.147929519819749,1.0,276.7703863431444
sim_study2_far_sub3,far,0.926806722172495,13.907691811335358,0.10265853502861554,8.32877258604023,1.0,688.3475727212117
sim_study1_far_sub20,far,0.9491459936465649,8.944966677593515,0.16409939874915908,5.971046613682592,1.0,481.3437326935733
sim_study2_far_sub56,far,0.983333333492608,17.002353681597658,0.08183711858048047,5.059116981140222,1.0,353.09991396936414
sim_study2_far_sub32,far,0.9666655557260159,14.59956352241962,0.08328666161990181,8.648100634680574,1.0,391.92472452138
sim_study1_far_sub53,far,0.9618000732568249,11.070705881800473,0.01668280285179251,9.956619485531892,1.0,1172.7900865533054
sim_study1_far_sub36,far,0.9335254348070392,10.580721916129121,0.06791359622765927,7.384591271957284,1.0,1968.2761320778125
sim_study2_far_sub35,far,0.9333334312568243,21.728621531067525,0.08347585817606579,8.01267250466864,1.0,488.0122427870578
sim_study1_far_sub8,far,0.9684507278504114,10.233141749986503,0.03335191229722713,11.5057245935183,1.0,7252.211923156765
sim_study1_far_sub59,far,0.9495984677127693,9.168774821042371,0.08564233100629044,4.571480693831954,1.0,1011.8632112869082
sim_study2_far_sub58,far,0.9666705081365793,12.118408403049537,0.06178412604162294,6.509915040983957,1.0,502.1702700680651
sim_study1_far_sub12,far,0.9166673286470778,22.818061932403335,0.10093621355508775,5.65566596159025,1.0,439.02648874265793
sim_study2_far_sub31,far,0.9692372403326613,11.221817451468151,0.03366494686892755,7.695501211345073,1.0,1626.8342560943431
sim_study2_far_sub29,far,0.9448531774462159,9.85852520308247,0.03716721155184572,3.6796277904190995,1.0,743.821425715209
sim_study2_far_sub17,far,0.9384989614584137,13.452383965555377,0.020009540318114038,3.6927523234270097,1.0,162.98484104599683
sim_study2_far_sub27,far,0.9665822934139529,12.20896415871431,0.033294671123785674,11.649941942200831,1.0,5955.582431679117
sim_study2_far_sub4,far,0.9166668024266059,15.694762371323936,0.08321151263523176,8.813019939854634,1.0,830.6886247879818
sim_study1_far_sub46,far,0.9666673376276488,16.371711959056427,0.028778726005762558,11.206506699370202,1.0,2761.869053740644
sim_study2_far_sub46,far,0.9164753934080818,19.0464719235197,0.02811333067662775,6.704700822919092,1.0,636.1870385742897
