participant,condition,A_weight_A1,kappa_A1,A_weight_B,kappa_B,A_weight_A2,kappa_A2
sim_study2_near_sub42,near,0.9740776301771815,7.508136374093616,0.01819807614036072,8.595062956605116,1.0,7974.168158091483
sim_study2_near_sub16,near,0.9213740355378551,10.089441586231004,0.03269016945632178,10.838386126812644,1.0,3161.6941164382106
sim_study1_near_sub32,near,0.9502902553799367,5.550344838671941,0.0028517982130706904,11.452579674191615,1.0,20929.42316852278
sim_study2_near_sub30,near,0.9910184273281977,6.241740051739701,0.01761342374601591,8.898471649764799,1.0,74472.87101657267
sim_study2_near_sub75,near,0.9620868032696933,5.273307415505551,0.051693723675161486,10.118425660605544,1.0,2519.24251930543
sim_study2_near_sub64,near,0.9937708901357076,6.108465677093058,0.02025493339735191,11.742161946739461,1.0,23243.65338813048
sim_study2_near_sub21,near,0.9991261287607444,10.980413085433861,0.016675867329162285,4.939448237880334,1.0,2029.0570772444398
sim_study2_near_sub19,near,0.9486525987460209,5.398575470207889,0.04324175041667382,11.75689368127,1.0,3466.8882296385837
sim_study1_near_sub33,near,0.9526852562185023,5.069555326832408,0.004847401385934424,7.453818244560814,1.0,4463.1086844265365
sim_study1_near_sub58,near,0.9630732780401363,10.185428343715209,0.04589478179431417,8.534947048677719,1.0,2900.638117351175
sim_study1_near_sub30,near,0.9625020358719996,4.737579445879093,0.024286565014275178,15.947075546247552,1.0,1663.188548976104
sim_study2_near_sub47,near,0.950300406430145,10.285083210281684,0.04914243992163492,14.36134918791983,1.0,76033.77829780288
sim_study1_near_sub28,near,0.9896483202526052,10.71191360941493,0.03412444488077036,8.97673443461636,1.0,564.0797657787341
sim_study1_near_sub50,near,0.9685300256184403,6.538471077190057,0.0005662850274522266,9.149826307071612,1.0,752.7560527973064
sim_study1_near_sub26,near,0.9739095344364391,10.784965401866522,0.043180982333676114,5.358466435863384,1.0,2713.824862324754
sim_study1_near_sub71,near,0.9839153915727858,8.652081669286636,0.05206398700597088,23.483146888747076,1.0,8152.007025306561
sim_study1_near_sub7,near,0.9993385340829062,11.585236615679612,0.03364652341883771,13.045922075091074,1.0,388.6091374260665
sim_study2_near_sub71,near,0.9704513052459041,6.082714422722488,0.025213657073902274,7.214516019602187,1.0,1298.0643099936947
sim_study1_near_sub39,near,0.9983052326703843,8.127982474202698,0.013614312648763725,9.449794339849277,1.0,474.47893302396426
sim_study2_near_sub45,near,0.9214002230156536,12.500017520221624,0.02794758658097584,7.018227741187463,1.0,8387.708183106886
sim_study2_near_sub11,near,0.9977329213532001,6.798497776703844,0.027369821712616087,8.664055653672884,1.0,706.6012434537687
sim_study1_near_sub37,near,0.9964935183281363,8.534710770490792,0.013822596980275716,6.733822899375846,1.0,4861.311065294808
sim_study1_near_sub49,near,0.9649426901575986,12.180183214249439,0.010277964428862217,7.835059528318047,1.0,27526.83964869522
sim_study2_near_sub15,near,0.9763668299189854,9.483671383402276,0.0018912524274997773,10.936224910297181,1.0,9656.424993456909
sim_study1_near_sub69,near,0.9421678889379527,44.84656336525735,0.02524769577720894,6.709078840213563,1.0,45789.18651782337
sim_study2_near_sub28,near,0.9331586373052083,11.03851832279439,0.037293946449859366,8.507092996875514,1.0,265.80808224454
sim_study2_near_sub32,near,0.9519213575897904,48.42227870937859,0.014549545690588436,13.125465299101448,1.0,405.93104018850863
sim_study1_near_sub72,near,0.9815328094739614,8.94785071324223,0.025725475651627236,6.320242168544945,1.0,1598.3056684052144
sim_study1_near_sub45,near,1.0,216.76284379634913,0.017348700252001446,6.992327545903431,1.0,15574.325630669575
sim_study2_near_sub72,near,0.9642076575401466,4.450583275539517,0.029805223593572853,4.390629358560011,1.0,1572.7923636709675
sim_study1_near_sub66,near,0.997546803833992,6.884739714252003,0.032225167268830894,8.486597866390444,1.0,47246.271488562445
sim_study2_near_sub20,near,0.978561514955855,4.527270332227246,0.025771716652020403,13.802375757122421,1.0,1176.7895112748486
sim_study2_near_sub1,near,0.9992749374254103,9.138863764260002,0.008915105481231448,4.8588833552373005,1.0,19561.375862997225
sim_study2_near_sub38,near,0.9656606584235004,5.851111974615863,0.06635157340052253,43.14362236106956,1.0,2808.612843904782
sim_study1_near_sub23,near,0.9723544036479812,6.703603117637399,0.052393068256627276,9.912286555335989,1.0,6692.688218724249
sim_study2_near_sub51,near,0.9806609955233933,14.920666087356919,0.013888674293241091,8.39539308050264,1.0,921.249906934546
sim_study1_near_sub4,near,0.996350613219587,7.482979600299173,0.03857623648555274,13.472390220042675,0.9999999999999993,253.082633196824
sim_study2_near_sub53,near,0.9509943198765579,28.326397390975274,0.00044706662192391165,9.784632994808252,1.0,2258.6810928570217
sim_study2_near_sub33,near,0.9992306882553871,38.95130439417167,0.051359474621475984,23.234521756905647,1.0,34039.33653082809
sim_study1_near_sub29,near,0.977291615510211,11.313608917978828,0.0014660644914280714,12.109653415427816,1.0,1502.8925946992292
sim_study1_near_sub36,near,0.9833129327831478,7.339909927207365,0.014914090840450178,9.966318332915124,1.0,4778.765785110201
sim_study1_near_sub59,near,0.9997036595072931,10.87567264340762,0.0746434252012009,13.58211553550503,1.0,69770.94165182911
sim_study2_near_sub39,near,0.9826567007146721,7.2394297704935076,0.03656932579207581,15.56485021089877,1.0,9342.356267358095
sim_study2_near_sub57,near,0.9623945723799643,9.46624006131697,0.026974403743313075,17.44980387724597,1.0,6503.969243766209
sim_study1_near_sub9,near,0.9015042537186538,11.128802346819809,0.00528209758013853,11.25846476686639,1.0,891.6625233667968
sim_study1_near_sub43,near,0.9487451828802708,10.726475221974717,0.05807111144401806,10.793327891755741,1.0,88965.87458794842
sim_study1_near_sub57,near,0.9862193667990352,6.198099634241899,0.020612617845858272,12.88621586268387,1.0,74242.84644053597
sim_study1_near_sub31,near,0.9653413972882301,24.489661246804435,0.0007177422251526421,8.923577747163161,1.0,5519.229007589969
sim_study1_near_sub74,near,0.992880926078673,7.257192388664785,0.013420428637251054,12.846377099384922,1.0,416.48550827029146
sim_study2_near_sub9,near,0.9669403566680017,3.964041781856758,0.03871404907907709,11.152694331147218,1.0,1094.2734559540354
sim_study1_near_sub35,near,0.972444168149163,7.9932464349252275,0.021724109658738534,6.710891005297694,1.0,3398.2509026173884
sim_study1_near_sub1,near,0.9361957574878679,15.907519602446687,0.02772446804853441,4.346793155612035,0.999896521615557,91.79188798776946
sim_study1_near_sub47,near,0.9566679858216414,15.847363221241952,0.05361707697151817,15.385327777004882,1.0,29743.004179525313
sim_study2_near_sub36,near,0.9860318568584022,8.412011547502926,0.0036887078182119585,6.555729716530561,1.0,11292.228596758492
sim_study2_near_sub73,near,0.9641916278715722,22.871531179120915,0.044696000446665676,10.38328371397558,1.0,1516.2812525358577
sim_study1_near_sub41,near,0.9485945340763166,8.759921074018724,0.05053451551748367,13.55003590579187,1.0,611.7139441075482
sim_study1_near_sub67,near,0.9529118583686355,8.340263477841274,0.027301335943570815,19.60926252407738,1.0,15960.884308011593
sim_study2_near_sub44,near,0.9954651387895421,11.67930553524776,0.001070468534810212,15.388680033759458,1.0,15434.00415025169
sim_study2_near_sub52,near,0.9685813504996509,5.66731300348855,0.030934554586195272,4.800193832805738,1.0,804.9320453082005
sim_study2_near_sub31,near,0.9996944014565955,10.344550276506444,0.02097544326053274,6.471117727113888,1.0,2121.29367186211
sim_study2_near_sub7,near,0.9861610032671657,8.855307500246568,0.0084783808193507,8.563665257847003,1.0,4066.9180923082945
