participant,condition,A_weight_A1,kappa_A1,A_weight_B,kappa_B,A_weight_A2,kappa_A2
sim_study2_near_sub42,near,0.9529577643612092,4.7257967263310485,0.06553988065452515,7.770968837502379,1.0,471.53261927186026
sim_study2_near_sub16,near,0.9560298356846406,5.49622240303798,0.0017627360350061592,13.01677837570824,1.0,1029.7003612164247
sim_study1_near_sub32,near,0.9710211148128338,12.723458149234212,0.03631653879206074,9.019470970508271,1.0,27979.283981860255
sim_study2_near_sub30,near,0.9713561171349081,5.786478080989889,0.017353662747337826,8.548619529594964,1.0,4709.551463203384
sim_study2_near_sub75,near,0.9812289143676319,16.047206842657875,0.07727777527794796,10.751545816537275,1.0,1309.7505791688975
sim_study2_near_sub64,near,0.941185463337569,5.6027100359813495,0.0012816475147272397,8.405488504368881,0.999999999998341,210.70104252147084
sim_study2_near_sub21,near,0.9624546770335678,29.27888008654624,0.007161966178354014,5.986894501202875,0.9997390365802457,69.47695912203703
sim_study2_near_sub19,near,0.9615416824231606,6.0049855373169345,0.0294662676652075,7.469872725908129,1.0,181623.50820562305
sim_study1_near_sub33,near,0.982721145285081,11.465215567172404,0.001548202246548786,12.3664956600114,1.0,1543184.1289238925
sim_study1_near_sub58,near,0.9345064818311207,4.850910987254191,0.03187511466929469,13.054622008759353,1.0,1179.74847802509
sim_study1_near_sub30,near,0.9842925637800041,6.587652537386007,0.05033993374191657,38.648175090576636,1.0,932.1406739786231
sim_study2_near_sub47,near,0.9705504979009156,6.424441581876645,0.013231508983095318,6.44362222711512,1.0,525.1026433407033
sim_study1_near_sub28,near,0.9512574874137006,7.580235872578053,0.03333138606693719,189.64739022871353,1.0,2235.9525058452555
sim_study1_near_sub50,near,0.9113934473838454,8.487556154368866,2.1694378986469665e-05,24.881240306672066,1.0,49998.57360190265
sim_study1_near_sub26,near,0.9333853282769962,71.93976751453913,0.03488876328563162,11.440750235494912,1.0,1700.860712740693
sim_study1_near_sub71,near,0.9797311572442926,19.799263378852793,0.01981764791241753,7.052658328899003,1.0,1132.9592400651788
sim_study1_near_sub7,near,0.9279895911118322,11.418189187349192,0.009961070414070381,5.233883545886518,1.0,1810.9484629171368
sim_study2_near_sub71,near,0.9953034282247045,11.361490249407263,0.036420229218967974,10.027817321177181,1.0,24427.82206718382
sim_study1_near_sub39,near,0.9881205184022104,6.771505497812425,0.05240529784056617,4.9846316949848575,1.0,5457.726264180929
sim_study2_near_sub45,near,0.980772143431165,9.06020454769557,0.016787246698446733,5.52699646886934,1.0,625.0249250763418
sim_study2_near_sub11,near,0.9788309054467602,12.582114539584872,0.02086991500955249,6.626722420037557,1.0,15931.40473941209
sim_study1_near_sub37,near,0.9980056123594138,13.138860119957785,0.03761077645514675,5.5290964852054065,1.0,158.6099423075562
sim_study1_near_sub49,near,0.9591097766242033,11.994079942376803,0.029041448405100496,11.033627716851965,1.0,4119.7101591240635
sim_study2_near_sub15,near,0.9823574149272064,5.269103820142972,0.01845562632567394,15.498181976117364,1.0,3539.0987107382266
sim_study1_near_sub69,near,0.9969010876945112,11.081536886169216,0.04195297187371885,8.079612968445982,1.0,14065.474919644555
sim_study2_near_sub28,near,0.9720647050235779,3.709248720919359,0.0022440696809432905,9.077144749056197,1.0,10198.257773839407
sim_study2_near_sub32,near,0.9258686343298154,12.262485097679159,0.040771528771501954,11.677519568205028,1.0,12797.453929312356
sim_study1_near_sub72,near,0.9953084475127115,8.49771859623157,0.04137596514141494,9.815403884996746,1.0,3230.450055372025
sim_study1_near_sub45,near,0.9678924500267228,6.014070364972424,0.02447813956521061,12.475940244936274,1.0,654.5080753716283
sim_study2_near_sub72,near,0.999041709658048,8.249443020242225,0.0835636628544528,27.00477576077865,1.0,3046.1058271259662
sim_study1_near_sub66,near,0.9709824698715841,5.254645233208063,0.0051958429710666975,8.766357441017187,1.0,2007.091758294029
sim_study2_near_sub20,near,0.9537082552741558,3.764954871968613,0.03400659676788909,10.358164181705195,1.0,141262.30090585546
sim_study2_near_sub1,near,0.9771366517242741,6.504680621423121,9.681214828870421e-06,23.400394863844575,1.0,7124.044439733533
sim_study2_near_sub38,near,0.9365253852524897,5.205388473546854,0.01894654992004006,7.020380330692761,1.0,1876.1266661794289
sim_study1_near_sub23,near,0.9974780848407414,9.42058401215848,0.02155880029352525,6.804713490969907,1.0,4157.685006908682
sim_study2_near_sub51,near,0.9776907635009112,5.7058039791962765,0.020526261700443024,5.972979375514422,0.9999999999999981,111.51000016110024
sim_study1_near_sub4,near,0.9430834799604374,14.764645932062544,0.01668338159387072,6.327561001462179,1.0,1263.2632307733302
sim_study2_near_sub53,near,0.9868041258113353,9.129567813897065,0.0007084799877738485,9.786403794369903,1.0,5893.542972868739
sim_study2_near_sub33,near,0.9835303209024616,5.152795872406538,0.021730705468588126,13.865081193463439,1.0,1786.6874223070056
sim_study1_near_sub29,near,0.9626363339808286,6.010212614248034,0.0009315432915129901,18.64572377549575,1.0,766.2614294269935
sim_study1_near_sub36,near,0.8982076575801007,10.376072586181344,0.004652908148332093,11.124951150368311,1.0,8324.021841067677
sim_study1_near_sub59,near,0.9603240784495992,34.47272394028845,0.020430070976101732,27.47966171965833,1.0,1630.808408283165
sim_study2_near_sub39,near,0.9650812412656768,24.411575376252266,0.09999839444136602,201.7008588867061,1.0,4873.124970422835
sim_study2_near_sub57,near,0.9760735136883454,17.827278125552358,0.002624259724133724,8.605366890542378,1.0,741.306436364983
sim_study1_near_sub9,near,0.9584983472100975,8.004571407639148,0.01779805399771741,10.44112110613309,1.0,1956.0235303028692
sim_study1_near_sub43,near,0.9629363515453034,8.019697819154967,0.030973734730948447,4.094767402488204,1.0,678.5234166845075
sim_study1_near_sub57,near,0.9713438052923808,6.275649489596714,0.014710674617162158,14.409573467495186,1.0,1159.7549774658582
