participant,condition,A_weight_A1,kappa_A1,A_weight_B,kappa_B,A_weight_A2,kappa_A2
sim_study2_near_sub42,near,0.9701441372668916,6.623606166370644,0.048026398400022416,4.140890010382814,1.0,1544253144.2248418
sim_study2_near_sub16,near,0.9618004928205461,4.6807802257879585,0.049763113429602476,3.412587921313507,1.0,19491862.061094396
sim_study1_near_sub32,near,0.9520380886779276,6.135783651991474,0.0588541121565251,5.016439094317453,1.0,44538953.60706614
sim_study2_near_sub30,near,0.963312639577233,4.458509972550919,0.023227838491621286,3.974281378758717,1.0,59592360.27478721
sim_study2_near_sub75,near,0.9729951978944202,6.684805830713634,0.023961941479635696,5.909421553786219,1.0,8762710.359870251
sim_study2_near_sub64,near,0.9517747526941595,6.033482140425916,0.01916955423152034,6.870378433715281,1.0,2245501.423810846
sim_study2_near_sub21,near,0.968482295385726,9.019384351433681,0.027863267977928475,3.9261219804110374,1.0,121711069.04013872
sim_study2_near_sub19,near,0.954343871308753,5.882099740372761,0.032674961630158296,4.751413412150438,1.0,40312231.81084478
sim_study1_near_sub33,near,0.9387452765422388,5.774407174586194,0.023361774507564746,4.240452903253396,1.0,3994380.9746024725
sim_study1_near_sub58,near,0.9590590979307317,3.8666215773401937,0.06601593274305043,4.345341313235225,1.0,906497.2258008642
sim_study1_near_sub30,near,0.9632296786231923,3.9970789363820844,0.03558135109494578,3.5991704336608077,1.0,55501512.09126438
sim_study2_near_sub47,near,0.9680154228553643,3.425973197441752,0.0029984868487392736,6.4739002112608395,1.0,121806070.46882765
sim_study1_near_sub28,near,0.9845661513020187,4.74019943789181,0.0017174771594558737,12.002114713889826,1.0,25999903.457906984
sim_study1_near_sub50,near,0.9116910463371722,5.986199769228308,0.004625334158993355,8.831707152427363,1.0,14712990.490822814
sim_study1_near_sub26,near,0.9277313721489134,4.476986384094653,0.05942997803617472,4.335341480210244,1.0,22421300.74807182
sim_study1_near_sub71,near,0.9596142941959652,5.102850627331585,0.043007575511536285,3.8779337906798026,1.0,41999000.28173307
sim_study1_near_sub7,near,0.9105365351245702,6.548223658950407,0.029704541931999635,4.063672229275979,1.0,1884015.361586312
sim_study2_near_sub71,near,0.9733912081773036,8.394039857450812,0.0449892082739327,7.884269266506374,1.0,5471208.361244885
sim_study1_near_sub39,near,0.9724993816324872,5.445265932867506,0.03409170537356953,3.8914028319993776,1.0,62858871.095032685
sim_study2_near_sub45,near,0.9631625303485795,5.434409414038961,0.02809069725555245,4.9747603127855005,1.0,16440693.780462533
sim_study2_near_sub11,near,0.9357786102432103,8.869866502012945,0.028531207548084032,4.810599545966834,1.0,5801473.35040147
sim_study1_near_sub37,near,0.9840152596554581,5.220550753483621,0.05191256611408761,4.058998805373893,1.0,5829589.316584342
sim_study1_near_sub49,near,0.9342637100784082,10.414774822246473,0.07765107524191014,4.958037488036092,1.0,51209656.22458968
sim_study2_near_sub15,near,0.9754205444582044,3.6508883867952235,0.020606620379246324,18.072260080627046,1.0,7923558.15130221
