direction,from_neuron,to_neuron,weight,abs_weight
A→B,A_22,B_1,0.003879782510921359,0.003879782510921359
B→A,B_15,A_8,-0.0034929292742162943,0.0034929292742162943
B→A,B_23,A_5,-0.0029181581921875477,0.0029181581921875477
A→B,A_13,B_24,-0.0029086056165397167,0.0029086056165397167
A→B,A_23,B_21,-0.002893052762374282,0.002893052762374282
A→B,A_16,B_22,-0.0028417115099728107,0.0028417115099728107
B→A,B_12,A_16,0.0028047142550349236,0.0028047142550349236
B→A,B_21,A_7,0.0027690890710800886,0.0027690890710800886
A→B,A_16,B_1,0.00273884367197752,0.00273884367197752
A→B,A_16,B_21,-0.0027260694187134504,0.0027260694187134504
A→B,A_12,B_0,0.002669517183676362,0.002669517183676362
B→A,B_13,A_22,0.0026660794392228127,0.0026660794392228127
B→A,B_7,A_7,0.002608409384265542,0.002608409384265542
A→B,A_4,B_3,-0.0025614029727876186,0.0025614029727876186
B→A,B_24,A_18,0.0025332202203571796,0.0025332202203571796
A→B,A_18,B_8,0.0025138675700873137,0.0025138675700873137
B→A,B_3,A_17,0.002495396649464965,0.002495396649464965
B→A,B_23,A_7,-0.0024549756199121475,0.0024549756199121475
A→B,A_17,B_21,-0.0024545330088585615,0.0024545330088585615
B→A,B_11,A_23,0.002448503626510501,0.002448503626510501
