direction,from_neuron,to_neuron,weight,abs_weight
A→B,A_6,B_18,-0.0034099528566002846,0.0034099528566002846
B→A,B_20,A_3,0.0032481977250427008,0.0032481977250427008
B→A,B_18,A_14,0.0031724621076136827,0.0031724621076136827
B→A,B_20,A_10,0.0030424296855926514,0.0030424296855926514
B→A,B_20,A_20,0.0029915955383330584,0.0029915955383330584
A→B,A_8,B_13,-0.0029833100270479918,0.0029833100270479918
A→B,A_14,B_22,0.002963437233120203,0.002963437233120203
B→A,B_20,A_16,0.0029495954513549805,0.0029495954513549805
A→B,A_15,B_14,0.0029394179582595825,0.0029394179582595825
A→B,A_15,B_22,-0.0028156109619885683,0.0028156109619885683
A→B,A_21,B_10,-0.002772088162600994,0.002772088162600994
A→B,A_22,B_15,-0.002656505908817053,0.002656505908817053
A→B,A_18,B_17,0.0026134299114346504,0.0026134299114346504
A→B,A_20,B_4,-0.0025864553172141314,0.0025864553172141314
B→A,B_8,A_9,0.0025485288351774216,0.0025485288351774216
A→B,A_13,B_6,0.0025106030516326427,0.0025106030516326427
B→A,B_23,A_24,0.0024886643514037132,0.0024886643514037132
B→A,B_5,A_8,0.0023841955699026585,0.0023841955699026585
B→A,B_2,A_13,-0.002378793666139245,0.002378793666139245
A→B,A_10,B_13,-0.0023733722046017647,0.0023733722046017647
