direction,from_neuron,to_neuron,weight,abs_weight
A→B,A_7,B_1,0.003105500480160117,0.003105500480160117
B→A,B_6,A_11,-0.002966831438243389,0.002966831438243389
B→A,B_6,A_9,0.0029496096540242434,0.0029496096540242434
B→A,B_13,A_22,-0.0028189443983137608,0.0028189443983137608
A→B,A_7,B_6,0.002715485403314233,0.002715485403314233
A→B,A_9,B_17,0.002675124444067478,0.002675124444067478
B→A,B_0,A_0,0.0026422059163451195,0.0026422059163451195
B→A,B_15,A_14,0.0026152990758419037,0.0026152990758419037
B→A,B_1,A_24,0.0025795004330575466,0.0025795004330575466
A→B,A_13,B_2,-0.00251865410245955,0.00251865410245955
A→B,A_2,B_20,-0.0025186450220644474,0.0025186450220644474
A→B,A_17,B_21,-0.0025131129659712315,0.0025131129659712315
B→A,B_6,A_4,0.0024720043875277042,0.0024720043875277042
A→B,A_8,B_20,-0.0024613209534436464,0.0024613209534436464
B→A,B_13,A_23,-0.0024604781065136194,0.0024604781065136194
B→A,B_9,A_0,-0.0024471685755997896,0.0024471685755997896
A→B,A_24,B_19,-0.002407409716397524,0.002407409716397524
B→A,B_2,A_6,0.0023806726094335318,0.0023806726094335318
A→B,A_15,B_20,0.0023791929706931114,0.0023791929706931114
A→B,A_7,B_10,-0.00237165205180645,0.00237165205180645
