direction,from_neuron,to_neuron,weight,abs_weight
A→B,A_8,B_4,0.003459884552285075,0.003459884552285075
B→A,B_9,A_13,-0.0033782084938138723,0.0033782084938138723
A→B,A_12,B_7,-0.0032755383290350437,0.0032755383290350437
B→A,B_9,A_0,-0.0031192025635391474,0.0031192025635391474
A→B,A_23,B_10,-0.0030712378211319447,0.0030712378211319447
B→A,B_2,A_3,0.0028663105331361294,0.0028663105331361294
B→A,B_4,A_18,-0.0028221728280186653,0.0028221728280186653
B→A,B_16,A_11,0.002719583222642541,0.002719583222642541
B→A,B_16,A_5,-0.0026928044389933348,0.0026928044389933348
B→A,B_21,A_23,0.0026645048055797815,0.0026645048055797815
B→A,B_5,A_8,0.002661166712641716,0.002661166712641716
A→B,A_9,B_12,-0.0025478648021817207,0.0025478648021817207
A→B,A_2,B_3,0.0024300329387187958,0.0024300329387187958
A→B,A_1,B_1,-0.0024111720267683268,0.0024111720267683268
B→A,B_2,A_16,-0.002371296752244234,0.002371296752244234
A→B,A_19,B_23,-0.0023500146344304085,0.0023500146344304085
B→A,B_2,A_2,-0.00232774019241333,0.00232774019241333
A→B,A_9,B_4,0.002324265195056796,0.002324265195056796
A→B,A_14,B_7,0.002310035051777959,0.002310035051777959
A→B,A_15,B_17,0.0022917306050658226,0.0022917306050658226
