direction,from_neuron,to_neuron,weight,abs_weight
B→A,B_9,A_9,-0.0032818426843732595,0.0032818426843732595
A→B,A_5,B_23,0.003100121160969138,0.003100121160969138
A→B,A_12,B_11,0.0029095655772835016,0.0029095655772835016
A→B,A_7,B_5,-0.0028583703096956015,0.0028583703096956015
A→B,A_7,B_16,0.0028305798768997192,0.0028305798768997192
B→A,B_21,A_6,-0.002792623359709978,0.002792623359709978
B→A,B_24,A_22,0.0027622950728982687,0.0027622950728982687
A→B,A_8,B_0,0.002713714959099889,0.002713714959099889
B→A,B_19,A_11,-0.00269392691552639,0.00269392691552639
B→A,B_1,A_14,0.002682531252503395,0.002682531252503395
B→A,B_20,A_16,-0.002618466503918171,0.002618466503918171
A→B,A_13,B_10,0.002529938006773591,0.002529938006773591
B→A,B_23,A_3,-0.002516782144084573,0.002516782144084573
B→A,B_6,A_3,0.002513239160180092,0.002513239160180092
B→A,B_20,A_0,0.0025128056295216084,0.0025128056295216084
B→A,B_21,A_4,-0.002509369747713208,0.002509369747713208
B→A,B_5,A_11,0.0024533504620194435,0.0024533504620194435
A→B,A_8,B_1,-0.002426933031529188,0.002426933031529188
A→B,A_3,B_20,0.0024003125727176666,0.0024003125727176666
A→B,A_16,B_1,-0.002374317031353712,0.002374317031353712
