direction,from_neuron,to_neuron,weight,abs_weight
B→A,B_9,A_4,0.003321299096569419,0.003321299096569419
B→A,B_3,A_19,0.003078459296375513,0.003078459296375513
B→A,B_23,A_1,0.003033361630514264,0.003033361630514264
A→B,A_23,B_18,-0.002894220408052206,0.002894220408052206
A→B,A_5,B_7,0.0028529835399240255,0.0028529835399240255
A→B,A_17,B_20,0.0027761266101151705,0.0027761266101151705
B→A,B_13,A_10,0.002774388063699007,0.002774388063699007
A→B,A_15,B_3,-0.0027480819262564182,0.0027480819262564182
B→A,B_17,A_19,0.0027222465723752975,0.0027222465723752975
A→B,A_14,B_17,0.0027104720938950777,0.0027104720938950777
B→A,B_22,A_21,0.002677240641787648,0.002677240641787648
B→A,B_13,A_16,-0.002651241607964039,0.002651241607964039
B→A,B_20,A_7,0.0025775970425456762,0.0025775970425456762
B→A,B_23,A_20,0.0025325811002403498,0.0025325811002403498
A→B,A_11,B_0,-0.0024641945492476225,0.0024641945492476225
B→A,B_15,A_24,0.0024470321368426085,0.0024470321368426085
A→B,A_19,B_2,-0.002442819532006979,0.002442819532006979
A→B,A_16,B_13,-0.002440227661281824,0.002440227661281824
B→A,B_13,A_2,0.002425155369564891,0.002425155369564891
B→A,B_22,A_3,-0.002407301217317581,0.002407301217317581
