,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24
A_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001629327016416937,-0.0011847420828416944,-0.0005008432781323791,0.0006727346335537732,-0.00012366454757284373,-0.0001604023709660396,9.816347301239148e-05,-0.0010759590659290552,0.001184749067761004,-0.0021418232936412096,-6.997180753387511e-05,-0.001405969262123108,0.0007388492813333869,-0.0011723969364538789,0.001822440535761416,-0.0002759459021035582,0.0011207937495782971,0.0003751893527805805,0.0005685921059921384,0.0009174210717901587,0.0017682694597169757,0.00015940181037876755,0.00010955481411656365,5.661095929099247e-05,-0.0005933790816925466
A_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013172522885724902,0.00041602281271480024,-0.0010336843552067876,-0.00024076816043816507,-0.0016866889782249928,-0.0015008887276053429,0.0006429448840208352,-0.0004771940875798464,-0.0010228619212284684,8.873633487382904e-05,0.001386121497489512,0.0005038024391978979,-0.0018378011882305145,-0.0030461398418992758,-0.0013063461519777775,1.30406706375652e-05,0.0001947311102412641,-0.00041154553764499724,0.000271227938355878,-0.0005757242324762046,0.001047857804223895,0.0008865033742040396,2.3562619389849715e-05,-0.00038723263423889875,0.0004361096944194287
A_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011407598503865302,0.0005255579017102718,0.001658457680605352,5.666800279868767e-05,0.0004975649062544107,0.00016608725127298385,-0.00033891736529767513,0.00025702465791255236,-0.000828474061563611,-0.0006273331237025559,0.00038900115760043263,0.0013558726059272885,0.002047835849225521,0.000437460868852213,-7.645660662092268e-05,-0.00040744207217358053,0.0011659348383545876,-0.0004912366857752204,-0.00035838098847307265,0.0001381315669277683,-0.00031968948314897716,-0.00019412640540394932,0.0005301889032125473,-0.000803495233412832,0.00283628236502409
A_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016593066975474358,0.0003132258716505021,0.0003452982346061617,5.369755672290921e-05,-0.0012030916986986995,0.0002400443481747061,-0.00039246180676855147,-0.0005972185754217207,-0.0006288706790655851,0.0010189590975642204,0.00026559780235402286,0.00012289542064536363,-0.000717159709893167,-3.1583815143676475e-05,0.00038012381992302835,0.0003319042734801769,0.00038568946183659136,0.0010679630795493722,0.001248733839020133,0.000875629426445812,0.0008632828830741346,-0.00030813473858870566,0.0015593813732266426,-0.0003090406535193324,0.0011405030963942409
A_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019242691341787577,-0.0008339542546309531,6.148223474156111e-05,-4.6170782297849655e-05,0.0004728350613731891,-0.0018313240725547075,-0.0005667140358127654,-0.0009220822830684483,-0.002467733807861805,0.003097851062193513,-0.00019389188673812896,-0.0007736004772596061,-0.0001757051795721054,0.0006462805904448032,-0.000818106927908957,0.0007858623284846544,-0.0005178985884413123,-7.709643250564113e-05,0.0009709371952340007,0.00102036795578897,0.0012438013218343258,-0.00226043863222003,-0.0013171916361898184,-0.0011419302318245173,-0.0006727352738380432
A_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00035840162308886647,-0.0015220935456454754,-0.0007114413310773671,-0.0015898306155577302,0.0009994215797632933,-0.0006310141179710627,4.740684016724117e-05,-0.0008712874259799719,0.001418150495737791,-0.0007308547501452267,0.00039646122604608536,0.00254047941416502,0.0004034663725178689,-0.001184295048005879,-0.0006897445418871939,-0.0008292634738609195,0.0005034047644585371,0.0012705664848908782,-0.0012350573670119047,0.00022442372574005276,0.0009794984944164753,0.0013673723442479968,1.98258894670289e-05,-0.0006966112414374948,0.000981345772743225
A_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000328581256326288,-0.0009391143685206771,7.534416363341734e-05,0.0006791647174395621,-0.00010124700929736719,-0.0005219400627538562,0.0014625671319663525,0.0006946195499040186,-0.0008499191026203334,-0.0009835008531808853,-0.0007399965543299913,-0.00033571943640708923,0.0010657728416845202,0.00031639274675399065,9.339336247649044e-05,1.5734764019725844e-05,-0.0011767284013330936,-0.0022128871642053127,0.000118828727863729,0.0005554893286898732,0.0005251340917311609,-0.0008693569106981158,0.0018027869518846273,0.0004188974271528423,-0.0011756413150578737
A_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034847090137191117,0.00207881978712976,-0.0013562371022999287,-0.0013366631465032697,-0.0008922534761950374,0.0004386913205962628,-0.0005200931918807328,0.000522045767866075,0.0009087971993722022,-0.00041760047315619886,-0.0016371768433600664,0.0015582650667056441,0.0008167739724740386,0.0010790290543809533,-0.00016282140859402716,-0.0004983789403922856,0.0007626130827702582,0.0001583870325703174,0.00032834240118972957,-0.0003639334754552692,0.0013234427897259593,-0.0014949461910873652,-0.002011063974350691,0.0008876550127752125,0.001320556621067226
A_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010158196091651917,-0.0006871798541396856,-6.850133650004864e-05,-0.00015842395077925175,0.0009565540822222829,0.00015120813623070717,0.0009902374586090446,0.00016718269034754485,0.0009264350519515574,-0.0007329605286940932,0.00011572617222554982,0.0006196462200023234,-0.00020240650337655097,-0.0012388858012855053,0.000842181674670428,0.0018647079123184085,0.0009618020267225802,-0.0020717442966997623,0.0010003733914345503,0.00010434338037157431,-0.00017362939252052456,-0.000549417338334024,-6.979131740081357e-06,-0.00013227210729382932,0.0016367248026654124
A_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002633694326505065,5.5479798902524635e-05,0.00028105403180234134,-0.001277751987800002,0.0008508224273100495,-0.001008580788038671,0.0004663694417104125,0.00029667356284335256,8.336344035342336e-05,0.00039772677700966597,0.0017486844444647431,0.0014578514965251088,-5.307336778059835e-06,0.0004896282916888595,-0.00048138562124222517,0.00026918985531665385,0.0008022327092476189,-0.0005330512067303061,-0.0015321651007980108,-0.0008691457915119827,0.00021046977781224996,-0.00029657172854058444,0.0004947519046254456,-0.000835611775983125,-0.0004956453922204673
