,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24
A_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012484796752687544,-0.00034391225199215114,-0.00040520180482417345,-0.0009377295500598848,-0.00024365154968108982,0.0006769060273654759,-0.00013351130473893136,0.00039347074925899506,-0.0013198660453781486,-0.0007064103265292943,0.001123584108427167,0.000637160032056272,-0.0009458248387090862,-0.0004312234523240477,-0.00018551597895566374,0.0005582401063293219,-0.0003242081729695201,-0.0011749789118766785,-0.0015910370275378227,-0.0018499355064705014,6.0414029576350003e-05,-0.0017754893051460385,0.0003084985655732453,-0.0007950730505399406,-0.0008395155891776085
A_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008336251485161483,-0.0007861116318963468,-0.0007994062034413218,0.0011949642794206738,0.0007918679621070623,0.00107452436350286,-4.464448466023896e-06,-0.0006592476274818182,0.0015325252898037434,-0.0003911854582838714,-0.0007056475733406842,0.00020399015920702368,0.0013507648836821318,-0.000306213361909613,-0.001081804046407342,0.0005663365009240806,-0.0001609710161574185,-4.595994687406346e-05,0.000421226053731516,-0.0015843062428757548,8.065864676609635e-05,0.0011834960896521807,-5.431465524452506e-06,0.0012165161315351725,0.0003891781670972705
A_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.528719627065584e-05,0.0008062298875302076,-0.0001882499345811084,-0.0015803106362000108,-0.0013939334312453866,-0.0013734831009060144,-5.6272834626724944e-05,-0.0002241558686364442,-6.021595254424028e-05,0.00047535926569253206,0.0011011820752173662,-0.0003323878045193851,-0.0019308184273540974,-0.00034706442966125906,0.001371208461932838,-0.0005068828468210995,0.00037819420685991645,-0.0005431317258626223,-0.0016616854118183255,-0.00047518499195575714,-0.0025186450220644474,0.0005885772407054901,-0.0007064499659463763,-0.00034726844751276076,0.0006015814724378288
A_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3876654520572629e-05,0.00036338571226224303,-0.0003076479188166559,0.0002085695741698146,0.0006900767330080271,-0.001032200874760747,-0.0007901339558884501,-0.00044597481610253453,-0.0017805126262828708,-0.0005117570981383324,-0.0008015133207663894,0.0011192256351932883,0.0010300253052264452,0.0005910284235142171,0.00018345488933846354,0.0011523105204105377,-0.0006588405231013894,-0.00010620959801599383,0.0004946775152347982,0.00033327730488963425,0.0007340594893321395,-0.0007620098767802119,0.0011006651911884546,-0.0005264933570288122,0.0006005687755532563
A_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.957037865300663e-05,-0.0005595270777121186,0.0019312751246616244,0.0002575180842541158,-0.00023502060503233224,0.0010726918699219823,0.0015072388341650367,-0.0008297284366562963,0.0002959425328299403,-0.0008466305444017053,-3.470949741313234e-05,0.0004454957088455558,-0.0005845320411026478,0.0007794492994435132,-0.001694879145361483,-0.001705428585410118,0.0002573146775830537,-0.0007501872023567557,0.00042084240703843534,0.00021106631902512163,-0.00046652404125779867,0.0009290996822528541,-0.0007231628405861557,0.0004998560179956257,-0.001337700174190104
A_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007491536089219153,-0.0005430183955468237,-0.0023536349181085825,0.0011156406253576279,0.00021179702889639884,0.001412153011187911,-2.7811187464976683e-05,0.0018231944413855672,-0.0003841233847197145,0.0015428652986884117,0.0018283145036548376,0.0013849189272150397,0.0021822797134518623,-0.00010544570250203833,3.286559149273671e-05,-0.0004861002671532333,0.00038578937528654933,0.00012701305968221277,1.2907807104056701e-05,-0.00024193886201828718,-0.0005820139776915312,-0.0011437962530180812,-0.0013218870153650641,-0.0017681090394034982,-0.00011231767712160945
A_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006144875078462064,-0.0008574957028031349,7.370800449280068e-05,0.00042407753062434494,0.0004375491407699883,-0.0002862502878997475,-0.0009148468961939216,-0.0013760075671598315,-0.00042068713810294867,-0.0005593304522335529,-0.0013048789696767926,-0.00021985270723234862,0.00019919434271287173,-0.0008796459878794849,-3.42666644428391e-05,-0.0013973782770335674,-0.0004258415137883276,-0.0005414874758571386,-4.010016709798947e-05,0.0019284471636638045,0.00013679360563401133,8.434094343101606e-05,-0.00031742421560920775,0.0005871591274626553,0.0014049946330487728
A_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014419639483094215,0.003105500480160117,0.0015262712258845568,-0.000545619404874742,-0.0006193211884237826,-0.0012725047999992967,0.002715485403314233,0.000500999391078949,-0.0015783710405230522,-0.0008353969315066934,-0.00237165205180645,-0.0012545357458293438,0.0003945847856812179,9.274344847653992e-06,-0.000883515749592334,0.0009617864270694554,0.00026701961178332567,0.001711321878246963,-0.000859210267663002,-0.0005635027773678303,-0.0004357389116194099,-0.0016599848167970777,0.0006847959593869746,0.0017264849739149213,0.0009877715492621064
A_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008389711729250848,0.0006607699324376881,0.0017707595834508538,-0.0011948584578931332,0.00012184519437141716,-0.0001511771697551012,0.0018700987566262484,0.002210872247815132,0.00038946172571741045,0.0004278870765119791,0.0008870690944604576,-0.0005097214598208666,-0.0006975905853323638,-0.0009668824495747685,0.0004260180867277086,0.0005879864329472184,-0.0007637309608981013,0.00019824063929263502,-0.0017045869026333094,0.0013257956597954035,-0.0024613209534436464,-0.0020852945744991302,-0.001280632452107966,0.0005443557165563107,-0.00044694560347124934
A_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7815144019550644e-05,-0.0004822066694032401,-0.0016585426637902856,-0.0004957622732035816,0.001138725783675909,-0.00026127794990316033,-0.00012417645484674722,-0.00011694180284393951,0.0005650879465974867,0.0005140008288435638,-0.00021608172392006963,-0.00026161130517721176,-3.601073694881052e-05,-0.0008351082797162235,-0.0002155608672183007,8.474013884551823e-05,-0.0005807613488286734,0.002675124444067478,-0.0003021515440195799,-0.0004754338297061622,0.00038913983735255897,-0.0007208591559901834,0.0006656809709966183,-0.0002393234462942928,0.0015122236218303442
A_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020777077588718385,0.0006877191481180489,0.0015989787643775344,-1.565708043926861e-05,-5.917173984926194e-05,-0.0017612994415685534,0.0003647896519396454,0.00024689052952453494,-0.0007356256828643382,1.671262907620985e-05,-0.0014359065098688006,0.0001204862492159009,8.807657286524773e-05,-0.0010652360506355762,0.00036360928788781166,-0.0005515110096894205,0.00039821502286940813,-0.0007944983663037419,-0.00011844338587252423,-0.0008467392763122916,0.0011654759291559458,-0.0015137011650949717,-0.001433954224921763,-0.00041996699292212725,-0.0006187569233588874
A_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009364584693685174,0.0005977638065814972,0.0007087948033586144,0.0005715486477129161,-0.00044875990715809166,-0.000818586559034884,0.00030427268939092755,-0.0001266284380108118,-0.00032911438029259443,-0.0011186799965798855,-0.00037749428884126246,0.0010131873423233628,4.976663694833405e-05,0.0005609167856164277,0.0003058912407141179,-0.0003586237144190818,0.001047654077410698,-0.0016895252047106624,-0.0004061521904077381,-0.00028635343187488616,0.0003487994836177677,0.0006280649686232209,0.0012882876908406615,0.001392622827552259,-0.0003137226449325681
