,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24
A_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022324964811559767,-0.0009804832516238093,-0.0008506799931637943,0.0002102959406329319,-0.0008560140850022435,0.0006097664590924978,0.00021049323549959809,-0.0006361890700645745,0.0005503147258423269,0.0009511857060715556,-0.00016212362970691174,0.001165848458185792,0.0005219781305640936,-0.0003757478843908757,-0.00012875183892901987,0.000558782834559679,0.001351593411527574,-0.0005041335825808346,0.0002068889734800905,0.00036554725375026464,0.0005031562177464366,0.0020731184631586075,-0.0018650407437235117,0.0017599029233679175,0.0005534023512154818
A_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005092034116387367,-0.0024111720267683268,-0.0011730169644579291,-0.0007701877621002495,-0.00026748236268758774,0.0012611036654561758,0.0007162425317801535,-0.000929865927901119,0.0005270995898172259,0.0010772603563964367,4.1125600546365604e-05,0.0008043176494538784,1.8892048956331564e-06,-7.201657717814669e-05,-0.00012979509483557194,-0.0013921994250267744,0.00043554429430514574,-4.773215187015012e-05,0.0008771287393756211,-0.0009138522436842322,-0.0005320155760273337,9.244326065527275e-05,-0.0007861776393838227,-0.0014849643921479583,0.0006616553873755038
A_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004185135185252875,-0.0013471220154315233,-0.0005489542381837964,0.0024300329387187958,0.0009914804250001907,0.00011205637565581128,2.2380276277544908e-05,-0.0009130821563303471,-8.583042654208839e-05,-0.0015095198759809136,-0.001143616158515215,0.0003319521783851087,-0.000618980557192117,-2.913238677137997e-05,0.0014381923247128725,-0.0004870047850999981,-0.0005790475406683981,0.00047860827180556953,0.00042159491567872465,-0.0017205722397193313,0.001474809250794351,0.0009988266974687576,-0.00037666448042728007,-0.00025731520145200193,-0.0010547239799052477
A_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003014456306118518,0.0022638121154159307,-0.0005348313134163618,-0.0006891670054756105,-0.0007432959391735494,0.00011728152458090335,-0.0005276367301121354,0.0010344870388507843,0.0011114958906546235,-0.00022574752802029252,0.0012283141259104013,0.00034439103910699487,0.0017543049762025476,-0.000493068597279489,-0.00018720101797953248,-0.0005849339650012553,0.0022734319791197777,-5.59093059564475e-05,-0.0012616561725735664,-0.0009147491655312479,-0.00016885576769709587,0.0017410856671631336,-0.0008907585288397968,-0.0018422086723148823,-0.0005510086193680763
A_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008602799498476088,0.0006974703283049166,-0.0007789981318637729,0.0008787646656855941,0.0001475228345952928,-0.0015924078179523349,0.0012686577392742038,-0.0002491582417860627,0.0006749964668415487,-0.0005098563269712031,0.00046803965233266354,0.0001705744070932269,-0.0011034379713237286,-0.001573422341607511,0.001998708350583911,0.0012777703814208508,0.0011130091734230518,0.0006334813660942018,-0.00019587305723689497,0.0006171541754156351,0.0002921999548561871,-0.00017978058895096183,0.00039255895535461605,-0.0002944773295894265,-4.988886939827353e-05
A_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009977699955925345,-0.0014897994697093964,-0.0002454661880619824,0.001109764794819057,0.0012934274272993207,-0.0009982241317629814,-0.0005801871884614229,0.0008862796239554882,0.00042975207907147706,0.0013287459732964635,0.0010291308863088489,0.0008898047963157296,-0.000586070993449539,-1.8572518456494436e-05,0.00019185351266060024,-0.0006159520708024502,-0.000232056831009686,-0.0016676108352839947,-0.0005902153206989169,-0.0018414714140817523,-0.001053261454217136,-0.00028550735441967845,-0.0003643319651018828,0.0016845373902469873,0.0019680869299918413
A_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001373692532069981,0.00039086060132831335,-0.0018716704798862338,-0.0018185805529356003,0.0007350159576162696,-0.0006272438331507146,0.0004760380834341049,0.00034625493572093546,-0.0007078902563080192,0.0011328234104439616,-0.0002127598418155685,-0.001138005987741053,-0.00144933199044317,0.00027884755400009453,0.001696323393844068,0.0009693213505670428,0.0019817331340163946,-0.0003776242083404213,-0.0010906703537330031,0.0002308140101376921,0.0010385136120021343,0.000537789543159306,0.0002128606429323554,-0.0012837605318054557,-4.115307820029557e-05
A_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.792885738424957e-05,0.002028506947681308,-0.0002512180944904685,0.0008850712911225855,-0.00173123215790838,0.0006071107345633209,-0.0004841308982577175,-0.0008374738972634077,0.0008139223209582269,0.00198075408115983,-0.001581525313667953,-0.0004950269940309227,0.0006361102568916976,-0.0013230671174824238,-0.0001336260320385918,-0.00021757597278337926,0.0006186814862303436,-0.0012364358408376575,-0.00010307062620995566,-0.0008087765891104937,-0.0008284695213660598,0.0006743957637809217,-0.000441901822341606,0.0005581542500294745,-0.0013531438307836652
A_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009349986212328076,0.0008883164846338332,0.0012650275602936745,-0.00047961677773855627,0.003459884552285075,-0.0013839028542861342,0.0004014415026176721,0.0007230098126456141,0.00011341591743985191,8.576000982429832e-05,0.0021375517826527357,0.00014048705634195358,-0.0018203529762104154,0.0011741912458091974,0.0007029877160675824,-0.0017630201764404774,-0.0006465302431024611,-0.00031154995667748153,-0.0006157893221825361,0.0006524756317958236,0.0011578371049836278,0.0014749858528375626,-0.0005638122675009072,-0.00034950627014040947,-0.00031457110890187323
A_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003975484287366271,0.0004723571764770895,-0.0007572212489321828,-0.0014901699032634497,0.002324265195056796,0.0006374108488671482,-0.001630135695450008,-0.0010073708835989237,0.0014252595137804747,0.00019304796296637505,0.0008381791994906962,0.0006412062793970108,-0.0025478648021817207,-0.0016272807260975242,-0.00030836439691483974,0.0004053753218613565,0.0014632749371230602,0.001629817532375455,-0.00026733046979643404,0.0007089615683071315,0.00036860426189377904,0.00029727467335760593,0.0003532636910676956,-0.0003021456068381667,-0.0016200190875679255
