,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24
A_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018291387241333723,0.0010153546463698149,-0.00012300320668146014,-0.0005722074420191348,0.00056975003099069,7.264664600370452e-05,-0.0003504421911202371,-2.1456668036989868e-05,5.1665327191585675e-05,-0.00025117004406638443,0.0005092828650958836,0.00033352969330735505,-0.00043526291847229004,0.0005842449027113616,-0.00011197758431080729,0.001538377022370696,-0.000655798998195678,-0.0007757253479212523,-0.0003775048826355487,-0.0002859487140085548,-0.0005846331478096545,0.0003887159109581262,-0.0010673898505046964,-0.0012157175224274397,0.00024596427101641893
A_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007681295974180102,-0.0004544817202258855,0.0009731409372761846,-0.002214015694335103,0.00036260238266550004,0.00020071705512236804,-1.9255558072472923e-05,-0.0005535915843211114,0.0012998199090361595,-0.0021729562431573868,0.0016887011006474495,-0.00021065660985186696,-0.0010626871371641755,0.00034416525159031153,-6.773952190997079e-05,-0.0016830392414703965,0.0004695637326221913,0.0015705766854807734,0.0002218988083768636,0.00022251156042329967,0.0005196089623495936,0.00036035277298651636,-0.0020424292888492346,-0.001238092198036611,0.00023339416657108814
A_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011265885405009612,0.0006416889955289662,0.0013263617875054479,0.0001079878638847731,0.0017304983921349049,-0.00046470455708913505,-0.00030551201780326664,-0.0002759635681286454,-0.0023393756709992886,-0.0013706134632229805,-0.0003928065998479724,0.00018320389790460467,-0.00020228711946401745,-0.0009426005999557674,0.000990834436379373,3.809964482570649e-06,-0.001273053465411067,-9.972159750759602e-05,-0.0008305924711748958,-0.00033350157900713384,0.0013475349405780435,-0.00018985678616445512,0.0001075365871656686,0.001699503744021058,-0.00020216163829900324
A_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005402718670666218,-0.0009386514429934323,0.0009678747155703604,-0.0004832480917684734,-0.002276482293382287,0.00015482881281059235,-0.0002631395182106644,0.0007106056436896324,0.0008656715508550406,-0.0004511155711952597,0.0022086703684180975,-0.00043659034417942166,0.00011569862545002252,-0.0005511192139238119,-0.0007073740125633776,0.0017652073875069618,-0.0020502193365246058,-0.000461611314676702,0.0006518231821246445,0.001187981222756207,0.0024003125727176666,0.00032782129710540175,0.0005960316630080342,0.00026937585789710283,0.0001452937867725268
A_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005811929004266858,-2.9813154469593428e-05,-0.0003132744168397039,-0.0011523610446602106,-0.0005875308997929096,0.0004435686569195241,-0.0005537232500500977,-0.0005086362943984568,-0.0008133793016895652,0.0005247238441370428,0.0006157320458441973,0.0006962614133954048,0.00019688830070663244,-7.740176806692034e-05,0.0004482879303395748,0.0006697845528833568,3.84737468266394e-05,0.0005968357436358929,-0.0006574157159775496,4.278193591744639e-05,0.0002695112198125571,0.00147642579395324,-0.0002303937217220664,0.00030460377456620336,-0.0013204950373619795
A_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006344784051179886,0.0012240373762324452,-0.0017678190488368273,-0.0012444461463019252,-0.000464846845716238,-0.0020095165818929672,0.000256154453381896,0.0008841505041345954,-0.0001876365568023175,-0.0004224992298986763,-0.0011425671400502324,-0.0004696461255662143,0.00021074975666124374,-0.0011190579971298575,-0.00017082411795854568,-0.000852922850754112,4.8697813326725736e-05,-0.0014635301195085049,0.000702320015989244,0.001582455588504672,0.0012305534910410643,-0.0008889003656804562,-4.7662735596532e-05,0.003100121160969138,0.0006884226459078491
A_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004272527585271746,-0.00020806968677788973,-0.0009960002498701215,-0.0003123022906947881,-0.001041107694618404,-9.288192813983187e-05,-2.9830045605194755e-05,-0.0011377722257748246,0.001480644103139639,0.001222053775563836,-0.0008829810540191829,0.0003172181604895741,0.0006168746622279286,-0.00019789552607107908,0.0012473523383960128,-0.001338125322945416,0.00017314477008767426,0.0007621088880114257,0.0013195294886827469,-0.000943839258980006,0.0006784625584259629,-0.0006043707835488021,8.28815100248903e-05,7.336172711802647e-05,0.000437031063484028
A_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006189140840433538,0.00113771203905344,-0.00047462547081522644,0.0010759902652353048,-0.0001270302600460127,-0.0028583703096956015,-0.0005577766569331288,-0.0012934175319969654,0.001779454294592142,0.0002667326189111918,-0.0005025491118431091,-0.00034887026413343847,0.0004703551821876317,-0.0014138236874714494,0.0007647910970263183,8.372184674954042e-05,0.0028305798768997192,-0.0006479576695710421,-0.00013224247959442437,0.0008765545208007097,-0.0016947396798059344,0.0008160698926076293,0.0007383010815829039,-0.0003985716903116554,0.0010701721766963601
A_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002713714959099889,-0.002426933031529188,-0.0016149063594639301,0.000555878970772028,0.0005526354070752859,-0.000793242419604212,0.0002626576751936227,0.0013198443921282887,0.0004601623513735831,0.0013063508085906506,-0.0021022208966314793,0.0009692093590274453,-0.0006219584029167891,0.00120322045404464,-0.0004888261901214719,0.0007254986558109522,0.001780044287443161,0.000174160668393597,0.0018632266437634826,8.391164737986401e-05,0.00034846749622374773,0.0007243319996632636,-0.00013667315943166614,-0.00026623535086400807,-0.0008002931717783213
A_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017869120929390192,-0.0011217411374673247,0.0004984737606719136,0.0008217330905608833,-0.0013672953937202692,0.00044687726767733693,0.0012237014016136527,-0.000989244901575148,0.0011392447631806135,0.000736969755962491,-0.0016572005115449429,0.0011949257459491491,7.549327710876241e-05,-0.00020185184257570654,0.0016953491140156984,-0.0011495829094201326,0.0007764261681586504,-0.00016452715499326587,-0.000688304309733212,-0.002100565703585744,0.00033909757621586323,0.001328526996076107,0.0006948189693503082,-0.0007538957288488746,9.054836846189573e-05
