,A_0,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24
A_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001167207839898765,-0.0002591351803857833,-0.0004396445583552122,-0.002153962617740035,0.00025764654856175184,-0.0015615279553458095,-0.0002680149918887764,-0.0005654394044540823,0.0007987936260178685,-0.0005751317366957664,0.0012392797507345676,0.0013287801994010806,-0.0003980613546445966,-0.00016384953050874174,0.000793946033809334,0.00013538675557356328,-0.0005448376177810133,-0.00011578219709917903,-0.0004075756296515465,2.4169597963918932e-05,-0.0017637682612985373,-0.0015701805241405964,0.0007158208172768354,0.00047833865392021835,-0.0012584784999489784
A_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.600662163691595e-05,-0.0005339388153515756,0.0004300765576772392,0.0015588802052661777,-0.0012828800827264786,0.0009596743620932102,0.0010833853157237172,0.0005338208866305649,0.0005215171840973198,0.0013941993238404393,0.000488135265186429,0.0012073484249413013,0.0009388708858750761,-0.0004135434573981911,-0.0011061589466407895,-0.00038224714808166027,-0.0002428201405564323,0.0005068454775027931,0.000616116973105818,-0.0013145734556019306,-0.0018784033600240946,-0.00064079649746418,0.00128571514505893,-0.0016411063261330128,0.0005333912558853626
A_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011532862845342606,0.001350324135273695,0.00025046110386028886,-1.5608302419423126e-05,0.0001665549207245931,0.0010112895397469401,-0.000832303601782769,-0.00017356999160256237,-0.001013052649796009,-0.00024563484475947917,-0.00045670560211874545,0.0013160305097699165,-0.0008419595542363822,0.000597681209910661,-0.0002474625944159925,-0.0020899379160255194,0.0009263585088774562,-0.001196400378830731,0.0007961743976920843,0.00023242457245942205,0.0008916690130718052,-0.0004923900123685598,0.0012708561262115836,-0.0021982549224048853,0.0009498067665845156
A_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.721714453306049e-05,0.00043654796900227666,0.00048466474981978536,-0.00022713872021995485,-0.0017050143796950579,-0.0003324486897327006,0.0007820098544470966,-0.0012550539104267955,-0.0013059255434200168,0.0008574341190978885,-0.0009883310412988067,0.0004888211260549724,-0.0001463477819925174,-0.002032327698543668,0.001164739252999425,0.0008932705968618393,-0.0010566111886873841,0.0005922975251451135,-0.0013850389514118433,-0.00040669605368748307,-0.002101812744513154,0.0012107108486816287,0.00010796733113238588,-0.001973341917619109,0.001430381671525538
A_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016567460261285305,0.0007456091116182506,-0.001588592422194779,-0.0019060249906033278,-0.00047666573664173484,-7.978252688189968e-05,0.0012955301208421588,-0.001474664662964642,-0.0006148986867628992,-0.0021423092111945152,-0.0004923344240523875,0.000127046208945103,-1.7937170923687518e-05,0.0015990056563168764,0.001126070274040103,-0.0006732005276717246,-0.0013921713689342141,-0.0005948066245764494,0.000334123003995046,0.0005627457285299897,-0.0009645261452533305,-0.0003760792315006256,-0.0012799403630197048,0.0015027527697384357,-0.0008992485818453133
A_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00045809446601197124,-0.0010838503949344158,0.00014166372420731932,0.0003124890790786594,-6.674173346254975e-05,-0.0007749301730655134,0.0018358911620453,0.0028529835399240255,0.0018577573355287313,0.0003484732878860086,-0.0009271345334127545,0.0013485770905390382,0.0002009885647566989,-0.0005476534133777022,0.0017294981516897678,-0.0020002510864287615,-0.0009486108319833875,0.000593761564232409,0.0008748552645556629,6.468767969636247e-05,-9.801780106499791e-05,0.0008425235864706337,7.259203584908391e-07,-0.0005317753530107439,0.0005744487862102687
A_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014631060184910893,0.0007621031836606562,0.0006105881184339523,0.0003673189494293183,7.693700172239915e-05,-0.00026614597300067544,0.00047487637493759394,-0.000658289238344878,-0.000505426898598671,2.3888043870101683e-05,-0.000831606041174382,0.0007244311855174601,0.0011694724671542645,0.00022290635388344526,0.00018440757412463427,0.00040078413439914584,-0.000611624913290143,0.0004428799729794264,-0.0006302124238573015,-0.0018632395658642054,-0.0008517693495377898,0.0016919145127758384,-0.0012851126957684755,-0.00022217066725715995,-0.000749368395190686
A_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001033735927194357,-0.0003602616779971868,-0.00025976382312364876,0.0010166605934500694,-0.0009713948238641024,-0.0004931494477204978,0.0006407232140190899,-0.0009893678361549973,0.0006202987860888243,-0.0004210812330711633,0.0009216517792083323,0.0013130573788657784,8.840237569529563e-05,-0.0003880523727275431,-0.0004990308661945164,2.0534411305561662e-05,0.001612305175513029,-0.0005393705214373767,-0.0003511157992761582,-0.0012892696540802717,-0.0021775010973215103,0.0008822440286166966,-0.0005515324883162975,-4.506305049289949e-05,0.0005121544818393886
A_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002320538740605116,-0.0003135790175292641,0.0012194225564599037,-2.529360426706262e-05,0.0004086304397787899,-0.00019275682279840112,0.00111251266207546,-0.0010686722816899419,-0.0005778059712611139,0.00011941471166210249,0.0004688382614403963,-0.0003103282651863992,8.323814836330712e-05,-0.00022231013281270862,0.0007339429575949907,0.0003366743621882051,-0.00023172730288933963,-0.0008395733893848956,0.000983565696515143,0.0005211419775150716,-0.0010809452505782247,-4.816998989554122e-05,-0.0021674674935638905,0.0007770326919853687,-0.0006435991381295025
A_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003477660065982491,0.00022458059538621455,0.001173927215859294,0.0005356606561690569,-0.00044738827273249626,0.00023483666882384568,-0.001275427988730371,0.0006581252091564238,0.001049719168804586,0.0012705399421975017,0.0004780275048688054,0.00019307411275804043,0.00018106332572642714,-0.0006902159657329321,-0.0007963870302774012,0.001175685552880168,-0.0009036519913934171,0.0018129876116290689,0.001979982014745474,-0.0005148157943040133,-0.0005794919561594725,-0.0004210048064123839,0.0003016336413566023,0.0008705324144102633,0.001572460401803255
